,Değer(kwh),Tarih
0,"611232,00",2015-01-31
1,"615826,00",2015-02-28
2,"957527,00",2015-03-31
3,"920036,54",2015-04-30
4,"928773,29",2015-05-31
5,"738623,36",2015-06-30
6,"803861,06",2015-07-31
7,"948642,02",2015-08-31
8,"755666,52",2015-09-30
9,"752889,00",2015-10-31
10,"795276,70",2015-11-30
11,"674220,53",2015-12-31
12,"519189,75",2016-01-31
13,"471734,36",2016-02-29
14,"663517,23",2016-03-31
15,"663109,68",2016-04-30
16,"693536,24",2016-05-31
17,"597641,51",2016-06-30
18,"550308,16",2016-07-31
19,"474594,79",2016-08-31
20,"738287,50",2016-09-30
21,"6196131,00",2016-10-31
22,"5447826,00",2016-11-30
23,"8876367,00",2016-12-31
24,"864165,00",2017-01-31
25,"697659,00",2017-02-28
26,"907365,00",2017-03-31
27,"738304,00",2017-04-30
28,"724670,00",2017-05-31
29,"680726,00",2017-06-30
30,"308717,00",2017-07-31
31,"697879,40",2017-08-31
32,"562325,50",2017-09-30
33,"842588,10",2017-10-31
34,"988507,80",2017-11-30
35,"1133366,40",2017-12-31
36,"582829,00",2018-01-31
37,"387462,00",2018-02-28
38,"361152,00",2018-03-31
39,"308616,00",2018-04-30
40,"68434,00",2018-05-31
