_id,tarih,deger,birim
1,2015-01-31T00:00:00,"611.232,00",KWH
2,2015-02-28T00:00:00,"615.826,00",KWH
3,2015-03-31T00:00:00,"957.527,00",KWH
4,2015-04-30T00:00:00,"920.036,54",KWH
5,2015-05-31T00:00:00,"928.773,29",KWH
6,2015-06-30T00:00:00,"738.623,36",KWH
7,2015-07-31T00:00:00,"803.861,06",KWH
8,2015-08-31T00:00:00,"948.642,02",KWH
9,2015-09-30T00:00:00,"755.666,52",KWH
10,2015-10-31T00:00:00,"752.889,00",KWH
11,2015-11-30T00:00:00,"795.276,70",KWH
12,2015-12-31T00:00:00,"674.220,53",KWH
13,2016-01-31T00:00:00,"519.189,75",KWH
14,2016-02-29T00:00:00,"471.734,36",KWH
15,2016-03-31T00:00:00,"663.517,23",KWH
16,2016-04-30T00:00:00,"663.109,68",KWH
17,2016-05-31T00:00:00,"693.536,24",KWH
18,2016-06-30T00:00:00,"597.641,51",KWH
19,2016-07-31T00:00:00,"550.308,16",KWH
20,2016-08-31T00:00:00,"474.594,79",KWH
21,2016-09-30T00:00:00,"738.287,50",KWH
22,2016-10-31T00:00:00,"6.196.131,00",KWH
23,2016-11-30T00:00:00,"5.447.826,00",KWH
24,2016-12-31T00:00:00,"8.876.367,00",KWH
25,2017-01-31T00:00:00,"864.165,00",KWH
26,2017-02-28T00:00:00,"697.659,00",KWH
27,2017-03-31T00:00:00,"907.365,00",KWH
28,2017-04-30T00:00:00,"738.304,00",KWH
29,2017-05-31T00:00:00,"724.670,00",KWH
30,2017-06-30T00:00:00,"680.726,00",KWH
31,2017-07-31T00:00:00,"308.717,00",KWH
32,2017-08-31T00:00:00,"697.879,40",KWH
33,2017-09-30T00:00:00,"562.325,50",KWH
34,2017-10-31T00:00:00,"842.588,10",KWH
35,2017-11-30T00:00:00,"988.507,80",KWH
36,2017-12-31T00:00:00,"1.133.366,40",KWH
37,2018-01-31T00:00:00,"582.829,00",KWH
38,2018-02-28T00:00:00,"387.462,00",KWH
39,2018-03-31T00:00:00,"361.152,00",KWH
40,2018-04-30T00:00:00,"308.616,00",KWH
41,2018-05-31T00:00:00,"68.434,00",KWH
