,cinsi,birim_fiyati(TL)
0,Yagmur rogari bozma ucreti,624
1,Yagmursuyu kanali bozmaucreti,388
2,Yol Yipranma Bedeli,9
3,Bordur ve Oluklarin yipranma bedeli,9
4,Yollarda ve tretuvarlarda kazi yapilmasi ve moloz nakli,52
5,Kirma tas dolgu temini ve sikistirilmasi,55
6,Asfalt yama altina 20 cm kalinlikta beton yapilmasi,47
7,Sicak asfalt kaplama,85
8,Beton Kaplama,58
9,Betonarne parke kaplama,73
10,Karo kaplama,110
11,Kup granit kaplama,242
12,Andezit kaplama,242
13,Fonolit kaplama,242
14,Granit kaplama,242
15,Beton bordur ve yagmurlugu,44
16,"Andezit, granit, fonolit bordur ve yamurlugu",74
17,Asfalt boyasi tahribat bedeli,44
18,Çim tahrip bedeli,19
19,Toprak yol kaplama,0
20,Stabilize yol kaplama,0
21,Altyapi kazi ruhsat belge ucreti,66
22,Kamyonet ile levha nakli (Tatlicak santiyesinden 20 Km uzakliga kadar) ucreti,244
23,Kamyonet ile levha nakli (Tatlicak santiyesinden 20 Km uzakliliktan sonra her 5 Km için) ucreti,66
24,"sehir içinde yapilan çalismalarda İsaretleme(yukleme indirme,yerlestirme,toplama) (20 Parça dahil, 20 parçaya kadar) ucreti",74
25,"sehir içinde yapilan çalismalarda isaretleme (yukleme indirme,yerlestirme,toplama) (20 Parçayi geçtik ten sonra her 10 parça için) ucreti",36
26,"Emniyet ve bilgilendirme levhalarinin haftalik kira (20 Parça dahil, 20 parçaya kadar, 1 ile 7 gun dahil) ucreti",176
27,"Emniyet ve bilgilendirme levhalarinin haftalik kira (20 Parçayi geçen her 10 parça için, 1 ile 7 gun dahil) ucreti",88
28,Yol bariyeri (polietilen) ucreti,439
29,Trafik yonlendirme levhasi ucreti (60lik),161
30,Trafik ikaz levhasi ucreti (60lik),161
31,Trafik ikaz lambasi ucreti,133
32,Trafik çalisma dubasi ucreti (60lik),106
33,Trafik çalisma dubasi ucreti (90lik),140
34,Çalisma levhasi ucreti (80-60lik),209
35,Bilgilendirme levhasi ucreti,521
