_id,cinsi,deger,br.fiyati
1,Yagmur rogari bozma ucreti,Adet,"624,00 TL"
2,Yagmursuyu kanali bozmaucreti,mt,"388,00 TL"
3,Yol Yipranma Bedeli,m2,"9,00 TL"
4,Bordur ve Oluklarin yipranma bedeli,m2,"9,00 TL"
5,Yollarda ve tretuvarlarda kazi yapilmasi ve moloz nakli,m3,"52,00 TL"
6,Kirma tas dolgu temini ve sikistirilmasi,m3,"55,00 TL"
7,Asfalt yama altina 20 cm kalinlikta beton yapilmasi,m2,"47,00 TL"
8,Sicak asfalt kaplama,m2,"85,00 TL"
9,Beton Kaplama,m2,"58,00 TL"
10,Betonarne parke kaplama,m2,"73,00 TL"
11,Karo kaplama,m2,"110,00 TL"
12,Kup granit kaplama,m2,"242,00 TL"
13,Andezit kaplama,m2,"242,00 TL"
14,Fonolit kaplama,m2,"242,00 TL"
15,Granit kaplama,m2,"242,00 TL"
16,Beton bordur ve yagmurlugu,mt,"44,00 TL"
17,"Andezit, granit, fonolit bordur ve yamurlugu",mt,"74,00 TL"
18,Asfalt boyasi tahribat bedeli,m2,"44,00 TL"
19,Çim tahrip bedeli,m2,"19,00 TL"
20,Toprak yol kaplama,"",ucretsiz
21,Stabilize yol kaplama,"",ucretsiz
22,Altyapi kazi ruhsat belge ucreti,adet,"66,00 TL"
23,Kamyonet ile levha nakli (Tatlicak santiyesinden 20 Km uzakliga kadar) ucreti,"","244,00 TL"
24,Kamyonet ile levha nakli (Tatlicak santiyesinden 20 Km uzakliliktan sonra her 5 Km için) ucreti,"","66,00 TL"
25,"sehir içinde yapilan çalismalarda İsaretleme(yukleme indirme,yerlestirme,toplama) (20 Parça dahil, 20 parçaya kadar) ucreti","","74,00 TL"
26,"sehir içinde yapilan çalismalarda isaretleme (yukleme indirme,yerlestirme,toplama) (20 Parçayi geçtik ten sonra her 10 parça için) ucreti","","36,00 TL"
27,"Emniyet ve bilgilendirme levhalarinin haftalik kira (20 Parça dahil, 20 parçaya kadar, 1 ile 7 gun dahil) ucreti","","176,00 TL"
28,"Emniyet ve bilgilendirme levhalarinin haftalik kira (20 Parçayi geçen her 10 parça için, 1 ile 7 gun dahil) ucreti","","88,00 TL"
29,Yol bariyeri (polietilen) ucreti,"","439,00 TL"
30,Trafik yonlendirme levhasi ucreti (60lik),"","161,00 TL"
31,Trafik ikaz levhasi ucreti (60lik),"","161,00 TL"
32,Trafik ikaz lambasi ucreti,"","133,00 TL"
33,Trafik çalisma dubasi ucreti (60lik),"","106,00 TL"
34,Trafik çalisma dubasi ucreti (90lik),"","140,00 TL"
35,Çalisma levhasi ucreti (80-60lik),"","209,00 TL"
36,Bilgilendirme levhasi ucreti,"","521,00 TL"
