_id,cinsi,deger,br.fiyati
1,Yagmur rogari bozma ucreti,Adet,"686,00 TL"
2,Yagmursuyu kanali bozmaucreti,mt,"427,00 TL"
3,Yol Yipranma Bedeli,m2,"10,00 TL"
4,Bordur ve Oluklarin yipranma bedeli,m2,"10,00 TL"
5,Yollarda ve tretuvarlarda kazi yapilmasi ve moloz nakli,m3,"57,00 TL"
6,Kirma tas dolgu temini ve sikistirilmasi,m3,"61,00 TL"
7,Asfalt yama altina 20 cm kalinlikta beton yapilmasi,m2,"52,00 TL"
8,Sicak asfalt kaplama,m2,"94,00 TL"
9,Beton Kaplama,m2,"64,00 TL"
10,Betonarne parke kaplama,m2,"80,00 TL"
11,Karo kaplama,m2,"121,00 TL"
12,Kup granit kaplama,m2,"266,00 TL"
13,Andezit kaplama,m2,"266,00 TL"
14,Fonolit kaplama,m2,"266,00 TL"
15,Granit kaplama,m2,"266,00 TL"
16,Beton bordur ve yagmurlugu,mt,"48,00 TL"
17,"Andezit, granit, fonolit bordur ve yamurlugu",mt,"81,00 TL"
18,Asfalt boyasi tahribat bedeli,m2,"48,00 TL"
19,Çim tahrip bedeli,m2,"21,00 TL"
20,Toprak yol kaplama,"",Ücretsiz
21,Stabilize yol kaplama,"","5,00 TL"
22,Altyapi kazi ruhsat belge ucreti,adet,"73,00 TL"
23,Kamyonet ile levha nakli (Tatlicak santiyesinden 20 Km uzakliga kadar) ucreti,"","268,00 TL"
24,Kamyonet ile levha nakli (Tatlicak santiyesinden 20 Km uzakliliktan sonra her 5 Km için) ucreti,"","73,00 TL"
25,"sehir içinde yapilan çalismalarda İsaretleme(yukleme indirme,yerlestirme,toplama) (20 Parça dahil, 20 parçaya kadar) ucreti","","81,00 TL"
26,"sehir içinde yapilan çalismalarda isaretleme (yukleme indirme,yerlestirme,toplama) (20 Parçayi geçtik ten sonra her 10 parça için) ucreti","","40,00 TL"
27,"Emniyet ve bilgilendirme levhalarinin haftalik kira (20 Parça dahil, 20 parçaya kadar, 1 ile 7 gun dahil) ucreti","","194,00 TL"
28,"Emniyet ve bilgilendirme levhalarinin haftalik kira (20 Parçayi geçen her 10 parça için, 1 ile 7 gun dahil) ucreti","","97,00 TL"
29,Yol bariyeri (polietilen) ucreti,"","483,00 TL"
30,Trafik yonlendirme levhasi ucreti (60lik),"","177,00 TL"
31,Trafik ikaz levhasi ucreti (60lik),"","177,00 TL"
32,Trafik ikaz lambasi ucreti,"","177,00 TL"
33,Trafik çalisma dubasi ucreti (60lik),"","117,00 TL"
34,Trafik çalisma dubasi ucreti (90lik),"","154,00 TL"
35,Çalisma levhasi ucreti (80-60lik),"","230,00 TL"
36,Bilgilendirme levhasi ucreti,"","573,00 TL"
