yil,ay,ruhsat_sayisi
2008,nisan,241
2008,mayis,519
2008,haziran,638
2008,temmuz,685
2008,agustos,400
2008,eylul,487
2008,ekim,505
2008,kasim,222
2008,aralik,56
2009,ocak,285
2009,subat,411
2009,mart,361
2009,nisan,842
2009,mayis,649
2009,haziran,602
2009,temmuz,531
2009,agustos,558
2009,eylul,130
2009,ekim,476
2009,kasim,263
2009,aralik,85
2010,ocak,141
2010,subat,145
2010,mart,595
2010,nisan,522
2010,mayis,608
2010,haziran,559
2010,temmuz,403
2010,agustos,384
2010,eylul,291
2010,ekim,318
2010,kasim,375
2010,aralik,131
2011,ocak,122
2011,subat,178
2011,mart,496
2011,nisan,508
2011,mayis,549
2011,haziran,509
2011,temmuz,361
2011,agustos,437
2011,eylul,225
2011,ekim,443
2011,kasim,660
2011,aralik,97
2012,ocak,51
2012,subat,38
2012,mart,214
2012,nisan,672
2012,mayis,591
2012,haziran,508
2012,temmuz,428
2012,agustos,227
2012,eylul,433
2012,ekim,536
2012,kasim,437
2012,aralik,94
2013,ocak,51
2013,subat,109
2013,mart,416
2013,nisan,502
2013,mayis,531
2013,haziran,532
2013,temmuz,359
2013,agustos,229
2013,eylul,396
2013,ekim,272
2013,kasim,602
2013,aralik,283
2014,ocak,60
2014,subat,162
2014,mart,361
2014,nisan,468
2014,mayis,566
2014,haziran,398
2014,temmuz,251
2014,agustos,276
2014,eylul,355
2014,ekim,173
2014,kasim,509
2014,aralik,278
2015,ocak,31
2015,subat,78
2015,mart,311
2015,nisan,692
2015,mayis,563
2015,haziran,452
2015,temmuz,456
2015,agustos,435
2015,eylul,335
2015,ekim,519
2015,kasim,832
2015,aralik,141
2016,ocak,4
2016,subat,120
2016,mart,528
2016,nisan,584
2016,mayis,680
2016,haziran,430
2016,temmuz,359
2016,agustos,450
2016,eylul,325
2016,ekim,491
2016,kasim,426
2016,aralik,66
2017,ocak,21
2017,subat,60
2017,mart,416
2017,nisan,705
2017,mayis,766
2017,haziran,689
2017,temmuz,757
2017,agustos,705
2017,eylul,529
2017,ekim,775
2017,kasim,524
2017,aralik,153
2018,ocak,116
2018,subat,219
2018,mart,707
2018,nisan,838
2018,mayis,874
2018,haziran,670
2018,temmuz,1147
2018,agustos,1175
2018,eylul,1473
2018,ekim,1309
2018,kasim,1017
2018,aralik,114
2019,ocak,137
2019,subat,182
2019,mart,858
2019,nisan,2452
2019,mayis,2025
2019,haziran,1412
2019,temmuz,2209
2019,agustos,1851
2019,eylul,1922
2019,ekim,1759
2019,kasim,1489
2019,aralik,449
2020,ocak,248
2020,subat,317
2020,mart,1049
2020,nisan,1226
2020,mayis,961
2020,haziran,2329
2020,temmuz,2043
2020,agustos,2303
2020,eylul,2280
2020,ekim,2917
2020,kasim,2454
2020,aralik,605
2021,ocak,96
2021,subat,340
2021,mart,147
