_id,tarih,saat,bakiye_yukleme_adedi,bakiye_yuklenen_kart_adedi
1,2019-01-01T00:00:00,0,67,65
2,2019-01-01T00:00:00,1,10,9
3,2019-01-01T00:00:00,2,1,1
4,2019-01-01T00:00:00,3,3,3
5,2019-01-01T00:00:00,4,1,1
6,2019-01-01T00:00:00,5,6,6
7,2019-01-01T00:00:00,6,28,28
8,2019-01-01T00:00:00,7,481,477
9,2019-01-01T00:00:00,8,658,652
10,2019-01-01T00:00:00,9,772,762
11,2019-01-01T00:00:00,10,1017,1007
12,2019-01-01T00:00:00,11,1687,1665
13,2019-01-01T00:00:00,12,2078,2046
14,2019-01-01T00:00:00,13,2090,2066
15,2019-01-01T00:00:00,14,2162,2138
16,2019-01-01T00:00:00,15,2145,2125
17,2019-01-01T00:00:00,16,2260,2224
18,2019-01-01T00:00:00,17,2426,2408
19,2019-01-01T00:00:00,18,2407,2386
20,2019-01-01T00:00:00,19,1593,1572
21,2019-01-01T00:00:00,20,1034,1027
22,2019-01-01T00:00:00,21,912,902
23,2019-01-01T00:00:00,22,598,593
24,2019-01-01T00:00:00,23,319,318
25,2019-01-02T00:00:00,0,37,37
26,2019-01-02T00:00:00,1,7,7
27,2019-01-02T00:00:00,2,3,3
28,2019-01-02T00:00:00,3,6,6
29,2019-01-02T00:00:00,4,3,3
30,2019-01-02T00:00:00,6,162,161
31,2019-01-02T00:00:00,7,2387,2373
32,2019-01-02T00:00:00,8,2886,2856
33,2019-01-02T00:00:00,9,1869,1857
34,2019-01-02T00:00:00,10,1582,1570
35,2019-01-02T00:00:00,11,2037,2015
36,2019-01-02T00:00:00,12,2803,2779
37,2019-01-02T00:00:00,13,2354,2325
38,2019-01-02T00:00:00,14,2613,2586
39,2019-01-02T00:00:00,15,3385,3352
40,2019-01-02T00:00:00,16,3421,3394
41,2019-01-02T00:00:00,17,3166,3136
42,2019-01-02T00:00:00,18,2747,2722
43,2019-01-02T00:00:00,19,1978,1960
44,2019-01-02T00:00:00,20,1265,1254
45,2019-01-02T00:00:00,21,975,962
46,2019-01-02T00:00:00,22,616,608
47,2019-01-02T00:00:00,23,272,270
48,2019-01-03T00:00:00,0,40,40
49,2019-01-03T00:00:00,1,6,6
50,2019-01-03T00:00:00,2,1,1
51,2019-01-03T00:00:00,4,1,1
52,2019-01-03T00:00:00,5,1,1
53,2019-01-03T00:00:00,6,103,102
54,2019-01-03T00:00:00,7,1980,1967
55,2019-01-03T00:00:00,8,2617,2600
56,2019-01-03T00:00:00,9,1674,1662
57,2019-01-03T00:00:00,10,1747,1721
58,2019-01-03T00:00:00,11,2027,1999
59,2019-01-03T00:00:00,12,2813,2789
60,2019-01-03T00:00:00,13,2427,2403
61,2019-01-03T00:00:00,14,2468,2436
62,2019-01-03T00:00:00,15,3224,3191
63,2019-01-03T00:00:00,16,3261,3226
64,2019-01-03T00:00:00,17,2938,2900
65,2019-01-03T00:00:00,18,2660,2632
66,2019-01-03T00:00:00,19,1938,1923
67,2019-01-03T00:00:00,20,1290,1282
68,2019-01-03T00:00:00,21,903,897
69,2019-01-03T00:00:00,22,586,582
70,2019-01-03T00:00:00,23,252,250
71,2019-01-04T00:00:00,0,36,36
72,2019-01-04T00:00:00,1,6,6
73,2019-01-04T00:00:00,2,4,4
74,2019-01-04T00:00:00,3,2,2
75,2019-01-04T00:00:00,4,3,3
76,2019-01-04T00:00:00,5,1,1
77,2019-01-04T00:00:00,6,98,98
78,2019-01-04T00:00:00,7,1908,1896
79,2019-01-04T00:00:00,8,2169,2148
80,2019-01-04T00:00:00,9,1549,1531
81,2019-01-04T00:00:00,10,1478,1461
82,2019-01-04T00:00:00,11,1847,1826
83,2019-01-04T00:00:00,12,2327,2305
84,2019-01-04T00:00:00,13,1856,1836
85,2019-01-04T00:00:00,14,2542,2520
86,2019-01-04T00:00:00,15,2946,2918
87,2019-01-04T00:00:00,16,3255,3228
88,2019-01-04T00:00:00,17,2838,2805
89,2019-01-04T00:00:00,18,2674,2633
90,2019-01-04T00:00:00,19,1912,1899
91,2019-01-04T00:00:00,20,1264,1250
92,2019-01-04T00:00:00,21,862,852
93,2019-01-04T00:00:00,22,596,588
94,2019-01-04T00:00:00,23,350,348
95,2019-01-05T00:00:00,0,36,36
96,2019-01-05T00:00:00,1,3,3
97,2019-01-05T00:00:00,2,2,2
98,2019-01-05T00:00:00,4,2,2
99,2019-01-05T00:00:00,5,4,4
100,2019-01-05T00:00:00,6,53,53
101,2019-01-05T00:00:00,7,810,800
102,2019-01-05T00:00:00,8,1444,1429
103,2019-01-05T00:00:00,9,1282,1275
104,2019-01-05T00:00:00,10,1545,1536
105,2019-01-05T00:00:00,11,2121,2105
106,2019-01-05T00:00:00,12,2976,2940
107,2019-01-05T00:00:00,13,3147,3099
108,2019-01-05T00:00:00,14,2902,2872
109,2019-01-05T00:00:00,15,2573,2551
110,2019-01-05T00:00:00,16,2761,2724
111,2019-01-05T00:00:00,17,2797,2764
112,2019-01-05T00:00:00,18,2527,2496
113,2019-01-05T00:00:00,19,1672,1645
114,2019-01-05T00:00:00,20,1103,1090
115,2019-01-05T00:00:00,21,780,774
116,2019-01-05T00:00:00,22,627,622
117,2019-01-05T00:00:00,23,345,338
118,2019-01-06T00:00:00,0,43,42
119,2019-01-06T00:00:00,1,6,6
120,2019-01-06T00:00:00,2,5,5
121,2019-01-06T00:00:00,3,1,1
122,2019-01-06T00:00:00,4,1,1
123,2019-01-06T00:00:00,6,13,13
124,2019-01-06T00:00:00,7,141,140
125,2019-01-06T00:00:00,8,449,444
126,2019-01-06T00:00:00,9,692,684
127,2019-01-06T00:00:00,10,744,739
128,2019-01-06T00:00:00,11,1176,1151
