_id,tarih,saat,bakiye_yukleme_adedi,bakiye_yuklenen_kart_adedi
1,2020-01-01T00:00:00,0,74,74
2,2020-01-01T00:00:00,1,12,12
3,2020-01-01T00:00:00,2,4,4
4,2020-01-01T00:00:00,3,2,2
5,2020-01-01T00:00:00,5,3,3
6,2020-01-01T00:00:00,6,30,29
7,2020-01-01T00:00:00,7,584,580
8,2020-01-01T00:00:00,8,783,774
9,2020-01-01T00:00:00,9,832,814
10,2020-01-01T00:00:00,10,1181,1169
11,2020-01-01T00:00:00,11,1739,1714
12,2020-01-01T00:00:00,12,2281,2241
13,2020-01-01T00:00:00,13,2283,2263
14,2020-01-01T00:00:00,14,2289,2242
15,2020-01-01T00:00:00,15,2297,2252
16,2020-01-01T00:00:00,16,2611,2550
17,2020-01-01T00:00:00,17,2573,2525
18,2020-01-01T00:00:00,18,2232,2206
19,2020-01-01T00:00:00,19,1726,1701
20,2020-01-01T00:00:00,20,1257,1242
21,2020-01-01T00:00:00,21,904,889
22,2020-01-01T00:00:00,22,658,648
23,2020-01-01T00:00:00,23,283,276
24,2020-01-02T00:00:00,0,75,74
25,2020-01-02T00:00:00,1,14,14
26,2020-01-02T00:00:00,2,11,11
27,2020-01-02T00:00:00,3,2,2
28,2020-01-02T00:00:00,4,1,1
29,2020-01-02T00:00:00,5,5,5
30,2020-01-02T00:00:00,6,173,172
31,2020-01-02T00:00:00,7,2678,2657
32,2020-01-02T00:00:00,8,3067,3039
33,2020-01-02T00:00:00,9,1961,1940
34,2020-01-02T00:00:00,10,1785,1758
35,2020-01-02T00:00:00,11,2317,2291
36,2020-01-02T00:00:00,12,3021,2985
37,2020-01-02T00:00:00,13,2866,2832
38,2020-01-02T00:00:00,14,2580,2539
39,2020-01-02T00:00:00,15,3539,3497
40,2020-01-02T00:00:00,16,3467,3412
41,2020-01-02T00:00:00,17,3210,3162
42,2020-01-02T00:00:00,18,2749,2726
43,2020-01-02T00:00:00,19,2125,2097
44,2020-01-02T00:00:00,20,1397,1378
45,2020-01-02T00:00:00,21,904,895
46,2020-01-02T00:00:00,22,646,635
47,2020-01-02T00:00:00,23,277,274
48,2020-01-03T00:00:00,0,64,64
49,2020-01-03T00:00:00,1,13,13
50,2020-01-03T00:00:00,2,3,3
51,2020-01-03T00:00:00,3,3,3
52,2020-01-03T00:00:00,5,4,4
53,2020-01-03T00:00:00,6,127,127
54,2020-01-03T00:00:00,7,2362,2349
55,2020-01-03T00:00:00,8,2573,2552
56,2020-01-03T00:00:00,9,1761,1741
57,2020-01-03T00:00:00,10,1635,1617
58,2020-01-03T00:00:00,11,1988,1962
