ay_yil,randevulu_ziyaretci_sayisi,serbest_ziyaretci_sayisi,toplam_ziyaretci_sayisi
2015-01-01,1624,5046,6670
2015-02-01,2692,2065,4757
2015-03-01,9575,23304,32879
2015-04-01,12221,22665,34886
2015-05-01,12291,83752,96043
2015-06-01,4716,8062,12778
2015-07-01,4483,6599,11082
2015-08-01,4986,18607,23593
2015-09-01,1084,7896,8980
2015-10-01,5303,8844,14147
2015-11-01,6952,13617,20569
2015-12-01,7218,893,8111
2016-01-01,5244,12137,17381
2016-02-01,3522,9446,12968
2016-03-01,9306,16181,25487
2016-04-01,7003,15557,22560
2016-05-01,5184,94278,99462
2016-06-01,1736,4885,6621
2016-07-01,25,7617,7642
2016-08-01,3548,95930,99478
2016-09-01,1097,4314,5411
2016-10-01,5711,7677,13388
2016-11-01,5075,12221,17296
2016-12-01,6415,4896,11311
2017-01-01,1562,5019,6581
2017-02-01,4495,6372,10867
2017-03-01,11942,6439,18381
2017-04-01,1126,11693,12819
2017-05-01,8902,14732,23634
2017-06-01,6450,3783,10233
2017-07-01,2674,11769,14443
2017-08-01,2812,12002,14814
2017-09-01,2257,404,2661
2017-10-01,5503,130029,135532
2017-11-01,9548,4889,14437
2017-12-01,12003,2063,14066
2018-01-01,4683,7096,11779
2018-02-01,4387,5621,10008
2018-03-01,10171,6029,16200
2018-04-01,12302,10129,22431
2018-05-01,10445,934,11379
2018-06-01,7140,28,7168
2018-07-01,2705,11938,14643
2018-08-01,1741,12956,14697
2018-09-01,1293,5852,7145
2018-10-01,6918,149247,156165
2018-11-01,10202,6451,16653
2018-12-01,10226,5693,15919
2019-01-01,5731,7164,12895
2019-02-01,7507,4755,12262
2019-03-01,1084,7948,9032
2019-04-01,919,14784,15703
2019-05-01,8349,6692,15041
2019-06-01,4163,11887,16050
2019-07-01,3525,12738,16263
2019-08-01,3361,14618,17979
2019-09-01,2167,7166,9333
2019-10-01,10447,162682,173129
2019-11-01,8269,11025,19294
2019-12-01,8623,9928,18551
2020-01-01,7384,1525,8909
2020-02-01,9942,5221,15163
2020-03-01,6199,241,6440
2020-04-01,0,0,0
2020-05-01,0,0,0
2020-06-01,0,6560,6560
2020-07-01,1620,3044,4664
2020-08-01,1352,3277,4629
2020-09-01,220,1952,2172
2020-10-01,1540,304,1844
2020-11-01,600,2274,2874
2020-12-01,0,5820,5820
2021-01-01,0,7800,7800
2021-02-01,0,1812,1812
