_id,name,wkt
1,KAMPÜS 02A BOSNA HERSEK,POINT Z (32.51877984190408 38.00940102091862 0)
2,KAMPÜS 02B BOSNA HERSEK,POINT Z (32.51938029678481 38.00947915130062 0)
3,KAMPÜS 03 BUZLUKBAŞI,POINT Z (32.51973693158448 38.00250371121295 0)
4,KAMPÜS 04 FIRAT CADDESİ,POINT Z (32.5184303520723 37.99464895249642 0)
5,KAMPÜS 05 PİRİ REİS,POINT Z (32.51770962074744 37.98915648742838 0)
6,KAMPÜS 06 SANCAK,POINT Z (32.51680031377312 37.98228949401522 0)
7,KAMPÜS 07 JAPON PARKI,POINT Z (32.51625065863524 37.9767110246055 0)
8,KAMPÜS 08 YAZIR,POINT Z (32.51495409426025 37.97153992955331 0)
9,KAMPÜS 09 MTA,POINT Z (32.51455927529192 37.9651960210252 0)
10,KAMPÜS 10 ELMALILI HAMDİ,POINT Z (32.51409454493773 37.95888878476291 0)
11,KAMPÜS 11 MEDAŞ,POINT Z (32.51321851469353 37.95396196967933 0)
12,KAMPÜS 12 OTOGAR,POINT Z (32.51224566479171 37.94785912690254 0)
13,KAMPÜS 13 ERENKAYA,POINT Z (32.51178639443508 37.94391666099619 0)
14,KAMPÜS 15 EYÜP SULTAN,POINT Z (32.51044822134453 37.93643610947743 0)
15,KAMPÜS 16 BİRİNCİ ORGHANİZE SAN.,POINT Z (32.50869294673355 37.92869983411821 0)
16,KAMPÜS 17 TEKNİK LİSE,POINT Z (32.50783678092908 37.92458100605364 0)
17,KAMPÜS 18 SAKARYA,POINT Z (32.50560875621404 37.91668380089293 0)
18,KAMPÜS 19 ŞEHİTLER CAMİ,POINT Z (32.50081552946606 37.91191524882602 0)
19,KAMPÜS 20 AYDINLIK EVLER,POINT Z (32.49601157967594 37.90731484275345 0)
20,KAMPÜS 21 ESKİ SANAYİ,POINT Z (32.4893038220364 37.8996242951029 0)
21,KAMPÜS 24 NALÇAÇI,POINT Z (32.48986411541268 37.88188775730156 0)
22,KAMPÜS 25 BELEDİYE,POINT Z (32.48753328308745 37.87660853547344 0)
23,KAMPÜS 26 KÜLTÜRPARK,POINT Z (32.49091096149895 37.87453853971522 0)
24,KAMPÜS 27 ZAFER,POINT Z (32.49011590017552 37.87175901366815 0)
25,KAMPÜS 28 ALAADDİN RAMPALI ÇARŞI,POINT Z (32.49438642521665 37.8719347499097 0)
26,ADLİYE 02 ŞERAFETTİN CAMİİ,POINT Z (32.49847101111411 37.87206264735548 0)
27,ADLİYE 03 MEVLANA,POINT Z (32.5071765472571 37.87050604867116 0)
28,ADLİYE 05 FETİH CAD.,POINT Z (32.52515243435651 37.86981709960805 0)
29,ADLİYE 06 SPOR VE KONGRE MERKEZİ,POINT Z (32.53362286520213 37.86914561898942 0)
30,ADLİYE 07 SAMAN PAZARI YANI,POINT Z (32.54346180378163 37.86860965396812 0)
31,OTOBÜS 01 OTOGAR,POINT Z (32.51342368776223 37.94949898083415 0)
32,OTOBÜS 03 HADİMİ CAD.,POINT Z (32.4868850445222 37.89987462603548 0)
33,OTOBÜS 05 RAUF DENKTAŞ,POINT Z (32.48234529816996 37.88627414685896 0)
34,OTOBÜS 06 RAUF DENKTAŞ CAD.,POINT Z (32.4875031398013 37.88279987903503 0)
35,OTOBÜS 07 ULAŞBABA CAD.,POINT Z (32.49039067513696 37.8814023168683 0)
36,OTOBÜS 08 ULAŞBABA CAD.,POINT Z (32.49461764682331 37.87784733667409 0)
37,OTOBÜS 10 VATAN CAD. BELEDİYE YAYA ÜST GEÇİT ALTI,POINT Z (32.48663354280441 37.87568533280774 0)
38,OTOBÜS 11 KÜLTÜRPARK,POINT Z (32.48961427094916 37.87397075518203 0)
39,OTOBÜS 12 ADALHAN KAVŞAĞI,POINT Z (32.48224696957136 37.87360042435787 0)
40,OTOBÜS 14 15 17 AÖF ANIT HAST,POINT Z (32.48562802236945 37.86725711497603 0)
41,OTOBÜS 18 ÖĞRETMEN EVİ,POINT Z (32.49436963600846 37.87348952644057 0)
42,OTOBÜS 19 KAYALIPARK,POINT Z (32.4987676420697 37.87202714445097 0)
43,OTOBÜS 21 ESKİ GARAJ PETROL,POINT Z (32.50077752318055 37.86505557856584 0)
44,OTOBÜS 22 ESKİ GARJ,POINT Z (32.50264607901472 37.86537651984331 0)
45,OTOBÜS 24 MEVLANA,POINT Z (32.50438975485366 37.87139513843842 0)
46,OTOBÜS 26 SAMAN PAZARI HAREKET MERKEZİ,POINT Z (32.54436393957953 37.8686942195018 0)
47,OTOBÜS 27 ALAKOVA HAREKET MERKEZİ,POINT Z (32.50176135294766 37.77293107438651 0)
48,OTOBÜS 30 SGK HASTENE CİVARI,POINT Z (32.44528532492443 37.86174839066469 0)
49,OTOBÜS 32 NÜ KÖYÇEYİZ YERLEŞKESİ,POINT Z (32.42115362112443 37.86708141308063 0)
50,OTOBÜS 33 BEYŞEHİR YOLU KOSKİ,POINT Z (32.42835144035489 37.87427362744244 0)
51,01 EVLİYA ÇELEBİ PARKI,POINT Z (32.45495635301966 37.8653330752727 0)
52,02  KONEVİ,POINT Z (32.48638555784972 37.86987750143818 0)
53,03 ÇAMLIBEL,POINT Z (32.42097170234855 37.85335885584648 0)
54,04 TAVUSBABA,POINT Z (32.41782775262964 37.84942938683988 0)
55,05 AKYOKUŞ,POINT Z (32.42493887197028 37.88015008084696 0)
56,06 ŞEFİKCAN,POINT Z (32.46422328901596 37.88747289271705 0)
57,07 ECDAT PARKI,POINT Z (32.50002250406949 37.9518780791355 0)
58,08 JAPON PARKI,POINT Z (32.51996008122769 37.97847054780424 0)
59,01 OTOGAR İÇİ PARK,POINT Z (32.50937924481967 37.94982471429326 0)
60,02 FATİH ENDÜSTRİ MESLEK LİSESİ,POINT Z (32.48618404309078 37.89889484915783 0)
61,03 SİLLE DEDEMAN,POINT Z (32.47630086888454 37.89226912805888 0)
62,04 ŞEFİKCAN ÇEVRE YOLU,POINT Z (32.46214237123492 37.88777698337127 0)
63,05 BAŞKENT HASTANESİ,POINT Z (32.4572756885691 37.88413422931106 0)
64,06 BEYŞEHİR ÇEVRE YOLU,POINT Z (32.45278091819474 37.88026260156288 0)
65,07 EVLİYA ÇELEBİ PARKI,POINT Z (32.45582648154078 37.86573236773015 0)
66,08 GAZZE CAD.,POINT Z (32.47322968847739 37.85031935446345 0)
67,09 A KARAMAN ÇEVRE YOLU A,POINT Z (32.51602592713149 37.82864465478983 0)
68,09 B KARAMAN ÇEVRE YOLU B,POINT Z (32.5167592472182 37.82887553280595 0)
69,10 A ADANA ÇEVRE YOLU YAVUZ SELİM YAYA ÜST GEÇİDİ,POINT Z (32.52204230261064 37.83484225118108 0)
70,10 B ADANA ÇEVRE YOLU YAVUZ SELİM YAYA ÜST GEÇİDİ,POINT Z (32.52222953798923 37.83457235983762 0)
71,11 AYKENT AYAKKABICILAR SAN. CAMİİ,POINT Z (32.53286400545669 37.92770515302121 0)
72,12 İHSANİYE ALT GEÇİT ÜSTÜ,POINT Z (32.48168961484907 37.87326284782279 0)
73,13 GAR İLERİSİ,POINT Z (32.47850326438572 37.86648549685065 0)
74,14 TARIM İL MÜD.,POINT Z (32.48033188947441 37.86276711832167 0)
