bisiklet_tamir_bakim_istasyonu_adi,enlem,boylam
Bisiklet Tamir Bakım İstasyonu 1,37.9830008,32.518634
Bisiklet Tamir Bakım İstasyonu 2,38.0140859,32.5262414
Bisiklet Tamir Bakım İstasyonu 3,37.9480526,32.5010604
Bisiklet Tamir Bakım İstasyonu 4,37.9042909,32.4954585
Bisiklet Tamir Bakım İstasyonu 5,37.8935271,32.4873269
Bisiklet Tamir Bakım İstasyonu 6,37.8828759,32.4879688
Bisiklet Tamir Bakım İstasyonu 7,37.8775432,32.4830123
Bisiklet Tamir Bakım İstasyonu 8,37.8751502,32.4849866
Bisiklet Tamir Bakım İstasyonu 9,37.8663405,32.4776502
Bisiklet Tamir Bakım İstasyonu 10,37.8672014,32.4857499
Bisiklet Tamir Bakım İstasyonu 11,37.8657987,32.4888018
Bisiklet Tamir Bakım İstasyonu 12,37.8659104,32.5025959
Bisiklet Tamir Bakım İstasyonu 13,37.8665118,32.5033362
Bisiklet Tamir Bakım İstasyonu 14,37.8750671,32.4917991
Bisiklet Tamir Bakım İstasyonu 15,37.8723062,32.4942024
Bisiklet Tamir Bakım İstasyonu 16,37.8709946,32.4899108
Bisiklet Tamir Bakım İstasyonu 17,37.8654641,32.5379031
Bisiklet Tamir Bakım İstasyonu 18,37.8626171,32.5437113
Bisiklet Tamir Bakım İstasyonu 19,37.8924038,32.4761705
Bisiklet Tamir Bakım İstasyonu 20,37.8641811,32.4528893
Bisiklet Tamir Bakım İstasyonu 21,37.8618337,32.4456023
Bisiklet Tamir Bakım İstasyonu 22,37.8735837,32.4279693
Bisiklet Tamir Bakım İstasyonu 23,37.8768711,32.4863951
Bisiklet Tamir Bakım İstasyonu 24,37.8659498,32.4903598
