s.no;ilcesi;2015_egitim_verilen_mahalle_sayisi;2015_kursiyer_sayisi;2016_egitim_verilen_mahalle_sayisi;2016_kursiyer_sayisi;2017_egitim_verilen_mahalle_sayisi;2017_kursiyer_sayisi;2018_egitim_verilen_mahalle_sayisi;2018_kursiyer_sayisi;2019_egitim_verilen_mahalle_sayisi;2019_kursiyer_sayisi;2020_egitim_verilen_mahalle_sayisi;2020_kursiyer_sayisi;2021_egitim_verilen_mahalle_sayisi;2021_kursiyer_sayisi;toplam_egitim_verilen_mahalle_sayisi;toplam_kursiyer_sayisi
1.0;AHIRLI;10.0;973.0;8.0;629.0;6.0;214.0;4.0;168.0;1.0;36.0;2.0;34.0;3.0;3.0;34.0;2.057
2.0;AKÖREN;9.0;619.0;9.0;621.0;5.0;344.0;6.0;262.0;4.0;235.0;11.0;277.0;6.0;63.0;50.0;2.421
3.0;AKŞEHİR;12.0;1.754;23.0;1.709;19.0;1.426;20.0;1.334;13.0;636.0;14.0;386.0;12.0;128.0;113.0;7.373
4.0;ALTINEKİN;10.0;1.407;12.0;380.0;6.0;238.0;5.0;156.0;4.0;152.0;4.0;75.0;0.0;0.0;41.0;2.408
5.0;BEYŞEHİR;23.0;2.207;32.0;2.226;21.0;1.317;24.0;1.564;20.0;1.491;16.0;353.0;14.0;210.0;150.0;9.368
6.0;BOZKIR;17.0;1.518;17.0;1.005;15.0;790.0;13.0;464.0;9.0;429.0;14.0;243.0;20.0;271.0;105.0;4.72
7.0;CİHANBEYLİ;8.0;510.0;18.0;1.426;6.0;240.0;5.0;200.0;1.0;22.0;3.0;74.0;4.0;38.0;45.0;2.51
8.0;ÇELTİK;4.0;176.0;5.0;671.0;3.0;92.0;1.0;60.0;1.0;39.0;2.0;16.0;1.0;4.0;17.0;1.058
9.0;ÇUMRA;10.0;1.486;25.0;1.493;14.0;1.115;19.0;671.0;6.0;331.0;9.0;300.0;16.0;159.0;99.0;5.555
10.0;DERBENT;6.0;490.0;10.0;834.0;7.0;440.0;5.0;175.0;2.0;76.0;5.0;250.0;2.0;17.0;37.0;2.282
11.0;DEREBUCAK;5.0;505.0;10.0;1.022;5.0;234.0;5.0;291.0;2.0;115.0;2.0;63.0;1.0;47.0;30.0;2.277
12.0;DOĞANHİSAR;12.0;1.831;17.0;1.438;14.0;1.774;13.0;1.555;9.0;541.0;9.0;324.0;9.0;167.0;83.0;7.63
13.0;EMİRGAZİ;4.0;783.0;7.0;743.0;1.0;150.0;3.0;191.0;4.0;120.0;1.0;24.0;3.0;12.0;23.0;2.023
14.0;EREĞLİ;13.0;1.051;13.0;938.0;8.0;381.0;6.0;390.0;6.0;492.0;8.0;133.0;9.0;85.0;63.0;3.47
15.0;GÜNEYSINIR;11.0;1.086;12.0;825.0;9.0;314.0;9.0;536.0;6.0;310.0;6.0;308.0;4.0;38.0;57.0;3.417
16.0;HADİM;16.0;1.319;18.0;704.0;16.0;687.0;6.0;182.0;8.0;363.0;7.0;132.0;6.0;63.0;77.0;3.45
17.0;HALKAPINAR;6.0;985.0;9.0;272.0;10.0;384.0;5.0;176.0;3.0;110.0;3.0;96.0;3.0;79.0;39.0;2.102
18.0;HÜYÜK;16.0;1.6;16.0;1.775;17.0;1.516;18.0;1.086;14.0;1.022;14.0;528.0;11.0;204.0;106.0;7.731
19.0;ILGIN;16.0;1.491;25.0;1.827;15.0;887.0;19.0;1.199;11.0;524.0;8.0;251.0;6.0;47.0;100.0;6.226
20.0;KADINHANI;8.0;245.0;18.0;1.084;11.0;430.0;15.0;831.0;12.0;824.0;6.0;73.0;8.0;76.0;78.0;3.563
21.0;KARAPINAR;9.0;771.0;16.0;1.018;8.0;492.0;4.0;172.0;4.0;167.0;7.0;187.0;4.0;107.0;52.0;2.914
22.0;KARATAY;5.0;320.0;5.0;1.097;3.0;1.68;8.0;2.022;6.0;1.945;11.0;1.203;11.0;539.0;49.0;8.806
23.0;KULU;3.0;65.0;14.0;898.0;9.0;310.0;5.0;108.0;4.0;168.0;7.0;133.0;7.0;126.0;49.0;1.808
24.0;MERAM;28.0;1.872;18.0;2.007;20.0;2.983;23.0;3.008;13.0;2.382;16.0;1.043;26.0;568.0;144.0;13.863
25.0;SARAYÖNÜ;11.0;692.0;13.0;1.482;12.0;515.0;8.0;208.0;5.0;152.0;4.0;95.0;7.0;100.0;60.0;3.244
26.0;SELÇUKLU;9.0;470.0;13.0;1.717;9.0;1.466;11.0;2.579;8.0;2.545;8.0;1.028;7.0;796.0;65.0;10.601
27.0;SEYDİŞEHİR;13.0;1.845;27.0;1.586;12.0;701.0;22.0;1.337;17.0;955.0;13.0;177.0;16.0;96.0;120.0;6.697
28.0;TAŞKENT;8.0;774.0;8.0;553.0;4.0;152.0;3.0;102.0;1.0;26.0;4.0;49.0;1.0;53.0;29.0;1.709
29.0;TUZLUKÇU;2.0;110.0;8.0;754.0;1.0;73.0;2.0;180.0;1.0;43.0;2.0;164.0;2.0;5.0;18.0;1.329
30.0;YALIHÜYÜK;3.0;159.0;2.0;282.0;2.0;68.0;2.0;50.0;1.0;50.0;3.0;73.0;3.0;25.0;16.0;707.0
31.0;YUNAK;7.0;385.0;11.0;876.0;3.0;102.0;1.0;48.0;1.0;20.0;3.0;39.0;5.0;41.0;31.0;1.511
;;;;;;;;;;;;;;;;;
