_id,tarih,saat,yukleme_adedi,yukleme_yapilan_kart_adedi
1,2021-01-01T00:00:00,0,2,2
2,2021-01-01T00:00:00,1,1,1
3,2021-01-01T00:00:00,4,1,1
4,2021-01-01T00:00:00,7,27,27
5,2021-01-01T00:00:00,8,19,19
6,2021-01-01T00:00:00,9,24,23
7,2021-01-01T00:00:00,10,52,51
8,2021-01-01T00:00:00,11,56,56
9,2021-01-01T00:00:00,12,38,38
10,2021-01-01T00:00:00,13,132,128
11,2021-01-01T00:00:00,14,124,118
12,2021-01-01T00:00:00,15,128,125
13,2021-01-01T00:00:00,16,146,140
14,2021-01-01T00:00:00,17,53,53
15,2021-01-01T00:00:00,18,34,34
16,2021-01-01T00:00:00,19,17,16
17,2021-01-01T00:00:00,20,13,12
18,2021-01-01T00:00:00,21,7,7
19,2021-01-01T00:00:00,22,4,4
20,2021-01-01T00:00:00,23,7,7
21,2021-01-02T00:00:00,0,1,1
22,2021-01-02T00:00:00,6,5,5
23,2021-01-02T00:00:00,7,22,21
24,2021-01-02T00:00:00,8,32,31
25,2021-01-02T00:00:00,9,20,20
26,2021-01-02T00:00:00,10,58,56
27,2021-01-02T00:00:00,11,63,63
28,2021-01-02T00:00:00,12,114,113
29,2021-01-02T00:00:00,13,144,141
30,2021-01-02T00:00:00,14,188,185
31,2021-01-02T00:00:00,15,167,166
32,2021-01-02T00:00:00,16,213,210
33,2021-01-02T00:00:00,17,68,67
34,2021-01-02T00:00:00,18,51,40
35,2021-01-02T00:00:00,19,29,23
36,2021-01-02T00:00:00,20,9,8
37,2021-01-02T00:00:00,21,6,5
38,2021-01-02T00:00:00,22,3,3
39,2021-01-02T00:00:00,23,1,1
40,2021-01-03T00:00:00,3,1,1
41,2021-01-03T00:00:00,4,1,1
42,2021-01-03T00:00:00,5,1,1
43,2021-01-03T00:00:00,6,2,2
44,2021-01-03T00:00:00,7,3,3
45,2021-01-03T00:00:00,8,18,9
46,2021-01-03T00:00:00,9,11,11
47,2021-01-03T00:00:00,10,61,60
48,2021-01-03T00:00:00,11,85,85
49,2021-01-03T00:00:00,12,120,112
50,2021-01-03T00:00:00,13,174,174
51,2021-01-03T00:00:00,14,248,245
52,2021-01-03T00:00:00,15,280,276
53,2021-01-03T00:00:00,16,278,276
54,2021-01-03T00:00:00,17,79,71
55,2021-01-03T00:00:00,18,32,32
56,2021-01-03T00:00:00,19,18,18
57,2021-01-03T00:00:00,20,11,11
58,2021-01-03T00:00:00,21,20,20
59,2021-01-03T00:00:00,22,27,27
60,2021-01-03T00:00:00,23,21,20
61,2021-01-04T00:00:00,0,9,9
62,2021-01-04T00:00:00,4,2,2
63,2021-01-04T00:00:00,5,3,3
64,2021-01-04T00:00:00,6,94,94
65,2021-01-04T00:00:00,7,1268,1257
66,2021-01-04T00:00:00,8,1270,1260
67,2021-01-04T00:00:00,9,1085,1077
68,2021-01-04T00:00:00,10,1014,1007
69,2021-01-04T00:00:00,11,1196,1184
70,2021-01-04T00:00:00,12,1405,1387
71,2021-01-04T00:00:00,13,1334,1318
72,2021-01-04T00:00:00,14,1400,1386
73,2021-01-04T00:00:00,15,1168,1158
74,2021-01-04T00:00:00,16,1339,1327
75,2021-01-04T00:00:00,17,1367,1347
76,2021-01-04T00:00:00,18,1778,1756
77,2021-01-04T00:00:00,19,1497,1483
78,2021-01-04T00:00:00,20,625,618
79,2021-01-04T00:00:00,21,44,43
80,2021-01-04T00:00:00,22,36,36
81,2021-01-04T00:00:00,23,24,21
82,2021-01-05T00:00:00,0,2,2
83,2021-01-05T00:00:00,3,1,1
84,2021-01-05T00:00:00,4,1,1
85,2021-01-05T00:00:00,5,3,3
86,2021-01-05T00:00:00,6,81,81
87,2021-01-05T00:00:00,7,744,737
88,2021-01-05T00:00:00,8,955,948
89,2021-01-05T00:00:00,9,881,872
90,2021-01-05T00:00:00,10,909,900
91,2021-01-05T00:00:00,11,986,970
92,2021-01-05T00:00:00,12,1186,1168
93,2021-01-05T00:00:00,13,1244,1229
94,2021-01-05T00:00:00,14,1249,1237
95,2021-01-05T00:00:00,15,1141,1131
96,2021-01-05T00:00:00,16,1110,1094
97,2021-01-05T00:00:00,17,1022,1014
98,2021-01-05T00:00:00,18,1322,1306
99,2021-01-05T00:00:00,19,1280,1266
100,2021-01-05T00:00:00,20,575,569
101,2021-01-05T00:00:00,21,36,36
102,2021-01-05T00:00:00,22,15,15
103,2021-01-05T00:00:00,23,17,17
104,2021-01-06T00:00:00,5,1,1
105,2021-01-06T00:00:00,6,92,91
106,2021-01-06T00:00:00,7,763,760
107,2021-01-06T00:00:00,8,947,939
108,2021-01-06T00:00:00,9,833,826
109,2021-01-06T00:00:00,10,885,878
110,2021-01-06T00:00:00,11,1049,1032
111,2021-01-06T00:00:00,12,1143,1126
112,2021-01-06T00:00:00,13,1183,1172
113,2021-01-06T00:00:00,14,1127,1113
114,2021-01-06T00:00:00,15,1089,1070
115,2021-01-06T00:00:00,16,1080,1068
116,2021-01-06T00:00:00,17,1174,1156
117,2021-01-06T00:00:00,18,1411,1393
118,2021-01-06T00:00:00,19,1283,1271
119,2021-01-06T00:00:00,20,553,539
120,2021-01-06T00:00:00,21,25,25
121,2021-01-06T00:00:00,22,17,17
122,2021-01-06T00:00:00,23,19,19
123,2021-01-07T00:00:00,1,1,1
