tarih_saat,yukleme_adedi,yukleme_yapilan_kart_adedi
2021-01-01 00:00:00,2,2
2021-01-01 01:00:00,1,1
2021-01-01 04:00:00,1,1
2021-01-01 07:00:00,27,27
2021-01-01 08:00:00,19,19
2021-01-01 09:00:00,24,23
2021-01-01 10:00:00,52,51
2021-01-01 11:00:00,56,56
2021-01-01 12:00:00,38,38
2021-01-01 13:00:00,132,128
2021-01-01 14:00:00,124,118
2021-01-01 15:00:00,128,125
2021-01-01 16:00:00,146,140
2021-01-01 17:00:00,53,53
2021-01-01 18:00:00,34,34
2021-01-01 19:00:00,17,16
2021-01-01 20:00:00,13,12
2021-01-01 21:00:00,7,7
2021-01-01 22:00:00,4,4
2021-01-01 23:00:00,7,7
2021-01-02 00:00:00,1,1
2021-01-02 06:00:00,5,5
2021-01-02 07:00:00,22,21
2021-01-02 08:00:00,32,31
2021-01-02 09:00:00,20,20
2021-01-02 10:00:00,58,56
2021-01-02 11:00:00,63,63
2021-01-02 12:00:00,114,113
2021-01-02 13:00:00,144,141
2021-01-02 14:00:00,188,185
2021-01-02 15:00:00,167,166
2021-01-02 16:00:00,213,210
2021-01-02 17:00:00,68,67
2021-01-02 18:00:00,51,40
2021-01-02 19:00:00,29,23
2021-01-02 20:00:00,9,8
2021-01-02 21:00:00,6,5
2021-01-02 22:00:00,3,3
2021-01-02 23:00:00,1,1
2021-01-03 03:00:00,1,1
2021-01-03 04:00:00,1,1
2021-01-03 05:00:00,1,1
2021-01-03 06:00:00,2,2
2021-01-03 07:00:00,3,3
2021-01-03 08:00:00,18,9
2021-01-03 09:00:00,11,11
2021-01-03 10:00:00,61,60
2021-01-03 11:00:00,85,85
2021-01-03 12:00:00,120,112
2021-01-03 13:00:00,174,174
2021-01-03 14:00:00,248,245
2021-01-03 15:00:00,280,276
2021-01-03 16:00:00,278,276
2021-01-03 17:00:00,79,71
2021-01-03 18:00:00,32,32
2021-01-03 19:00:00,18,18
2021-01-03 20:00:00,11,11
2021-01-03 21:00:00,20,20
2021-01-03 22:00:00,27,27
2021-01-03 23:00:00,21,20
2021-01-04 00:00:00,9,9
2021-01-04 04:00:00,2,2
2021-01-04 05:00:00,3,3
2021-01-04 06:00:00,94,94
2021-01-04 07:00:00,1268,1257
2021-01-04 08:00:00,1270,1260
2021-01-04 09:00:00,1085,1077
2021-01-04 10:00:00,1014,1007
2021-01-04 11:00:00,1196,1184
2021-01-04 12:00:00,1405,1387
2021-01-04 13:00:00,1334,1318
2021-01-04 14:00:00,1400,1386
2021-01-04 15:00:00,1168,1158
2021-01-04 16:00:00,1339,1327
2021-01-04 17:00:00,1367,1347
2021-01-04 18:00:00,1778,1756
2021-01-04 19:00:00,1497,1483
2021-01-04 20:00:00,625,618
2021-01-04 21:00:00,44,43
2021-01-04 22:00:00,36,36
2021-01-04 23:00:00,24,21
2021-01-05 00:00:00,2,2
2021-01-05 03:00:00,1,1
2021-01-05 04:00:00,1,1
2021-01-05 05:00:00,3,3
2021-01-05 06:00:00,81,81
2021-01-05 07:00:00,744,737
2021-01-05 08:00:00,955,948
2021-01-05 09:00:00,881,872
2021-01-05 10:00:00,909,900
2021-01-05 11:00:00,986,970
2021-01-05 12:00:00,1186,1168
2021-01-05 13:00:00,1244,1229
2021-01-05 14:00:00,1249,1237
2021-01-05 15:00:00,1141,1131
2021-01-05 16:00:00,1110,1094
2021-01-05 17:00:00,1022,1014
2021-01-05 18:00:00,1322,1306
2021-01-05 19:00:00,1280,1266
2021-01-05 20:00:00,575,569
2021-01-05 21:00:00,36,36
2021-01-05 22:00:00,15,15
2021-01-05 23:00:00,17,17
2021-01-06 05:00:00,1,1
2021-01-06 06:00:00,92,91
2021-01-06 07:00:00,763,760
2021-01-06 08:00:00,947,939
2021-01-06 09:00:00,833,826
2021-01-06 10:00:00,885,878
2021-01-06 11:00:00,1049,1032
2021-01-06 12:00:00,1143,1126
2021-01-06 13:00:00,1183,1172
2021-01-06 14:00:00,1127,1113
2021-01-06 15:00:00,1089,1070
2021-01-06 16:00:00,1080,1068
2021-01-06 17:00:00,1174,1156
2021-01-06 18:00:00,1411,1393
2021-01-06 19:00:00,1283,1271
2021-01-06 20:00:00,553,539
2021-01-06 21:00:00,25,25
2021-01-06 22:00:00,17,17
2021-01-06 23:00:00,19,19
2021-01-07 01:00:00,1,1
2021-01-07 05:00:00,1,1
2021-01-07 06:00:00,85,85
2021-01-07 07:00:00,586,582
2021-01-07 08:00:00,518,515
2021-01-07 09:00:00,601,594
2021-01-07 10:00:00,907,892
2021-01-07 11:00:00,1023,1013
2021-01-07 12:00:00,1200,1186
2021-01-07 13:00:00,1245,1228
2021-01-07 14:00:00,1112,1100
2021-01-07 15:00:00,1135,1122
2021-01-07 16:00:00,1160,1142
2021-01-07 17:00:00,1151,1137
2021-01-07 18:00:00,1405,1391
2021-01-07 19:00:00,1254,1245
2021-01-07 20:00:00,536,530
2021-01-07 21:00:00,44,42
2021-01-07 22:00:00,27,27
2021-01-07 23:00:00,16,16
2021-01-08 00:00:00,1,1
2021-01-08 03:00:00,1,1
2021-01-08 05:00:00,3,3
2021-01-08 06:00:00,53,53
2021-01-08 07:00:00,644,635
2021-01-08 08:00:00,812,803
2021-01-08 09:00:00,849,842
2021-01-08 10:00:00,850,841
2021-01-08 11:00:00,990,983
2021-01-08 12:00:00,1105,1096
2021-01-08 13:00:00,1046,1039
2021-01-08 14:00:00,1469,1451
2021-01-08 15:00:00,1272,1265
2021-01-08 16:00:00,1175,1168
2021-01-08 17:00:00,1197,1186
2021-01-08 18:00:00,1337,1316
2021-01-08 19:00:00,1284,1271
2021-01-08 20:00:00,653,646
2021-01-08 21:00:00,27,26
