,tarih,saat,yukleme_adedi,yukleme_yapilan_kart_adedi
0,2020-01-01,00:00:00,75,75
1,2020-01-01,01:00:00,13,13
2,2020-01-01,02:00:00,4,4
3,2020-01-01,03:00:00,2,2
4,2020-01-01,05:00:00,3,3
5,2020-01-01,06:00:00,31,30
6,2020-01-01,07:00:00,587,582
7,2020-01-01,08:00:00,790,781
8,2020-01-01,09:00:00,846,827
9,2020-01-01,10:00:00,1186,1174
10,2020-01-01,11:00:00,1762,1734
11,2020-01-01,12:00:00,2307,2267
12,2020-01-01,13:00:00,2307,2286
13,2020-01-01,14:00:00,2319,2272
14,2020-01-01,15:00:00,2329,2284
15,2020-01-01,16:00:00,2645,2583
16,2020-01-01,17:00:00,2615,2566
17,2020-01-01,18:00:00,2277,2251
18,2020-01-01,19:00:00,1759,1734
19,2020-01-01,20:00:00,1276,1261
20,2020-01-01,21:00:00,928,912
21,2020-01-01,22:00:00,669,659
22,2020-01-01,23:00:00,290,283
23,2020-01-02,00:00:00,81,80
24,2020-01-02,01:00:00,15,15
25,2020-01-02,02:00:00,12,12
26,2020-01-02,03:00:00,2,2
27,2020-01-02,04:00:00,1,1
28,2020-01-02,05:00:00,5,5
29,2020-01-02,06:00:00,179,178
30,2020-01-02,07:00:00,2758,2735
31,2020-01-02,08:00:00,3123,3092
32,2020-01-02,09:00:00,1998,1975
33,2020-01-02,10:00:00,1800,1773
34,2020-01-02,11:00:00,2346,2319
35,2020-01-02,12:00:00,3051,3014
36,2020-01-02,13:00:00,2901,2865
37,2020-01-02,14:00:00,2616,2575
38,2020-01-02,15:00:00,3591,3548
39,2020-01-02,16:00:00,3601,3546
40,2020-01-02,17:00:00,3258,3210
41,2020-01-02,18:00:00,2797,2773
42,2020-01-02,19:00:00,2167,2139
43,2020-01-02,20:00:00,1424,1404
44,2020-01-02,21:00:00,925,916
45,2020-01-02,22:00:00,655,644
46,2020-01-02,23:00:00,280,277
47,2020-01-03,00:00:00,66,66
48,2020-01-03,01:00:00,13,13
49,2020-01-03,02:00:00,3,3
50,2020-01-03,03:00:00,3,3
51,2020-01-03,05:00:00,5,5
52,2020-01-03,06:00:00,129,129
53,2020-01-03,07:00:00,2400,2387
54,2020-01-03,08:00:00,2619,2597
55,2020-01-03,09:00:00,1779,1759
56,2020-01-03,10:00:00,1652,1634
57,2020-01-03,11:00:00,2001,1975
58,2020-01-03,12:00:00,2637,2606
59,2020-01-03,13:00:00,2171,2152
60,2020-01-03,14:00:00,2749,2708
61,2020-01-03,15:00:00,3246,3198
62,2020-01-03,16:00:00,3494,3441
63,2020-01-03,17:00:00,2902,2858
64,2020-01-03,18:00:00,2753,2711
65,2020-01-03,19:00:00,2092,2069
66,2020-01-03,20:00:00,1355,1337
67,2020-01-03,21:00:00,930,914
68,2020-01-03,22:00:00,713,702
69,2020-01-03,23:00:00,277,273
70,2020-01-04,00:00:00,72,71
71,2020-01-04,01:00:00,8,8
72,2020-01-04,02:00:00,2,2
73,2020-01-04,03:00:00,3,3
74,2020-01-04,05:00:00,1,1
75,2020-01-04,06:00:00,49,46
76,2020-01-04,07:00:00,958,948
77,2020-01-04,08:00:00,1670,1657
78,2020-01-04,09:00:00,1524,1507
79,2020-01-04,10:00:00,1552,1532
80,2020-01-04,11:00:00,2237,2211
81,2020-01-04,12:00:00,3080,3039
82,2020-01-04,13:00:00,3230,3181
83,2020-01-04,14:00:00,3029,2982
84,2020-01-04,15:00:00,2934,2891
85,2020-01-04,16:00:00,3141,3083
86,2020-01-04,17:00:00,3164,3118
87,2020-01-04,18:00:00,2625,2571
88,2020-01-04,19:00:00,1968,1931
89,2020-01-04,20:00:00,1309,1288
90,2020-01-04,21:00:00,787,777
91,2020-01-04,22:00:00,695,681
92,2020-01-04,23:00:00,342,340
93,2020-01-05,00:00:00,74,74
94,2020-01-05,01:00:00,9,8
