_id,tarih,saat,yukleme_adedi,yukleme_yapilan_kart_adedi
1,2019-01-01T00:00:00,0,67,65
2,2019-01-01T00:00:00,1,10,9
3,2019-01-01T00:00:00,2,1,1
4,2019-01-01T00:00:00,3,3,3
5,2019-01-01T00:00:00,4,1,1
6,2019-01-01T00:00:00,5,6,6
7,2019-01-01T00:00:00,6,28,28
8,2019-01-01T00:00:00,7,493,488
9,2019-01-01T00:00:00,8,676,670
10,2019-01-01T00:00:00,9,776,766
11,2019-01-01T00:00:00,10,1026,1015
12,2019-01-01T00:00:00,11,1699,1676
13,2019-01-01T00:00:00,12,2094,2062
14,2019-01-01T00:00:00,13,2114,2089
15,2019-01-01T00:00:00,14,2182,2158
16,2019-01-01T00:00:00,15,2182,2160
17,2019-01-01T00:00:00,16,2287,2250
18,2019-01-01T00:00:00,17,2476,2457
19,2019-01-01T00:00:00,18,2446,2424
20,2019-01-01T00:00:00,19,1631,1607
21,2019-01-01T00:00:00,20,1062,1054
22,2019-01-01T00:00:00,21,928,918
23,2019-01-01T00:00:00,22,609,603
24,2019-01-01T00:00:00,23,323,322
25,2019-01-02T00:00:00,0,37,37
26,2019-01-02T00:00:00,1,8,8
27,2019-01-02T00:00:00,2,3,3
28,2019-01-02T00:00:00,3,6,6
29,2019-01-02T00:00:00,4,3,3
30,2019-01-02T00:00:00,6,171,170
31,2019-01-02T00:00:00,7,2483,2468
32,2019-01-02T00:00:00,8,2970,2940
33,2019-01-02T00:00:00,9,1903,1890
34,2019-01-02T00:00:00,10,1610,1597
35,2019-01-02T00:00:00,11,2085,2061
36,2019-01-02T00:00:00,12,2837,2813
37,2019-01-02T00:00:00,13,2390,2361
38,2019-01-02T00:00:00,14,2652,2625
39,2019-01-02T00:00:00,15,3456,3423
40,2019-01-02T00:00:00,16,3583,3555
41,2019-01-02T00:00:00,17,3245,3215
42,2019-01-02T00:00:00,18,2819,2794
43,2019-01-02T00:00:00,19,2014,1995
44,2019-01-02T00:00:00,20,1304,1292
45,2019-01-02T00:00:00,21,990,977
46,2019-01-02T00:00:00,22,624,616
47,2019-01-02T00:00:00,23,279,277
48,2019-01-03T00:00:00,0,41,41
49,2019-01-03T00:00:00,1,6,6
50,2019-01-03T00:00:00,2,1,1
51,2019-01-03T00:00:00,4,1,1
52,2019-01-03T00:00:00,5,1,1
53,2019-01-03T00:00:00,6,109,108
54,2019-01-03T00:00:00,7,2028,2014
55,2019-01-03T00:00:00,8,2671,2652
56,2019-01-03T00:00:00,9,1712,1699
57,2019-01-03T00:00:00,10,1766,1739
58,2019-01-03T00:00:00,11,2048,2018
59,2019-01-03T00:00:00,12,2846,2821
60,2019-01-03T00:00:00,13,2449,2425
61,2019-01-03T00:00:00,14,2496,2462
62,2019-01-03T00:00:00,15,3344,3309
63,2019-01-03T00:00:00,16,3300,3265
64,2019-01-03T00:00:00,17,2981,2942
65,2019-01-03T00:00:00,18,2706,2678
66,2019-01-03T00:00:00,19,1976,1958
67,2019-01-03T00:00:00,20,1317,1308
68,2019-01-03T00:00:00,21,920,913
69,2019-01-03T00:00:00,22,593,589
70,2019-01-03T00:00:00,23,252,250
71,2019-01-04T00:00:00,0,38,38
72,2019-01-04T00:00:00,1,6,6
73,2019-01-04T00:00:00,2,4,4
74,2019-01-04T00:00:00,3,2,2
75,2019-01-04T00:00:00,4,3,3
76,2019-01-04T00:00:00,5,1,1
77,2019-01-04T00:00:00,6,99,99
78,2019-01-04T00:00:00,7,1943,1931
79,2019-01-04T00:00:00,8,2200,2178
80,2019-01-04T00:00:00,9,1579,1561
81,2019-01-04T00:00:00,10,1487,1470
82,2019-01-04T00:00:00,11,1868,1847
83,2019-01-04T00:00:00,12,2347,2325
84,2019-01-04T00:00:00,13,1870,1850
85,2019-01-04T00:00:00,14,2558,2536
86,2019-01-04T00:00:00,15,2970,2941
87,2019-01-04T00:00:00,16,3296,3269
88,2019-01-04T00:00:00,17,2879,2845
89,2019-01-04T00:00:00,18,2709,2666
90,2019-01-04T00:00:00,19,1931,1918
91,2019-01-04T00:00:00,20,1277,1263
92,2019-01-04T00:00:00,21,872,862
93,2019-01-04T00:00:00,22,602,594
94,2019-01-04T00:00:00,23,353,351
95,2019-01-05T00:00:00,0,39,39
96,2019-01-05T00:00:00,1,3,3
97,2019-01-05T00:00:00,2,2,2
98,2019-01-05T00:00:00,4,2,2
99,2019-01-05T00:00:00,5,4,4
100,2019-01-05T00:00:00,6,55,54
101,2019-01-05T00:00:00,7,821,810
102,2019-01-05T00:00:00,8,1469,1454
103,2019-01-05T00:00:00,9,1301,1294
104,2019-01-05T00:00:00,10,1552,1543
105,2019-01-05T00:00:00,11,2134,2118
106,2019-01-05T00:00:00,12,3001,2965
107,2019-01-05T00:00:00,13,3176,3128
108,2019-01-05T00:00:00,14,2930,2899
109,2019-01-05T00:00:00,15,2595,2572
110,2019-01-05T00:00:00,16,2798,2761
111,2019-01-05T00:00:00,17,2830,2796
112,2019-01-05T00:00:00,18,2566,2535
113,2019-01-05T00:00:00,19,1683,1656
114,2019-01-05T00:00:00,20,1114,1101
115,2019-01-05T00:00:00,21,783,777
116,2019-01-05T00:00:00,22,633,628
117,2019-01-05T00:00:00,23,350,342
118,2019-01-06T00:00:00,0,45,44
119,2019-01-06T00:00:00,1,6,6
120,2019-01-06T00:00:00,2,5,5
121,2019-01-06T00:00:00,3,2,2
122,2019-01-06T00:00:00,4,1,1
123,2019-01-06T00:00:00,6,13,13
124,2019-01-06T00:00:00,7,143,142
125,2019-01-06T00:00:00,8,456,451
126,2019-01-06T00:00:00,9,702,693
127,2019-01-06T00:00:00,10,759,753
128,2019-01-06T00:00:00,11,1188,1163
