,emekli_lokali_adi,enlem,boylam,aylik_yararlanici_sayisi,yillik_yararlanici_sayisi,icecek_hizmeti,gazete_hizmeti,televizyon_hizmeti
0,Akincilar Emekliler Lokali,37.90230,32.46603,2400,28000,var,var,var
1,Akşemsettin Emekli Lokali,37.89372,32.45704,380,4500,var,var,var
2,Dumlupinar Emekliler Lokali,37.98551,32.63788,1680,20000,var,var,var
3,Esenler Emekliler Lokali,37.89446,32.47191,2050,24500,var,var,var
4,Fatih Emekli Lokali,37.89809,32.49179,400,4800,var,var,var
5,Gazalya Hatun Mahalle Konaği Emekliler Lokali,37.94559,32.50000,2200,26400,var,var,var
6,Gevher Hatun Emekli Lokali,37.90716,32.46380,480,5760,var,var,var
7,Kosova Emekli Lokali,37.97655,32.52347,1900,22800,var,var,var
8,Mahperi Hatun Emekli Lokali,37.89296,32.48650,400,4800,var,var,var
9,Mehmet Akif Emekli Lokali,37.90761,32.47597,2100,25900,var,var,var
10,Musalla Bağlari Emekli Lokali,37.89214,32.49967,720,8600,var,var,var
11,Sakarya Emekliler Lokali,37.91626,32.50089,1440,17280,var,var,var
12,Selçuki Hatun Emekliler Lokali,37.95875,32.52459,600,7200,var,var,var
13,Yazir Emekliler Lokali,37.96022,32.50191,1920,25000,var,var,var
14,Malazgirt Emekliler Lokali,37.93247,32.49936,400,4800,var,var,var
15,Beyhekim Emekliler Lokali,37.98445,32.49356,360,4320,var,var,var
16,Buhara Emekliler Lokali,37.93556,32.49204,700,8500,var,var,var
