id;emekli_lokali_adı;enlem;boylam;aylık/yıllık_yaralanıcı_sayısı;sunulan_hizmet_1;sunulan_hizmet_2;sunulan_hizmet_3;sunulan_hizmet_4
1.0;AKINCILAR EMEKLİLER LOKALİ;37.90230;32,46603;2400/28.000;Çay vb. içecekler;Gazate;Televizyon;Emeklilerin vakit geçirebileceği bir tesis
2.0;AKŞEMSETTİN EMEKLİ LOKALİ;37,89372;32,45704;380/4500;Çay vb. içecekler;Gazate;Televizyon;Emeklilerin vakit geçirebileceği bir tesis
3.0;DUMLUPINAR EMEKLİLER LOKALİ;37,98551;32,63788;1680/20.000;Çay vb. içecekler;Gazate;Televizyon;Emeklilerin vakit geçirebileceği bir tesis
4.0;ESENLER EMEKLİLER LOKALİ;37,89446;32,47191;2050/24.500;Çay vb. içecekler;Gazate;Televizyon;Emeklilerin vakit geçirebileceği bir tesis
5.0;FATİH EMEKLİ LOKALİ;37,89809;32,49179;400/4800;Çay vb. içecekler;Gazate;Televizyon;Emeklilerin vakit geçirebileceği bir tesis
6.0;GAZALYA HATUN MAHALLE KONAĞI EMEKLİLER LOKALİ;37,94559;32.50000;2200/26.400;Çay vb. içecekler;Gazate;Televizyon;Emeklilerin vakit geçirebileceği bir tesis
7.0;GEVHER HATUN EMEKLİ LOKALİ;37,90716;32.46380;480/5760;Çay vb. içecekler;Gazate;Televizyon;Emeklilerin vakit geçirebileceği bir tesis
8.0;KOSOVA EMEKLİ LOKALİ;37,97655;32,52347;1900/22.800;Çay vb. içecekler;Gazate;Televizyon;Emeklilerin vakit geçirebileceği bir tesis
9.0;MAHPERİ HATUN EMEKLİ LOKALİ;37,89296;32.48650;400/4800;Çay vb. içecekler;Gazate;Televizyon;Emeklilerin vakit geçirebileceği bir tesis
10.0;MEHMET AKİF EMEKLİ LOKALİ;37,90761;32,47597;2100/25.900;Çay vb. içecekler;Gazate;Televizyon;Emeklilerin vakit geçirebileceği bir tesis
11.0;MUSALLA BAĞLARI EMEKLİ LOKALİ;37,89214;32,49967;720/8600;Çay vb. içecekler;Gazate;Televizyon;Emeklilerin vakit geçirebileceği bir tesis
12.0;SAKARYA EMEKLİLER LOKALİ;37,91626;32,50089;1440/17.280;Çay vb. içecekler;Gazate;Televizyon;Emeklilerin vakit geçirebileceği bir tesis
13.0;SELÇUKİ HATUN EMEKLİLER LOKALİ;37,95875;32,52459;600/7200;Çay vb. içecekler;Gazate;Televizyon;Emeklilerin vakit geçirebileceği bir tesis
14.0;YAZIR EMEKLİLER LOKALİ;37,96022;32,50191;1920/25.000;Çay vb. içecekler;Gazate;Televizyon;Emeklilerin vakit geçirebileceği bir tesis
15.0;MALAZGİRT EMEKLİLER LOKALİ;37,93247;32,49936;400/4800;Çay vb. içecekler;Gazate;Televizyon;Emeklilerin vakit geçirebileceği bir tesis
16.0;BEYHEKİM EMEKLİLER LOKALİ;37,98445;32,49356;360/4320;Çay vb. içecekler;Gazate;Televizyon;Emeklilerin vakit geçirebileceği bir tesis
17.0;BUHARA EMEKLİLER LOKALİ;37,93556;32,49204;700/8500;Çay vb. içecekler;Gazate;Televizyon;Emeklilerin vakit geçirebileceği bir tesis
;;;;;;;;
