,tarih,sogan_yesil_(yerli),turp_kirmizi_(yerli),semiz_otu(bag)_yerli,armut_(yerli),biber_carli_(yerli),maydonoz_(yerli)_bag,kiraz_(yerli),biber_kÄ±l_(yerli),havuc,visne_(yerli),biber_sivri_(yerli),salatalik_(yerli),patlican_(yerli),kayisi_(yerli),marul_(yerli)adet,kabak_(yerli),fasulye_(yerli),domates_(yerli),biber_dolma_(yerli),kabak_(beyaz),misir_(taze)adet,patates(ii.),domates_(ceri),marul_(mor)adet,marul_(muhtelif)adet,marul_(aysberk)adet,biber_(koy),brokoli,patates_(taze),domates_(ii),sogan_taze_(yesil),biber_(ii),roka(bag),patates,pirasa,pazi,barbunya,turp_muhtelif,tere,sogan_(goger),salatalik_(silor),salatalik_(muhtelif),sogan_(kÄ±rmÄ±zÄ±),sogan_(kuru),sarimsak_(kuru),sarimsak_(taze),semiz_otu(bag),pancar_(kÄ±rmÄ±zÄ±),salatalik_(kornison),lahana_(buruksel),asma_yapragi,hirtlak,domates_(koy),karpuz_(ithal),fasulye_(muhtelif),feslegen(reyhan)bag,ispanak,karnabahar,kereviz,kabak_(kara),kabak_(bal),kavun_(ithal),enginar(adet),dere_otu_(bag),bakla,bezelye_(araka),biber_(sivri),biber_(dolma),biber_(carli),biber_(cin),biber_salcalÄ±k_(kapya),biber_kÄ±l,lahana_(beyaz),lahana_(mor),biber_(kÄ±l),patlican_(kemer),mandalin_(ii),domates_(salkÄ±m),domates_(muhtelif),dometes_(salcalÄ±k),salatalik_(ii),sogan_(ii),limon_(ii),nane(bag),patlican_(topak),mantar_(kultur),maydonoz_(bag),patates.1,bamya,eksi_ot_(bag),incir,kestane,hurma
0,2021-06-24,0.5,9.0,2.0,1.5,2.5,1.0,2.5,1.5,1.0,1.5,2.0,6.0,3.0,0.5,1.4,1.0,0.5,1.5,0.7,3.0,0.8,8.0,5.0,1.0,1.5,2.0,3.0,1.0,2.0,3.0,2.0,1.0,5.0,0.5,3.0,2.0,1.5,1.5,3.0,2.0,0.7,1.0,5.0,1.0,2.0,1.8,0.7,1.5,7.0,0.5,0.5,20.0,3.0,4.0,7.0,11.0,7.0,3.0,4.0,6.0,3.0,9.0,3.5,3.0,2.0,7.0,0.5,4.0,3.0,2.0,4.0,8.0,5.0,3.0,1.5,5.0,,,,,,,,,,,,,,,,,
1,2021-06-21,0.5,9.0,2.0,2.0,1.5,2.5,1.0,2.5,1.5,1.0,1.5,2.0,6.0,3.0,0.5,1.4,1.0,0.5,1.5,0.7,3.0,0.8,10.0,5.0,1.0,1.5,2.0,4.0,1.0,2.0,3.0,2.0,1.0,5.0,0.5,3.0,2.5,1.5,1.5,3.0,2.0,0.7,1.0,5.0,1.0,2.0,1.8,0.7,1.5,7.0,0.5,0.5,20.0,3.0,4.0,7.0,11.0,7.0,3.0,4.0,6.0,3.0,9.0,10.0,3.5,3.0,2.0,7.0,0.5,4.0,4.0,2.0,4.0,8.0,5.0,3.0,1.5,3.0,,,,,,,,,,,,,,,
2,2021-06-14,2.0,2.5,1.0,2.5,1.5,1.0,1.5,2.0,6.0,3.0,0.5,1.4,1.0,0.5,1.5,0.7,3.0,0.8,10.0,5.0,1.0,1.5,2.0,4.0,1.0,2.0,3.0,2.0,1.0,5.0,0.5,3.0,2.5,2.5,1.5,3.0,4.0,0.7,1.0,5.0,1.0,2.0,1.8,0.7,1.5,7.0,0.5,0.5,4.5,20.0,3.0,4.0,7.0,11.0,7.0,5.0,3.0,4.0,6.0,3.0,9.0,10.0,3.5,3.0,2.0,7.0,0.5,10.0,8.0,2.0,3.0,5.0,8.0,5.0,3.0,2.0,3.0,,,,,,,,,,,,,,,,
3,2021-06-10,2.0,1.0,2.5,1.5,1.0,1.5,2.0,6.0,3.0,0.5,1.4,1.0,0.5,1.5,0.7,3.0,0.8,25.0,10.0,1.0,1.5,2.0,4.0,1.0,1.5,3.0,2.0,1.0,5.0,0.5,3.0,2.0,2.5,1.5,3.0,6.0,0.7,1.0,5.0,2.0,2.0,1.5,0.7,1.5,7.0,0.5,0.5,4.5,20.0,3.0,4.0,7.0,11.0,7.0,5.0,5.0,4.0,6.0,3.0,7.0,3.5,3.0,2.0,7.0,0.5,10.0,10.0,2.0,3.0,5.0,8.0,5.0,5.0,2.0,3.0,,,,,,,,,,,,,,,,,,
4,2021-06-07,2.0,1.0,2.5,1.5,1.0,1.5,2.0,6.0,3.0,0.5,1.4,1.0,0.5,1.5,0.7,3.0,0.8,10.0,5.0,1.0,1.5,2.0,4.0,1.0,1.5,3.0,2.0,1.0,5.0,0.5,3.0,2.0,2.5,1.5,3.0,6.0,0.7,1.0,5.0,2.0,2.0,1.8,0.7,1.5,7.0,0.5,0.5,4.5,20.0,3.0,4.0,7.0,11.0,7.0,5.0,5.0,4.0,6.0,3.0,7.0,3.5,3.0,2.0,7.0,0.5,10.0,10.0,2.0,3.0,5.0,8.0,5.0,5.0,2.0,3.0,,,,,,,,,,,,,,,,,,
5,2021-06-03,2.0,1.0,2.5,1.5,1.0,1.5,2.0,6.0,3.0,0.5,1.0,1.0,0.5,1.5,0.7,3.0,0.8,10.0,5.0,1.0,1.5,2.0,4.0,1.0,1.5,3.0,2.0,1.0,5.0,0.5,3.0,2.0,2.5,1.5,3.0,6.0,0.7,1.0,5.0,2.0,2.0,1.8,0.7,1.5,7.0,0.5,0.5,4.5,20.0,3.0,4.0,7.0,11.0,7.0,5.0,5.0,4.0,6.0,3.0,7.0,3.5,3.0,2.0,7.0,1.0,10.0,10.0,2.0,3.0,5.0,8.0,5.0,5.0,2.0,3.0,,,,,,,,,,,,,,,,,,
6,2021-05-31,2.0,1.0,2.5,1.5,1.0,1.5,2.0,6.0,3.0,0.5,1.0,1.0,0.5,1.5,0.7,3.0,0.8,10.0,5.0,1.0,1.5,2.0,4.0,1.0,1.5,1.5,2.0,1.0,5.0,0.5,3.0,2.0,2.5,1.5,3.0,6.0,0.7,4.0,2.0,2.0,1.8,0.7,1.5,7.0,0.5,0.5,4.5,20.0,3.0,3.0,5.0,7.0,11.0,7.0,5.0,5.0,6.0,3.0,7.0,3.5,3.0,2.0,7.0,1.0,10.0,10.0,2.0,3.0,5.0,8.0,5.0,5.0,2.0,3.0,,,,,,,,,,,,,,,,,,,
7,2021-05-27,2.0,1.0,2.0,1.5,1.5,1.5,2.0,6.0,3.0,0.5,1.0,1.0,0.5,1.5,0.7,3.0,0.8,10.0,5.0,1.0,1.5,2.0,4.0,1.0,1.0,1.5,2.0,1.0,5.0,0.5,3.0,2.0,2.5,1.5,3.0,6.0,0.7,1.0,3.0,2.0,2.0,1.8,0.7,1.5,7.0,0.5,0.5,4.5,20.0,3.5,3.0,5.0,7.0,11.0,7.0,5.0,5.0,4.0,6.0,3.0,7.0,3.5,3.0,2.0,7.0,1.0,10.0,10.0,2.0,3.0,5.0,8.0,5.0,5.0,2.0,3.0,,,,,,,,,,,,,,,,,
8,2021-05-24,2.0,1.0,3.0,1.5,1.5,1.5,2.0,6.0,3.0,0.5,1.5,1.0,0.5,1.5,0.7,3.0,0.8,10.0,5.0,1.0,1.5,2.5,4.0,1.0,1.5,1.5,2.0,1.0,1.0,5.0,0.5,3.0,2.0,2.5,1.5,3.0,6.0,0.7,1.0,3.0,2.0,2.5,1.8,0.7,1.5,7.0,0.5,0.5,20.0,3.5,3.0,7.0,11.0,7.0,8.0,5.0,4.0,6.0,3.0,7.0,3.5,3.0,2.0,7.0,2.0,2.0,3.0,10.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
9,2021-05-20,2.0,1.0,3.0,2.5,2.5,3.0,2.0,6.0,3.0,0.5,1.8,1.0,1.5,0.5,1.5,0.7,3.0,0.8,15.0,5.0,1.0,1.5,2.5,4.0,1.0,1.5,1.5,2.0,1.0,1.0,5.0,0.5,3.0,2.0,2.5,2.0,4.0,7.0,0.7,1.0,3.0,2.0,3.0,2.5,0.7,1.5,7.0,0.5,0.5,10.0,4.5,20.0,3.5,3.0,7.0,11.0,7.0,8.0,5.0,4.0,6.0,1.2,3.0,7.0,3.5,3.0,2.0,7.0,2.0,2.0,3.0,10.0,4.0,3.0,,,,,,,,,,,,,,,,,,,
