_id,tarih,deger,birim
1,2004-12-31T00:00:00,0,Ton
2,2005-12-31T00:00:00,46.58500000000000085265128291212022304534912109375,Ton
3,2006-12-31T00:00:00,86.8529999999999944293449516408145427703857421875,Ton
4,2007-12-31T00:00:00,87.832999999999998408384271897375583648681640625,Ton
5,2008-12-31T00:00:00,88.3550000000000039790393202565610408782958984375,Ton
6,2009-12-31T00:00:00,90.1280000000000001136868377216160297393798828125,Ton
7,2010-12-31T00:00:00,95.2240000000000037516656448133289813995361328125,Ton
8,2011-12-31T00:00:00,101.951999999999998181010596454143524169921875,Ton
9,2012-12-31T00:00:00,111.034999999999996589394868351519107818603515625,Ton
10,2013-01-01T00:00:00,43020,Ton
11,2013-02-01T00:00:00,37015,Ton
12,2013-03-01T00:00:00,32500,Ton
13,2013-04-01T00:00:00,33730,Ton
14,2013-05-01T00:00:00,32095,Ton
15,2013-06-01T00:00:00,30725,Ton
16,2013-07-01T00:00:00,18460,Ton
17,2013-08-01T00:00:00,38675,Ton
18,2013-09-01T00:00:00,37405,Ton
19,2013-10-01T00:00:00,37685,Ton
20,2013-11-01T00:00:00,31865,Ton
21,2013-12-01T00:00:00,31675,Ton
22,2013-01-13T00:00:00,34925,Ton
23,2013-01-14T00:00:00,19375,Ton
24,2013-01-15T00:00:00,38900,Ton
25,2013-01-16T00:00:00,33675,Ton
26,2013-01-17T00:00:00,28370,Ton
27,2013-01-18T00:00:00,28525,Ton
28,2013-01-19T00:00:00,26550,Ton
29,2013-01-20T00:00:00,30880,Ton
30,2013-01-21T00:00:00,20095,Ton
31,2013-01-22T00:00:00,40335,Ton
32,2013-01-23T00:00:00,32615,Ton
33,2013-01-24T00:00:00,34270,Ton
34,2013-01-25T00:00:00,32080,Ton
35,2013-01-26T00:00:00,29770,Ton
36,2013-01-27T00:00:00,26305,Ton
37,2013-01-28T00:00:00,19880,Ton
38,2013-01-29T00:00:00,43235,Ton
39,2013-01-30T00:00:00,21885,Ton
40,2013-01-31T00:00:00,20650,Ton
41,2013-01-02T00:00:00,31910,Ton
42,2013-02-02T00:00:00,27820,Ton
43,2013-03-02T00:00:00,29685,Ton
44,2013-04-02T00:00:00,17255,Ton
45,2013-05-02T00:00:00,35580,Ton
46,2013-06-02T00:00:00,30555,Ton
47,2013-07-02T00:00:00,36185,Ton
48,2013-08-02T00:00:00,32605,Ton
49,2013-09-02T00:00:00,29880,Ton
50,2013-10-02T00:00:00,30525,Ton
51,2013-11-02T00:00:00,18815,Ton
52,2013-12-02T00:00:00,35895,Ton
53,2013-02-13T00:00:00,39150,Ton
54,2013-02-14T00:00:00,36320,Ton
55,2013-02-15T00:00:00,31335,Ton
56,2013-02-16T00:00:00,28050,Ton
57,2013-02-17T00:00:00,29135,Ton
58,2013-02-18T00:00:00,16160,Ton
59,2013-02-19T00:00:00,40050,Ton
60,2013-02-20T00:00:00,37940,Ton
61,2013-02-21T00:00:00,32650,Ton
62,2013-02-22T00:00:00,34530,Ton
63,2013-02-23T00:00:00,31335,Ton
64,2013-02-24T00:00:00,31015,Ton
65,2013-02-25T00:00:00,35600,Ton
66,2013-02-26T00:00:00,37650,Ton
67,2013-02-27T00:00:00,45755,Ton
68,2013-02-28T00:00:00,24575,Ton
69,2013-01-03T00:00:00,36125,Ton
70,2013-02-03T00:00:00,30270,Ton
71,2013-03-03T00:00:00,32565,Ton
72,2013-04-03T00:00:00,15460,Ton
73,2013-05-03T00:00:00,42095,Ton
74,2013-06-03T00:00:00,39925,Ton
75,2013-07-03T00:00:00,32355,Ton
76,2013-08-03T00:00:00,32010,Ton
77,2013-09-03T00:00:00,28415,Ton
78,2013-10-03T00:00:00,31955,Ton
79,2013-11-03T00:00:00,18845,Ton
80,2013-12-03T00:00:00,37280,Ton
81,2013-03-13T00:00:00,34065,Ton
82,2013-03-14T00:00:00,31280,Ton
83,2013-03-15T00:00:00,36965,Ton
84,2013-03-16T00:00:00,28650,Ton
85,2013-03-17T00:00:00,30405,Ton
86,2013-03-18T00:00:00,16535,Ton
87,2013-03-19T00:00:00,36910,Ton
88,2013-03-20T00:00:00,31605,Ton
89,2013-03-21T00:00:00,35780,Ton
90,2013-03-22T00:00:00,33000,Ton
91,2013-03-23T00:00:00,31650,Ton
92,2013-03-24T00:00:00,31960,Ton
93,2013-03-25T00:00:00,17605,Ton
94,2013-03-26T00:00:00,36855,Ton
95,2013-03-27T00:00:00,32735,Ton
96,2013-03-28T00:00:00,33165,Ton
97,2013-03-29T00:00:00,24510,Ton
98,2013-03-30T00:00:00,12515,Ton
99,2013-03-31T00:00:00,29510,Ton
100,2013-01-04T00:00:00,16970,Ton
101,2013-02-04T00:00:00,37240,Ton
102,2013-03-04T00:00:00,34170,Ton
103,2013-04-04T00:00:00,32520,Ton
104,2013-05-04T00:00:00,31010,Ton
105,2013-06-04T00:00:00,30230,Ton
106,2013-07-04T00:00:00,29715,Ton
107,2013-08-04T00:00:00,20960,Ton
108,2013-09-04T00:00:00,36350,Ton
109,2013-10-04T00:00:00,36550,Ton
110,2013-11-04T00:00:00,34440,Ton
111,2013-12-04T00:00:00,30155,Ton
112,2013-04-13T00:00:00,31685,Ton
113,2013-04-14T00:00:00,34490,Ton
114,2013-04-15T00:00:00,17600,Ton
115,2013-04-16T00:00:00,36730,Ton
116,2013-04-17T00:00:00,31095,Ton
117,2013-04-18T00:00:00,35015,Ton
118,2013-04-19T00:00:00,32680,Ton
119,2013-04-20T00:00:00,28545,Ton
120,2013-04-21T00:00:00,31155,Ton
121,2013-04-22T00:00:00,16715,Ton
122,2013-04-23T00:00:00,35075,Ton
123,2013-04-24T00:00:00,30765,Ton
124,2013-04-25T00:00:00,31345,Ton
125,2013-04-26T00:00:00,32025,Ton
126,2013-04-27T00:00:00,26990,Ton
127,2013-04-28T00:00:00,27890,Ton
128,2013-04-29T00:00:00,16255,Ton
129,2013-04-30T00:00:00,33295,Ton
130,2013-01-05T00:00:00,32705,Ton
131,2013-02-05T00:00:00,31370,Ton
