,tarih,değer (ton)
0,2004-12-31,"0,0"
1,2005-12-31,"46,585"
2,2006-12-31,"86,853"
3,2007-12-31,"87,833"
4,2008-12-31,"88,355"
5,2009-12-31,"90,128"
6,2010-12-31,"95,224"
7,2011-12-31,"101,952"
8,2012-12-31,"111,035"
9,2013-01-01,"43020,0"
10,2013-02-01,"37015,0"
11,2013-03-01,"32500,0"
12,2013-04-01,"33730,0"
13,2013-05-01,"32095,0"
14,2013-06-01,"30725,0"
15,2013-07-01,"18460,0"
16,2013-08-01,"38675,0"
17,2013-09-01,"37405,0"
18,2013-10-01,"37685,0"
19,2013-11-01,"31865,0"
20,2013-12-01,"31675,0"
21,2013-01-13,"34925,0"
22,2013-01-14,"19375,0"
23,2013-01-15,"38900,0"
24,2013-01-16,"33675,0"
25,2013-01-17,"28370,0"
26,2013-01-18,"28525,0"
27,2013-01-19,"26550,0"
28,2013-01-20,"30880,0"
29,2013-01-21,"20095,0"
30,2013-01-22,"40335,0"
31,2013-01-23,"32615,0"
32,2013-01-24,"34270,0"
33,2013-01-25,"32080,0"
34,2013-01-26,"29770,0"
35,2013-01-27,"26305,0"
36,2013-01-28,"19880,0"
37,2013-01-29,"43235,0"
38,2013-01-30,"21885,0"
39,2013-01-31,"20650,0"
40,2013-01-02,"31910,0"
41,2013-02-02,"27820,0"
42,2013-03-02,"29685,0"
43,2013-04-02,"17255,0"
44,2013-05-02,"35580,0"
45,2013-06-02,"30555,0"
46,2013-07-02,"36185,0"
47,2013-08-02,"32605,0"
48,2013-09-02,"29880,0"
49,2013-10-02,"30525,0"
50,2013-11-02,"18815,0"
51,2013-12-02,"35895,0"
52,2013-02-13,"39150,0"
53,2013-02-14,"36320,0"
54,2013-02-15,"31335,0"
55,2013-02-16,"28050,0"
56,2013-02-17,"29135,0"
57,2013-02-18,"16160,0"
58,2013-02-19,"40050,0"
59,2013-02-20,"37940,0"
60,2013-02-21,"32650,0"
61,2013-02-22,"34530,0"
62,2013-02-23,"31335,0"
63,2013-02-24,"31015,0"
64,2013-02-25,"35600,0"
65,2013-02-26,"37650,0"
66,2013-02-27,"45755,0"
67,2013-02-28,"24575,0"
68,2013-01-03,"36125,0"
69,2013-02-03,"30270,0"
70,2013-03-03,"32565,0"
71,2013-04-03,"15460,0"
72,2013-05-03,"42095,0"
73,2013-06-03,"39925,0"
74,2013-07-03,"32355,0"
75,2013-08-03,"32010,0"
76,2013-09-03,"28415,0"
77,2013-10-03,"31955,0"
78,2013-11-03,"18845,0"
79,2013-12-03,"37280,0"
80,2013-03-13,"34065,0"
81,2013-03-14,"31280,0"
82,2013-03-15,"36965,0"
83,2013-03-16,"28650,0"
84,2013-03-17,"30405,0"
85,2013-03-18,"16535,0"
86,2013-03-19,"36910,0"
87,2013-03-20,"31605,0"
88,2013-03-21,"35780,0"
89,2013-03-22,"33000,0"
90,2013-03-23,"31650,0"
91,2013-03-24,"31960,0"
92,2013-03-25,"17605,0"
93,2013-03-26,"36855,0"
94,2013-03-27,"32735,0"
95,2013-03-28,"33165,0"
96,2013-03-29,"24510,0"
97,2013-03-30,"12515,0"
98,2013-03-31,"29510,0"
99,2013-01-04,"16970,0"
100,2013-02-04,"37240,0"
101,2013-03-04,"34170,0"
