,tarih,değer (ton)
0,2004-12-31,0.0
1,2005-12-31,4.703
2,2006-12-31,8.673
3,2007-12-31,12.649
4,2008-12-31,8.426
5,2009-12-31,11.469
6,2010-12-31,9.343000000000002
7,2011-12-31,12.287
8,2012-12-31,14.279
9,2013-01-01,3800.0
10,2013-02-01,5945.0
11,2013-03-01,4235.0
12,2013-04-01,4015.0
13,2013-05-01,4595.0
14,2013-06-01,3305.0
15,2013-07-01,590.0
16,2013-08-01,5800.0
17,2013-09-01,2775.0
18,2013-10-01,5030.0
19,2013-11-01,8490.0
20,2013-12-01,4475.0
21,2013-01-13,3090.0
22,2013-01-14,270.0
23,2013-01-15,3985.0
24,2013-01-16,2450.0
25,2013-01-17,1695.0
26,2013-01-18,3665.0
27,2013-01-19,5255.0
28,2013-01-20,3885.0
29,2013-01-21,0.0
30,2013-01-22,3680.0
31,2013-01-23,5150.0
32,2013-01-24,4655.0
33,2013-01-25,2455.0
34,2013-01-26,8845.0
35,2013-01-27,3315.0
36,2013-01-28,0.0
37,2013-01-29,5435.0
38,2013-01-30,17700.0
39,2013-01-31,18610.0
40,2013-01-02,9670.0
41,2013-02-02,7595.0
42,2013-03-02,3400.0
43,2013-04-02,865.0
44,2013-05-02,7330.0
45,2013-06-02,6350.0
46,2013-07-02,10835.0
47,2013-08-02,5870.0
48,2013-09-02,8035.0
49,2013-10-02,5230.0
50,2013-11-02,345.0
51,2013-12-02,5615.0
52,2013-02-13,3935.0
53,2013-02-14,7170.0
54,2013-02-15,7760.0
55,2013-02-16,5350.0
56,2013-02-17,4375.0
57,2013-02-18,875.0
58,2013-02-19,3175.0
59,2013-02-20,6300.0
60,2013-02-21,6565.0
61,2013-02-22,8880.0
62,2013-02-23,6555.0
63,2013-02-24,1035.0
64,2013-02-25,860.0
65,2013-02-26,580.0
66,2013-02-27,2070.0
67,2013-02-28,585.0
68,2013-01-03,5595.0
69,2013-02-03,6295.0
70,2013-03-03,4065.0
71,2013-04-03,0.0
72,2013-05-03,4025.0
73,2013-06-03,4845.0
74,2013-07-03,4005.0
75,2013-08-03,4715.0
76,2013-09-03,8945.0
77,2013-10-03,6255.0
78,2013-11-03,760.0
79,2013-12-03,5555.0
80,2013-03-13,8230.0
81,2013-03-14,5510.0
82,2013-03-15,4670.0
83,2013-03-16,3435.0
84,2013-03-17,8735.0
85,2013-03-18,205.0
86,2013-03-19,6450.0
87,2013-03-20,3290.0
88,2013-03-21,4660.0
89,2013-03-22,5975.0
90,2013-03-23,5985.0
91,2013-03-24,6230.0
92,2013-03-25,415.0
93,2013-03-26,9370.0
94,2013-03-27,4420.0
95,2013-03-28,5745.0
96,2013-03-29,5430.0
97,2013-03-30,5885.0
98,2013-03-31,4545.0
99,2013-01-04,1585.0
100,2013-02-04,5645.0
101,2013-03-04,5480.0
102,2013-04-04,3790.0
103,2013-05-04,6435.0
104,2013-06-04,4690.0
105,2013-07-04,5905.0
106,2013-08-04,285.0
107,2013-09-04,5330.0
108,2013-10-04,6020.0
109,2013-11-04,4575.0
110,2013-12-04,3085.0
111,2013-04-13,5305.0
112,2013-04-14,7975.0
113,2013-04-15,210.0
114,2013-04-16,7305.0
115,2013-04-17,3270.0
116,2013-04-18,3820.0
117,2013-04-19,4905.0
118,2013-04-20,4420.0
119,2013-04-21,5200.0
120,2013-04-22,385.0
121,2013-04-23,5820.0
122,2013-04-24,6925.0
123,2013-04-25,35095.0
124,2013-04-26,18795.0
125,2013-04-27,61165.0
126,2013-04-28,5805.0
127,2013-04-29,26645.0
128,2013-04-30,8565.0
129,2013-01-05,4920.0
130,2013-02-05,7890.0
131,2013-03-05,6055.0
132,2013-04-05,1795.0
133,2013-05-05,10950.0
134,2013-06-05,440.0
135,2013-07-05,15095.0
136,2013-08-05,8010.0
137,2013-09-05,3730.0
138,2013-10-05,9405.0
139,2013-11-05,6055.0
140,2013-12-05,7835.0
141,2013-05-13,140.0
142,2013-05-14,16800.0
143,2013-05-15,7960.0
144,2013-05-16,8525.0
145,2013-05-17,8205.0
146,2013-05-18,8530.0
147,2013-05-19,3605.0
148,2013-05-20,16725.0
149,2013-05-21,17865.0
150,2013-05-22,3840.0
151,2013-05-23,4610.0
152,2013-05-24,8380.0
153,2013-05-25,15265.0
154,2013-05-26,13055.0
155,2013-05-27,2345.0
156,2013-05-28,13315.0
157,2013-05-29,6340.0
158,2013-05-30,7225.0
159,2013-05-31,5440.0
160,2013-01-06,5600.0
161,2013-02-06,6290.0
162,2013-03-06,8375.0
163,2013-04-06,5300.0
164,2013-05-06,2970.0
165,2013-06-06,9395.0
166,2013-07-06,5040.0
167,2013-08-06,12185.0
168,2013-09-06,11690.0
169,2013-10-06,145.0
170,2013-11-06,5710.0
171,2013-12-06,5535.0
172,2013-06-13,6985.0
173,2013-06-14,21090.0
174,2013-06-15,8200.0
175,2013-06-16,20425.0
176,2013-06-17,680.0
177,2013-06-18,4085.0
178,2013-06-19,3300.0
179,2013-06-20,9370.0
180,2013-06-21,6735.0
181,2013-06-22,8225.0
182,2013-06-23,8470.0
183,2013-06-24,1005.0
184,2013-06-25,12320.0
185,2013-06-26,6365.0
186,2013-06-27,15370.0
187,2013-06-28,10540.0
188,2013-06-29,16365.0
189,2013-06-30,11080.0
190,2013-01-07,3570.0
191,2013-02-07,5880.0
192,2013-03-07,8330.0
193,2013-04-07,3895.0
194,2013-05-07,5930.0
195,2013-06-07,9050.0
196,2013-07-07,6725.0
197,2013-08-07,4595.0
198,2013-09-07,18870.0
199,2013-10-07,29745.0
200,2013-11-07,31965.0
201,2013-12-07,20000.0
202,2013-07-13,25205.0
203,2013-07-14,15610.0
204,2013-07-15,2265.0
205,2013-07-16,7630.0
206,2013-07-17,8445.0
207,2013-07-18,7405.0
208,2013-07-19,7620.0
209,2013-07-20,6095.0
210,2013-07-21,5810.0
211,2013-07-22,2250.0
212,2013-07-23,11610.0
213,2013-07-24,10875.0
214,2013-07-25,7095.0
215,2013-07-26,10920.0
216,2013-07-27,4365.0
217,2013-07-28,17185.0
218,2013-07-29,13550.0
219,2013-07-30,17805.0
220,2013-07-31,16690.0
221,2013-01-08,5105.0
222,2013-02-08,6845.0
223,2013-03-08,7315.0
224,2013-04-08,195.0
225,2013-05-08,6940.0
226,2013-06-08,9560.0
227,2013-07-08,7515.0
228,2013-08-08,705.0
229,2013-09-08,2845.0
230,2013-10-08,0.0
231,2013-11-08,815.0
232,2013-12-08,6005.0
233,2013-08-13,6910.0
234,2013-08-14,10870.0
235,2013-08-15,9440.0
236,2013-08-16,9500.0
237,2013-08-17,13325.0
238,2013-08-18,1050.0
239,2013-08-19,7985.0
240,2013-08-20,2435.0
241,2013-08-21,7745.0
242,2013-08-22,9835.0
243,2013-08-23,17130.0
244,2013-08-24,8900.0
245,2013-08-25,0.0
246,2013-08-26,17910.0
247,2013-08-27,11090.0
248,2013-08-28,4960.0
249,2013-08-29,7135.0
250,2013-08-30,7330.0
251,2013-08-31,4600.0
252,2013-01-09,15.0
253,2013-02-09,7065.0
254,2013-03-09,25915.0
255,2013-04-09,20355.0
256,2013-05-09,11400.0
257,2013-06-09,10470.0
258,2013-07-09,12215.0
259,2013-08-09,555.0
260,2013-09-09,10565.0
261,2013-10-09,7375.0
262,2013-11-09,11950.0
263,2013-12-09,6265.0
264,2013-09-13,8440.0
265,2013-09-14,7600.0
266,2013-09-15,990.0
267,2013-09-16,11950.0
268,2013-09-17,9695.0
269,2013-09-18,7525.0
270,2013-09-19,6280.0
271,2013-09-20,4330.0
272,2013-09-21,8640.0
273,2013-09-22,2525.0
274,2013-09-23,6475.0
275,2013-09-24,6250.0
276,2013-09-25,10605.0
277,2013-09-26,17515.0
278,2013-09-27,17775.0
279,2013-09-28,5885.0
280,2013-09-29,0.0
281,2013-09-30,7880.0
282,2013-01-10,7400.0
283,2013-02-10,9140.0
284,2013-03-10,4945.0
285,2013-04-10,8170.0
286,2013-05-10,7645.0
287,2013-06-10,900.0
288,2013-07-10,9800.0
289,2013-08-10,3720.0
290,2013-09-10,4045.0
291,2013-10-10,7855.0
292,2013-11-10,9435.0
293,2013-12-10,8610.0
294,2013-10-13,705.0
295,2013-10-14,2075.0
296,2013-10-15,0.0
297,2013-10-16,950.0
298,2013-10-17,1045.0
299,2013-10-18,1010.0
300,2013-10-19,5600.0
301,2013-10-20,425.0
302,2013-10-21,5950.0
303,2013-10-22,6095.0
304,2013-10-23,11420.0
305,2013-10-24,8715.0
306,2013-10-25,3265.0
307,2013-10-26,8610.0
308,2013-10-27,380.0
309,2013-10-28,8275.0
310,2013-10-29,6830.0
311,2013-10-30,7410.0
312,2013-10-31,7390.0
313,2013-01-11,6725.0
314,2013-02-11,6635.0
315,2013-03-11,0.0
316,2013-04-11,14145.0
317,2013-05-11,25555.0
318,2013-06-11,9265.0
319,2013-07-11,19280.0
320,2013-08-11,8465.0
321,2013-09-11,6910.0
322,2013-10-11,1300.0
323,2013-11-11,8005.0
324,2013-12-11,16470.0
325,2013-11-13,8535.0
326,2013-11-14,6380.0
327,2013-11-15,5395.0
328,2013-11-16,7395.0
329,2013-11-17,8840.0
330,2013-11-18,6700.0
331,2013-11-19,11735.0
332,2013-11-20,8990.0
333,2013-11-21,15690.0
334,2013-11-22,6555.0
335,2013-11-23,8990.0
336,2013-11-24,625.0
337,2013-11-25,6265.0
338,2013-11-26,6165.0
339,2013-11-27,9060.0
340,2013-11-28,9060.0
341,2013-11-29,7050.0
342,2013-11-30,6325.0
343,2013-01-12,2790.0
344,2013-02-12,11130.0
345,2013-03-12,11405.0
346,2013-04-12,5160.0
347,2013-05-12,4835.0
348,2013-06-12,5315.0
349,2013-07-12,4155.0
350,2013-08-12,385.0
351,2013-09-12,3040.0
352,2013-10-12,3940.0
353,2013-11-12,5385.0
354,2013-12-12,4735.0
355,2013-12-13,6115.0
356,2013-12-14,5890.0
357,2013-12-15,80.0
358,2013-12-16,7575.0
359,2013-12-17,6460.0
360,2013-12-18,4225.0
361,2013-12-19,5555.0
362,2013-12-20,6955.0
363,2013-12-21,3275.0
364,2013-12-22,0.0
365,2013-12-23,10180.0
366,2013-12-24,5565.0
367,2013-12-25,4225.0
368,2013-12-26,4360.0
369,2013-12-27,3895.0
370,2013-12-28,3620.0
371,2013-12-29,820.0
372,2013-12-30,6985.0
373,2013-12-31,6640.0
