,tarih,değer (ton)
0,2004-12-31,"0,0"
1,2005-12-31,"78,743"
2,2006-12-31,"149,027"
3,2007-12-31,"150,048"
4,2008-12-31,"163,462"
5,2009-12-31,"157,716"
6,2010-12-31,"170,076"
7,2011-12-31,"182,292"
8,2012-12-31,"197,065"
9,2013-01-01,"55440,0"
10,2013-02-01,"59485,0"
11,2013-03-01,"55720,0"
12,2013-04-01,"49785,0"
13,2013-05-01,"55930,0"
14,2013-06-01,"55135,0"
15,2013-07-01,"53785,0"
16,2013-08-01,"58265,0"
17,2013-09-01,"58000,0"
18,2013-10-01,"54705,0"
19,2013-11-01,"51870,0"
20,2013-12-01,"52255,0"
21,2013-01-13,"53630,0"
22,2013-01-14,"52370,0"
23,2013-01-15,"56650,0"
24,2013-01-16,"51085,0"
25,2013-01-17,"43765,0"
26,2013-01-18,"49175,0"
27,2013-01-19,"51010,0"
28,2013-01-20,"54125,0"
29,2013-01-21,"57895,0"
30,2013-01-22,"60380,0"
31,2013-01-23,"55455,0"
32,2013-01-24,"48255,0"
33,2013-01-25,"57450,0"
34,2013-01-26,"53930,0"
35,2013-01-27,"52095,0"
36,2013-01-28,"56500,0"
37,2013-01-29,"59915,0"
38,2013-01-30,"47270,0"
39,2013-01-31,"41925,0"
40,2013-01-02,"49425,0"
41,2013-02-02,"50875,0"
42,2013-03-02,"52945,0"
43,2013-04-02,"53710,0"
44,2013-05-02,"55470,0"
45,2013-06-02,"55210,0"
46,2013-07-02,"53830,0"
47,2013-08-02,"44900,0"
48,2013-09-02,"45090,0"
49,2013-10-02,"49440,0"
50,2013-11-02,"48685,0"
51,2013-12-02,"57440,0"
52,2013-02-13,"55015,0"
53,2013-02-14,"50125,0"
54,2013-02-15,"51480,0"
55,2013-02-16,"49095,0"
56,2013-02-17,"49760,0"
57,2013-02-18,"53865,0"
58,2013-02-19,"56245,0"
59,2013-02-20,"54545,0"
60,2013-02-21,"51965,0"
61,2013-02-22,"52560,0"
62,2013-02-23,"48860,0"
63,2013-02-24,"49990,0"
64,2013-02-25,"50945,0"
65,2013-02-26,"56030,0"
66,2013-02-27,"52685,0"
67,2013-02-28,"58640,0"
68,2013-01-03,"54635,0"
69,2013-02-03,"51470,0"
70,2013-03-03,"48675,0"
71,2013-04-03,"53835,0"
72,2013-05-03,"55745,0"
73,2013-06-03,"55800,0"
74,2013-07-03,"51855,0"
75,2013-08-03,"51835,0"
