_id,ilce_adi,mahalle_adi,arkeolojik_alan
1,Ahırlı,ALİÇERÇİ,YOK
2,Ahırlı,BADEMLİ,YOK
3,Ahırlı,BALIKLAVA,YOK
4,Ahırlı,BÜYÜKÖZ,VAR
5,Ahırlı,ÇİFTLİK,YOK
6,Ahırlı,ERDOĞAN,VAR
7,Ahırlı,KARACAKUYU,YOK
8,Ahırlı,KAYACIK,YOK
9,Ahırlı,KURUÇAY,YOK
10,Ahırlı,KÜÇÜKÖZ,YOK
11,Akören,AVDAN,YOK
12,Akören,KAYASU,YOK
13,Akören,AHMEDİYE,YOK
14,Akören,ALAN,YOK
15,Akören,BELKUYU,YOK
16,Akören,ÇATÖREN,YOK
17,Akören,DUTLU,YOK
18,Akören,ORHANİYE,YOK
19,Akören,SÜLEYMANİYE,YOK
20,Akören,TÜLCE,YOK
21,Akören,KARAHÜYÜK,YOK
22,Akşehir,ÇAKILLAR,YOK
23,Akşehir,GEDİL,YOK
24,Akşehir,KARAHÜYÜK,YOK
25,Akşehir,ADSIZ,YOK
26,Akşehir,ALANYURT,YOK
27,Akşehir,ALTUNTAŞ,YOK
28,Akşehir,ATAKENT,VAR
29,Akşehir,BOZLAĞAN,YOK
30,Akşehir,CANKURTARAN,YOK
31,Akşehir,ÇAMLI,YOK
32,Akşehir,ÇİMENDERE,YOK
33,Akşehir,DEĞİRMENKÖY,YOK
34,Akşehir,DOĞRUGÖZ,YOK
35,Akşehir,ENGİLİ,YOK
36,Akşehir,GÖLÇAYIR,VAR
37,Akşehir,GÖZPINARI,YOK
38,Akşehir,ILICAK,YOK
39,Akşehir,KARABULUT,VAR
40,Akşehir,ORTACA,YOK
41,Akşehir,ORTAKÖY,VAR
42,Akşehir,REİS,YOK
43,Akşehir,SAVAŞ,VAR
44,Akşehir,SORKUN,VAR
45,Akşehir,SÖĞÜTLÜ,YOK
46,Akşehir,TEKKE,YOK
47,Akşehir,TİPİKÖY,YOK
48,Akşehir,ULUPINAR,YOK
49,Akşehir,ÜÇHÜYÜK,YOK
50,Akşehir,YAŞARLAR,YOK
51,Akşehir,YAYLABELEN,YOK
52,Akşehir,YAZLA,VAR
53,Akşehir,YENİKÖY,YOK
54,Akşehir,YEŞİLKÖY,YOK
55,Akşehir,SARAY,YOK
56,Altınekin,OĞUZELİ,YOK
57,Altınekin,AKCAŞAR,YOK
58,Altınekin,AYIŞIĞI,YOK
59,Altınekin,AKKÖY,YOK
60,Altınekin,BORUKKUYU,YOK
61,Altınekin,HACINUMAN,YOK
62,Altınekin,KARAKAYA,YOK
63,Altınekin,KOÇAŞ,YOK
64,Altınekin,KOÇYAKA,YOK
65,Altınekin,MANTAR,YOK
66,Altınekin,YENİÖLMEZ,VAR
67,Altınekin,SARNIÇ,YOK
68,Altınekin,TOPRAKLIK,YOK
69,Altınekin,YENİKUYU,YOK
70,Altınekin,YENİYAYLA,YOK
71,Altınekin,DEDELER,VAR
72,Altınekin,AKINCILAR,YOK
73,Beyşehir,ADAKÖY,YOK
74,Beyşehir,AĞILÖNÜ,VAR
75,Beyşehir,AKBURUN,YOK
76,Beyşehir,AKÇABELEN,YOK
77,Beyşehir,AVDANCIK,YOK
78,Beyşehir,BADEMLİ,YOK
79,Beyşehir,BAYAT,YOK
80,Beyşehir,BAYAVŞAR,YOK
81,Beyşehir,BAYINDIR,YOK
82,Beyşehir,BAŞGÖZE,YOK
83,Beyşehir,BEKDEMİR,YOK
84,Beyşehir,DAMLAPINAR,YOK
85,Beyşehir,DOĞANBEY,YOK
86,Beyşehir,DOĞANCIK,YOK
87,Beyşehir,DUMANLI,YOK
88,Beyşehir,EMEN,YOK
89,Beyşehir,ESENCE,YOK
90,Beyşehir,EYLİKLER,VAR
91,Beyşehir,EĞİRLER,YOK
92,Beyşehir,FASILLAR,YOK
93,Beyşehir,GÖKÇEKUYU,YOK
94,Beyşehir,GÖKÇİMEN,YOK
95,Beyşehir,GÖLKAŞI,YOK
96,Beyşehir,GÖLYAKA,YOK
97,Beyşehir,GÖNEN,YOK
98,Beyşehir,GÖÇÜ,YOK
99,Beyşehir,GÜNDOĞDU,YOK
100,Beyşehir,HUĞLU,YOK
101,Beyşehir,HÜSEYİNLER,YOK
102,Beyşehir,İSAKÖY,YOK
103,Beyşehir,KARAALİ,YOK
104,Beyşehir,KARABAYAT,YOK
105,Beyşehir,KARADİKEN,YOK
106,Beyşehir,KARAHİSAR,YOK
107,Beyşehir,KAYABAŞI,YOK
108,Beyşehir,KURUCUOVA,YOK
109,Beyşehir,KUŞLUCA,YOK
110,Beyşehir,KÜÇÜKAVŞAR,YOK
111,Beyşehir,MESUTLAR,YOK
112,Beyşehir,SADIKHACI,VAR
113,Beyşehir,SARIKÖY,YOK
114,Beyşehir,SEVİNDİK,YOK
115,Beyşehir,ŞAMLAR,YOK
116,Beyşehir,ÜÇPINAR,VAR
117,Beyşehir,ÜSTÜNLER,VAR
118,Beyşehir,ÜZÜMLÜ,YOK
119,Beyşehir,YAZYURDU,YOK
120,Beyşehir,YENİDOĞAN,YOK
121,Beyşehir,YEŞİLDAĞ,VAR
122,Beyşehir,YUKARIESENCE,YOK
123,Beyşehir,YUNUSLAR,YOK
124,Beyşehir,ÇİFTLİK,YOK
125,Beyşehir,ÇİVRİL,YOK
126,Beyşehir,ÇUKURAĞIL,YOK
127,Bozkır,ÇAĞLAYAN,VAR
128,Bozkır,HAMZALAR,YOK
129,Bozkır,AKÇAPINAR,YOK
130,Bozkır,ARMUTLU,YOK
131,Bozkır,ARSLANTAŞ,YOK
132,Bozkır,AYDINKIŞLA,VAR
133,Bozkır,AYVALCA,YOK
134,Bozkır,BAĞYURDU,YOK
135,Bozkır,BAYBAĞAN,YOK
136,Bozkır,BOZDAM,YOK
137,Bozkır,DEREİÇİ,VAR
138,Bozkır,DEREKÖY,VAR
139,Bozkır,ELMAAĞAÇ,YOK
140,Bozkır,HACILAR,YOK
141,Bozkır,HACIYUNUSLAR,YOK
142,Bozkır,HARMANPINAR,YOK
143,Bozkır,HİSARLIK,YOK
144,Bozkır,IŞIKLAR,YOK
145,Bozkır,KARABAYIR,VAR
146,Bozkır,KARACAARDIÇ,YOK
147,Bozkır,KARACAHİSAR,YOK
148,Bozkır,KARAYAHYA,YOK
149,Bozkır,KAYACILAR,YOK
150,Bozkır,KAYAPINAR,YOK
151,Bozkır,KINIK,YOK
