_id,ilce_adi,mahalle_adi,hayvan_beslemede_kullanilan_urunler
1,Ahırlı,ALİÇERÇİ,"ARPA, HAZIR YEM"
2,Ahırlı,BADEMLİ,"KÜSPE, SİLAJLIK MISIR, HAZIR YEM"
3,Ahırlı,BALIKLAVA,"KÜSPE, ARPA, ÇAVDAR, SİLAJLIK MISIR"
4,Ahırlı,BÜYÜKÖZ,"BUĞDAY, KÜSPE, KEPEK, ARPA"
5,Ahırlı,ÇİFTLİK,"BUĞDAY, ARPA, SAMAN, HAZIR YEM"
6,Ahırlı,ERDOĞAN,"FİĞ, ARPA, SAMAN, YONCA, HAZIR YEM"
7,Ahırlı,KARACAKUYU,"SAMAN, HAZIR YEM"
8,Ahırlı,KAYACIK,"FİĞ, ARPA, SAMAN, HAZIR YEM"
9,Ahırlı,KURUÇAY,"ARPA, SAMAN, SİLAJLIK MISIR, HAZIR YEM"
10,Ahırlı,KÜÇÜKÖZ,"KÜSPE, SAMAN, HAZIR YEM"
11,Akören,AVDAN,HAZIR YEM
12,Akören,KAYASU,"ARPA, SAMAN, YONCA, HAZIR YEM"
13,Akören,AHMEDİYE,"BUĞDAY, YULAF, ARPA, SİLAJLIK MISIR"
14,Akören,ALAN,"YULAF, FİĞ, ARPA, SAMAN, YONCA, SİLAJLIK MISIR, HAZIR YEM"
15,Akören,BELKUYU,"KÜSPE, ARPA, SAMAN, SİLAJLIK MISIR, HAZIR YEM"
16,Akören,ÇATÖREN,"FİĞ, ARPA, YONCA, SİLAJLIK MISIR, HAZIR YEM"
17,Akören,DUTLU,"FİĞ, ARPA, HAZIR YEM"
18,Akören,ORHANİYE,"KÜSPE, ARPA, SİLAJLIK MISIR, HAZIR YEM"
19,Akören,SÜLEYMANİYE,"FİĞ, KÜSPE, SAMAN, YONCA, SİLAJLIK MISIR"
20,Akören,TÜLCE,"SAMAN, YONCA, HAZIR YEM"
21,Akören,KARAHÜYÜK,"YULAF, ARPA, SAMAN, YONCA, SİLAJLIK MISIR, HAZIR YEM"
22,Akşehir,ÇAKILLAR,"YULAF, FİĞ, ARPA, HAZIR YEM"
23,Akşehir,GEDİL,"ARPA, YONCA, SİLAJLIK MISIR"
24,Akşehir,KARAHÜYÜK,"ARPA, SAMAN, HAZIR YEM"
25,Akşehir,ADSIZ,"FİĞ, ARPA, YONCA, SİLAJLIK MISIR"
26,Akşehir,ALANYURT,"ARPA, YONCA, HAZIR YEM"
27,Akşehir,ALTUNTAŞ,"YULAF, KÜSPE, ARPA"
28,Akşehir,ATAKENT,"FİĞ, ARPA, SAMAN, SİLAJLIK MISIR"
29,Akşehir,BOZLAĞAN,"YULAF, FİĞ, ARPA, SİLAJLIK MISIR"
30,Akşehir,CANKURTARAN,"ARPA, SAMAN, HAZIR YEM"
31,Akşehir,ÇAMLI,"YULAF, ARPA, YONCA, SİLAJLIK MISIR"
32,Akşehir,ÇİMENDERE,"KÜSPE, ARPA, SAMAN, YONCA"
33,Akşehir,DEĞİRMENKÖY,"KÜSPE, KEPEK, ARPA, SAMAN"
34,Akşehir,DOĞRUGÖZ,"FİĞ, ARPA, HAZIR YEM"
35,Akşehir,ENGİLİ,"FİĞ, ARPA, SAMAN, HAZIR YEM"
36,Akşehir,GÖLÇAYIR,HAZIR YEM
37,Akşehir,GÖZPINARI,"YULAF, FİĞ, YONCA, SİLAJLIK MISIR, HAZIR YEM"
38,Akşehir,ILICAK,"FİĞ, SAMAN, YONCA, HAZIR YEM"
39,Akşehir,KARABULUT,"YONCA, SİLAJLIK MISIR"
40,Akşehir,ORTACA,"YULAF, FİĞ, ARPA, HAZIR YEM"
41,Akşehir,ORTAKÖY,"ARPA, HAZIR YEM"
42,Akşehir,REİS,"BUĞDAY, ARPA, SAMAN, SİLAJLIK MISIR"
43,Akşehir,SAVAŞ,"YULAF, FİĞ, ARPA, SAMAN, SİLAJLIK MISIR"
44,Akşehir,SORKUN,"KÜSPE, SAMAN, YONCA"
45,Akşehir,SÖĞÜTLÜ,"ARPA, SİLAJLIK MISIR"
46,Akşehir,TEKKE,HAZIR YEM
