_id,ilce_adi,mahalle_adi,iyi_tarim_uygulamalari
1,Ahırlı,ALİÇERÇİ,HAYIR
2,Ahırlı,BADEMLİ,HAYIR
3,Ahırlı,BALIKLAVA,HAYIR
4,Ahırlı,BÜYÜKÖZ,HAYIR
5,Ahırlı,ÇİFTLİK,HAYIR
6,Ahırlı,ERDOĞAN,EVET
7,Ahırlı,KARACAKUYU,HAYIR
8,Ahırlı,KAYACIK,HAYIR
9,Ahırlı,KURUÇAY,HAYIR
10,Ahırlı,KÜÇÜKÖZ,HAYIR
11,Akören,AVDAN,HAYIR
12,Akören,KAYASU,HAYIR
13,Akören,AHMEDİYE,HAYIR
14,Akören,ALAN,HAYIR
15,Akören,BELKUYU,HAYIR
16,Akören,ÇATÖREN,HAYIR
17,Akören,DUTLU,HAYIR
18,Akören,ORHANİYE,HAYIR
19,Akören,SÜLEYMANİYE,HAYIR
20,Akören,TÜLCE,HAYIR
21,Akören,KARAHÜYÜK,HAYIR
22,Akşehir,ÇAKILLAR,HAYIR
23,Akşehir,GEDİL,HAYIR
24,Akşehir,KARAHÜYÜK,HAYIR
25,Akşehir,ADSIZ,HAYIR
26,Akşehir,ALANYURT,HAYIR
27,Akşehir,ALTUNTAŞ,HAYIR
28,Akşehir,ATAKENT,HAYIR
29,Akşehir,BOZLAĞAN,HAYIR
30,Akşehir,CANKURTARAN,HAYIR
31,Akşehir,ÇAMLI,HAYIR
32,Akşehir,ÇİMENDERE,HAYIR
33,Akşehir,DEĞİRMENKÖY,HAYIR
34,Akşehir,DOĞRUGÖZ,EVET
35,Akşehir,ENGİLİ,HAYIR
36,Akşehir,GÖLÇAYIR,HAYIR
37,Akşehir,GÖZPINARI,HAYIR
38,Akşehir,ILICAK,HAYIR
39,Akşehir,KARABULUT,HAYIR
40,Akşehir,ORTACA,HAYIR
41,Akşehir,ORTAKÖY,HAYIR
42,Akşehir,REİS,HAYIR
43,Akşehir,SAVAŞ,HAYIR
44,Akşehir,SORKUN,HAYIR
45,Akşehir,SÖĞÜTLÜ,HAYIR
46,Akşehir,TEKKE,HAYIR
47,Akşehir,TİPİKÖY,HAYIR
48,Akşehir,ULUPINAR,EVET
49,Akşehir,ÜÇHÜYÜK,HAYIR
50,Akşehir,YAŞARLAR,HAYIR
51,Akşehir,YAYLABELEN,HAYIR
52,Akşehir,YAZLA,EVET
53,Akşehir,YENİKÖY,HAYIR
54,Akşehir,YEŞİLKÖY,HAYIR
55,Akşehir,SARAY,HAYIR
56,Altınekin,OĞUZELİ,HAYIR
57,Altınekin,AKCAŞAR,HAYIR
58,Altınekin,AYIŞIĞI,HAYIR
59,Altınekin,AKKÖY,HAYIR
60,Altınekin,BORUKKUYU,HAYIR
61,Altınekin,HACINUMAN,HAYIR
62,Altınekin,KARAKAYA,HAYIR
63,Altınekin,KOÇAŞ,HAYIR
64,Altınekin,KOÇYAKA,HAYIR
65,Altınekin,MANTAR,HAYIR
66,Altınekin,YENİÖLMEZ,HAYIR
67,Altınekin,SARNIÇ,HAYIR
68,Altınekin,TOPRAKLIK,HAYIR
69,Altınekin,YENİKUYU,HAYIR
70,Altınekin,YENİYAYLA,HAYIR
71,Altınekin,DEDELER,HAYIR
72,Altınekin,AKINCILAR,HAYIR
73,Beyşehir,ADAKÖY,HAYIR
74,Beyşehir,AĞILÖNÜ,HAYIR
75,Beyşehir,AKBURUN,HAYIR
76,Beyşehir,AKÇABELEN,HAYIR
77,Beyşehir,AVDANCIK,HAYIR
78,Beyşehir,BADEMLİ,HAYIR
79,Beyşehir,BAYAT,HAYIR
80,Beyşehir,BAYAVŞAR,HAYIR
81,Beyşehir,BAYINDIR,HAYIR
82,Beyşehir,BAŞGÖZE,HAYIR
83,Beyşehir,BEKDEMİR,HAYIR
84,Beyşehir,DAMLAPINAR,HAYIR
85,Beyşehir,DOĞANBEY,HAYIR
86,Beyşehir,DOĞANCIK,HAYIR
87,Beyşehir,DUMANLI,HAYIR
88,Beyşehir,EMEN,HAYIR
89,Beyşehir,ESENCE,HAYIR
90,Beyşehir,EYLİKLER,HAYIR
91,Beyşehir,EĞİRLER,HAYIR
92,Beyşehir,FASILLAR,HAYIR
93,Beyşehir,GÖKÇEKUYU,HAYIR
94,Beyşehir,GÖKÇİMEN,HAYIR
95,Beyşehir,GÖLKAŞI,HAYIR
96,Beyşehir,GÖLYAKA,HAYIR
97,Beyşehir,GÖNEN,HAYIR
98,Beyşehir,GÖÇÜ,HAYIR
99,Beyşehir,GÜNDOĞDU,HAYIR
100,Beyşehir,HUĞLU,HAYIR
101,Beyşehir,HÜSEYİNLER,HAYIR
102,Beyşehir,İSAKÖY,HAYIR
103,Beyşehir,KARAALİ,HAYIR
104,Beyşehir,KARABAYAT,HAYIR
105,Beyşehir,KARADİKEN,HAYIR
106,Beyşehir,KARAHİSAR,EVET
107,Beyşehir,KAYABAŞI,HAYIR
108,Beyşehir,KURUCUOVA,HAYIR
109,Beyşehir,KUŞLUCA,HAYIR
110,Beyşehir,KÜÇÜKAVŞAR,HAYIR
111,Beyşehir,MESUTLAR,HAYIR
112,Beyşehir,SADIKHACI,HAYIR
113,Beyşehir,SARIKÖY,HAYIR
114,Beyşehir,SEVİNDİK,HAYIR
115,Beyşehir,ŞAMLAR,HAYIR
116,Beyşehir,ÜÇPINAR,HAYIR
117,Beyşehir,ÜSTÜNLER,HAYIR
118,Beyşehir,ÜZÜMLÜ,HAYIR
119,Beyşehir,YAZYURDU,HAYIR
120,Beyşehir,YENİDOĞAN,HAYIR
121,Beyşehir,YEŞİLDAĞ,HAYIR
122,Beyşehir,YUKARIESENCE,HAYIR
123,Beyşehir,YUNUSLAR,HAYIR
124,Beyşehir,ÇİFTLİK,HAYIR
125,Beyşehir,ÇİVRİL,HAYIR
126,Beyşehir,ÇUKURAĞIL,HAYIR
127,Bozkır,ÇAĞLAYAN,HAYIR
128,Bozkır,HAMZALAR,HAYIR
129,Bozkır,AKÇAPINAR,HAYIR
130,Bozkır,ARMUTLU,HAYIR
131,Bozkır,ARSLANTAŞ,HAYIR
132,Bozkır,AYDINKIŞLA,HAYIR
133,Bozkır,AYVALCA,HAYIR
134,Bozkır,BAĞYURDU,HAYIR
135,Bozkır,BAYBAĞAN,HAYIR
136,Bozkır,BOZDAM,HAYIR
137,Bozkır,DEREİÇİ,HAYIR
138,Bozkır,DEREKÖY,HAYIR
139,Bozkır,ELMAAĞAÇ,HAYIR
140,Bozkır,HACILAR,HAYIR
141,Bozkır,HACIYUNUSLAR,HAYIR
142,Bozkır,HARMANPINAR,HAYIR
143,Bozkır,HİSARLIK,HAYIR
144,Bozkır,IŞIKLAR,HAYIR
145,Bozkır,KARABAYIR,HAYIR
146,Bozkır,KARACAARDIÇ,HAYIR
147,Bozkır,KARACAHİSAR,HAYIR
148,Bozkır,KARAYAHYA,HAYIR
149,Bozkır,KAYACILAR,HAYIR
150,Bozkır,KAYAPINAR,HAYIR
151,Bozkır,KINIK,HAYIR
152,Bozkır,KIZILÇAKIR,HAYIR
153,Bozkır,KİLDERE,HAYIR
154,Bozkır,KOVANLIK,HAYIR
155,Bozkır,KOZAĞAÇ,HAYIR
156,Bozkır,KUŞÇA,HAYIR
157,Bozkır,KÜÇÜKHİSARLIK,HAYIR
158,Bozkır,PINARCIK,HAYIR
159,Bozkır,SARIOĞLAN,HAYIR
160,Bozkır,SAZLI,HAYIR
161,Bozkır,SOĞUCAK,HAYIR
162,Bozkır,SORKUN,HAYIR
163,Bozkır,SÖĞÜT,HAYIR
164,Bozkır,TARLABAŞI,HAYIR
165,Bozkır,TAŞBAŞI,HAYIR
166,Bozkır,TEPEARASI,HAYIR
167,Bozkır,TEPELİCE,HAYIR
168,Bozkır,ULUPINAR,HAYIR
169,Bozkır,ÜÇPINAR,HAYIR
170,Bozkır,YALNIZCA,HAYIR
171,Bozkır,YAZDAMI,HAYIR
172,Bozkır,YELBEYİ,HAYIR
173,Bozkır,YENİKÖY,EVET
174,Bozkır,YOLÖREN,HAYIR
175,Çeltik,GÖKPINAR,HAYIR
176,Çeltik,ADAKASIM,EVET
