ilce_adi,mahalle_adi,iyi_tarim_uygulamalari
Ahırlı,ALİÇERÇİ,YOK
Ahırlı,BADEMLİ,YOK
Ahırlı,BALIKLAVA,YOK
Ahırlı,BÜYÜKÖZ,YOK
Ahırlı,ÇİFTLİK,YOK
Ahırlı,ERDOĞAN,VAR
Ahırlı,KARACAKUYU,YOK
Ahırlı,KAYACIK,YOK
Ahırlı,KURUÇAY,YOK
Ahırlı,KÜÇÜKÖZ,YOK
Akören,AVDAN,YOK
Akören,KAYASU,YOK
Akören,AHMEDİYE,YOK
Akören,ALAN,YOK
Akören,BELKUYU,YOK
Akören,ÇATÖREN,YOK
Akören,DUTLU,YOK
Akören,ORHANİYE,YOK
Akören,SÜLEYMANİYE,YOK
Akören,TÜLCE,YOK
Akören,KARAHÜYÜK,YOK
Akşehir,ÇAKILLAR,YOK
Akşehir,GEDİL,YOK
Akşehir,KARAHÜYÜK,YOK
Akşehir,ADSIZ,YOK
Akşehir,ALANYURT,YOK
Akşehir,ALTUNTAŞ,YOK
Akşehir,ATAKENT,YOK
Akşehir,BOZLAĞAN,YOK
Akşehir,CANKURTARAN,YOK
Akşehir,ÇAMLI,YOK
Akşehir,ÇİMENDERE,YOK
Akşehir,DEĞİRMENKÖY,YOK
Akşehir,DOĞRUGÖZ,VAR
Akşehir,ENGİLİ,YOK
Akşehir,GÖLÇAYIR,YOK
Akşehir,GÖZPINARI,YOK
Akşehir,ILICAK,YOK
Akşehir,KARABULUT,YOK
Akşehir,ORTACA,YOK
Akşehir,ORTAKÖY,YOK
Akşehir,REİS,YOK
Akşehir,SAVAŞ,YOK
Akşehir,SORKUN,YOK
Akşehir,SÖĞÜTLÜ,YOK
Akşehir,TEKKE,YOK
Akşehir,TİPİKÖY,YOK
Akşehir,ULUPINAR,VAR
Akşehir,ÜÇHÜYÜK,YOK
Akşehir,YAŞARLAR,YOK
Akşehir,YAYLABELEN,YOK
Akşehir,YAZLA,VAR
Akşehir,YENİKÖY,YOK
Akşehir,YEŞİLKÖY,YOK
Akşehir,SARAY,YOK
Altınekin,OĞUZELİ,YOK
Altınekin,AKCAŞAR,YOK
Altınekin,AYIŞIĞI,YOK
Altınekin,AKKÖY,YOK
Altınekin,BORUKKUYU,YOK
Altınekin,HACINUMAN,YOK
Altınekin,KARAKAYA,YOK
Altınekin,KOÇAŞ,YOK
Altınekin,KOÇYAKA,YOK
Altınekin,MANTAR,YOK
Altınekin,YENİÖLMEZ,YOK
Altınekin,SARNIÇ,YOK
Altınekin,TOPRAKLIK,YOK
Altınekin,YENİKUYU,YOK
Altınekin,YENİYAYLA,YOK
Altınekin,DEDELER,YOK
Altınekin,AKINCILAR,YOK
Beyşehir,ADAKÖY,YOK
Beyşehir,AĞILÖNÜ,YOK
Beyşehir,AKBURUN,YOK
Beyşehir,AKÇABELEN,YOK
Beyşehir,AVDANCIK,YOK
Beyşehir,BADEMLİ,YOK
Beyşehir,BAYAT,YOK
Beyşehir,BAYAVŞAR,YOK
Beyşehir,BAYINDIR,YOK
Beyşehir,BAŞGÖZE,YOK
Beyşehir,BEKDEMİR,YOK
Beyşehir,DAMLAPINAR,YOK
Beyşehir,DOĞANBEY,YOK
Beyşehir,DOĞANCIK,YOK
Beyşehir,DUMANLI,YOK
Beyşehir,EMEN,YOK
Beyşehir,ESENCE,YOK
Beyşehir,EYLİKLER,YOK
Beyşehir,EĞİRLER,YOK
Beyşehir,FASILLAR,YOK
Beyşehir,GÖKÇEKUYU,YOK
Beyşehir,GÖKÇİMEN,YOK
Beyşehir,GÖLKAŞI,YOK
Beyşehir,GÖLYAKA,YOK
Beyşehir,GÖNEN,YOK
Beyşehir,GÖÇÜ,YOK
Beyşehir,GÜNDOĞDU,YOK
Beyşehir,HUĞLU,YOK
Beyşehir,HÜSEYİNLER,YOK
Beyşehir,İSAKÖY,YOK
Beyşehir,KARAALİ,YOK
Beyşehir,KARABAYAT,YOK
Beyşehir,KARADİKEN,YOK
Beyşehir,KARAHİSAR,VAR
Beyşehir,KAYABAŞI,YOK
Beyşehir,KURUCUOVA,YOK
Beyşehir,KUŞLUCA,YOK
Beyşehir,KÜÇÜKAVŞAR,YOK
Beyşehir,MESUTLAR,YOK
Beyşehir,SADIKHACI,YOK
Beyşehir,SARIKÖY,YOK
Beyşehir,SEVİNDİK,YOK
Beyşehir,ŞAMLAR,YOK
Beyşehir,ÜÇPINAR,YOK
Beyşehir,ÜSTÜNLER,YOK
Beyşehir,ÜZÜMLÜ,YOK
Beyşehir,YAZYURDU,YOK
Beyşehir,YENİDOĞAN,YOK
Beyşehir,YEŞİLDAĞ,YOK
Beyşehir,YUKARIESENCE,YOK
Beyşehir,YUNUSLAR,YOK
Beyşehir,ÇİFTLİK,YOK
Beyşehir,ÇİVRİL,YOK
Beyşehir,ÇUKURAĞIL,YOK
Bozkır,ÇAĞLAYAN,YOK
Bozkır,HAMZALAR,YOK
Bozkır,AKÇAPINAR,YOK
Bozkır,ARMUTLU,YOK
Bozkır,ARSLANTAŞ,YOK
Bozkır,AYDINKIŞLA,YOK
Bozkır,AYVALCA,YOK
Bozkır,BAĞYURDU,YOK
Bozkır,BAYBAĞAN,YOK
Bozkır,BOZDAM,YOK
Bozkır,DEREİÇİ,YOK
Bozkır,DEREKÖY,YOK
Bozkır,ELMAAĞAÇ,YOK
Bozkır,HACILAR,YOK
Bozkır,HACIYUNUSLAR,YOK
Bozkır,HARMANPINAR,YOK
Bozkır,HİSARLIK,YOK
Bozkır,IŞIKLAR,YOK
Bozkır,KARABAYIR,YOK
Bozkır,KARACAARDIÇ,YOK
Bozkır,KARACAHİSAR,YOK
Bozkır,KARAYAHYA,YOK
Bozkır,KAYACILAR,YOK
Bozkır,KAYAPINAR,YOK
Bozkır,KINIK,YOK
Bozkır,KIZILÇAKIR,YOK
Bozkır,KİLDERE,YOK
Bozkır,KOVANLIK,YOK
Bozkır,KOZAĞAÇ,YOK
Bozkır,KUŞÇA,YOK
Bozkır,KÜÇÜKHİSARLIK,YOK
Bozkır,PINARCIK,YOK
Bozkır,SARIOĞLAN,YOK
Bozkır,SAZLI,YOK
Bozkır,SOĞUCAK,YOK
Bozkır,SORKUN,YOK
Bozkır,SÖĞÜT,YOK
Bozkır,TARLABAŞI,YOK
Bozkır,TAŞBAŞI,YOK
Bozkır,TEPEARASI,YOK
Bozkır,TEPELİCE,YOK
Bozkır,ULUPINAR,YOK
Bozkır,ÜÇPINAR,YOK
Bozkır,YALNIZCA,YOK
Bozkır,YAZDAMI,YOK
Bozkır,YELBEYİ,YOK
Bozkır,YENİKÖY,VAR
Bozkır,YOLÖREN,YOK
Çeltik,GÖKPINAR,YOK
Çeltik,ADAKASIM,VAR
Çeltik,DOĞANYURT,YOK
Çeltik,KAŞÖREN,YOK
Çeltik,KÜÇÜKHASAN,YOK
Çeltik,TORUNLAR,VAR
Çeltik,İSHAKUŞAĞI,VAR
Çeltik,HONAMLI,YOK
Cihanbeyli,BÖĞRÜDELİK,YOK
Cihanbeyli,YAPALI,YOK
Cihanbeyli,YENİCEOBA,YOK
Cihanbeyli,CUMHURİYET,YOK
Cihanbeyli,GEMECİK,YOK
Cihanbeyli,GÖKTEPE,YOK
Cihanbeyli,AĞABEYLİ,YOK
Cihanbeyli,HODOĞLU,YOK
Cihanbeyli,KAYI,YOK
Cihanbeyli,KIRKIŞLA,YOK
Cihanbeyli,KORKMAZLAR,YOK
Cihanbeyli,KÜÇÜKBEŞKAVAK,YOK
Cihanbeyli,MUTLUKONAK,YOK
Cihanbeyli,SAĞLIK,YOK
Cihanbeyli,SIĞIRCIK,YOK
Cihanbeyli,TURANLAR,YOK
Cihanbeyli,TÜFEKÇİPINAR,YOK
Cihanbeyli,UZUNCAYAYLA,VAR
Cihanbeyli,YÜNLÜKUYU,YOK
Cihanbeyli,ZAFERİYE,YOK
Cihanbeyli,GÖLYAZI,YOK
Cihanbeyli,GÜNYÜZÜ,YOK
Cihanbeyli,İNSUYU,YOK
Cihanbeyli,KANDİL,YOK
Cihanbeyli,KARABAĞ,YOK
Cihanbeyli,KELHASAN,YOK
Cihanbeyli,KUŞCA,YOK
Cihanbeyli,KÜTÜKUŞAĞI,YOK
Cihanbeyli,TAŞPINAR,YOK
Cihanbeyli,BEYLİOVA,YOK
Cihanbeyli,ÇİMEN,YOK
Cihanbeyli,ÇÖL,YOK
Cihanbeyli,DAMLAKUYU,YOK
Cihanbeyli,BULDUK,YOK
Cihanbeyli,BÜYÜKBEŞKAVAK,YOK
Cihanbeyli,KARATEPE,YOK
Çumra,ARIKÖREN,YOK
Çumra,DEDEMOĞLU,YOK
Çumra,TÜRKMENCAMİLİ,YOK
Çumra,A.B.HÜYÜĞÜ,YOK
Çumra,DİNEK,YOK
Çumra,İÇERİÇUMRA,YOK
