_id,ilce_adi,mahalle_adi,tarimsal_sulama_suyu_kaynagi
1,Ahırlı,ALİÇERÇİ,YOK
2,Ahırlı,BADEMLİ,YOK
3,Ahırlı,BALIKLAVA,GÖL
4,Ahırlı,BÜYÜKÖZ,ŞAHSİ KUYULAR
5,Ahırlı,ÇİFTLİK,YOK
6,Ahırlı,ERDOĞAN,ŞAHSİ KUYULAR
7,Ahırlı,KARACAKUYU,ŞAHSİ KUYULAR
8,Ahırlı,KAYACIK,ŞAHSİ KUYULAR
9,Ahırlı,KURUÇAY,ŞAHSİ KUYULAR
10,Ahırlı,KÜÇÜKÖZ,ŞAHSİ KUYULAR
11,Akören,AVDAN,ŞAHSİ KUYULAR
12,Akören,KAYASU,KOOPERATİF KUYULARI
13,Akören,AHMEDİYE,KOOPERATİF KUYULARI
14,Akören,ALAN,YOK
15,Akören,BELKUYU,ŞAHSİ KUYULAR
16,Akören,ÇATÖREN,YERALTI SULARI
17,Akören,DUTLU,YOK
18,Akören,ORHANİYE,KOOPERATİF KUYULARI
19,Akören,SÜLEYMANİYE,YERALTI SULARI
20,Akören,TÜLCE,YERALTI SULARI
21,Akören,KARAHÜYÜK,KOOPERATİF KUYULARI
22,Akşehir,ÇAKILLAR,KOOPERATİF KUYULARI
23,Akşehir,GEDİL,KOOPERATİF KUYULARI
24,Akşehir,KARAHÜYÜK,YERALTI SULARI
25,Akşehir,ADSIZ,"YERALTI SULARI, KOOPERATİF KUYULARI"
26,Akşehir,ALANYURT,"ŞAHSİ KUYULAR, KOOPERATİF KUYULARI"
27,Akşehir,ALTUNTAŞ,ÇAY
28,Akşehir,ATAKENT,"ÇAY, AKARSU"
29,Akşehir,BOZLAĞAN,KOOPERATİF KUYULARI
30,Akşehir,CANKURTARAN,ŞAHSİ KUYULAR
31,Akşehir,ÇAMLI,"ÇAY, KANAL"
32,Akşehir,ÇİMENDERE,"ÇAY, AKARSU, KOOPERATİF KUYULARI"
33,Akşehir,DEĞİRMENKÖY,AKARSU
34,Akşehir,DOĞRUGÖZ,ŞAHSİ KUYULAR
35,Akşehir,ENGİLİ,"ŞAHSİ KUYULAR, YERALTI SULARI, KOOPERATİF KUYULARI"
36,Akşehir,GÖLÇAYIR,KOOPERATİF KUYULARI
37,Akşehir,GÖZPINARI,"ÇAY, YERALTI SULARI"
38,Akşehir,ILICAK,"ŞAHSİ KUYULAR, DERE"
39,Akşehir,KARABULUT,YERALTI SULARI
40,Akşehir,ORTACA,"ŞAHSİ KUYULAR, YERALTI SULARI"
41,Akşehir,ORTAKÖY,ŞAHSİ KUYULAR
42,Akşehir,REİS,ŞAHSİ KUYULAR
43,Akşehir,SAVAŞ,"YERALTI SULARI, KOOPERATİF KUYULARI"
44,Akşehir,SORKUN,YERALTI SULARI
45,Akşehir,SÖĞÜTLÜ,"ŞAHSİ KUYULAR, KOOPERATİF KUYULARI"
46,Akşehir,TEKKE,"ŞAHSİ KUYULAR, YERALTI SULARI"
47,Akşehir,TİPİKÖY,"ŞAHSİ KUYULAR, YERALTI SULARI"
48,Akşehir,ULUPINAR,ŞAHSİ KUYULAR
49,Akşehir,ÜÇHÜYÜK,ŞAHSİ KUYULAR
50,Akşehir,YAŞARLAR,ŞAHSİ KUYULAR
51,Akşehir,YAYLABELEN,"YERALTI SULARI, KOOPERATİF KUYULARI"
52,Akşehir,YAZLA,YERALTI SULARI
53,Akşehir,YENİKÖY,KOOPERATİF KUYULARI
54,Akşehir,YEŞİLKÖY,"ÇAY, ŞAHSİ KUYULAR"
55,Akşehir,SARAY,KOOPERATİF KUYULARI
56,Altınekin,OĞUZELİ,ŞAHSİ KUYULAR
57,Altınekin,AKCAŞAR,"ŞAHSİ KUYULAR, YERALTI SULARI"
58,Altınekin,AYIŞIĞI,YOK
59,Altınekin,AKKÖY,ŞAHSİ KUYULAR
60,Altınekin,BORUKKUYU,KOOPERATİF KUYULARI
61,Altınekin,HACINUMAN,ŞAHSİ KUYULAR
62,Altınekin,KARAKAYA,"ŞAHSİ KUYULAR, YERALTI SULARI"
63,Altınekin,KOÇAŞ,"YERALTI SULARI, KOOPERATİF KUYULARI"
64,Altınekin,KOÇYAKA,"ŞAHSİ KUYULAR, YERALTI SULARI"
65,Altınekin,MANTAR,YERALTI SULARI
66,Altınekin,YENİÖLMEZ,ŞAHSİ KUYULAR
67,Altınekin,SARNIÇ,"ŞAHSİ KUYULAR, YERALTI SULARI"
68,Altınekin,TOPRAKLIK,ŞAHSİ KUYULAR
69,Altınekin,YENİKUYU,YERALTI SULARI
70,Altınekin,YENİYAYLA,ŞAHSİ KUYULAR
71,Altınekin,DEDELER,YERALTI SULARI
72,Altınekin,AKINCILAR,YERALTI SULARI
73,Beyşehir,ADAKÖY,ŞAHSİ KUYULAR
74,Beyşehir,AĞILÖNÜ,ŞAHSİ KUYULAR
75,Beyşehir,AKBURUN,"ŞAHSİ KUYULAR, GÖL"
76,Beyşehir,AKÇABELEN,KOOPERATİF KUYULARI
77,Beyşehir,AVDANCIK,KANAL
78,Beyşehir,BADEMLİ,YOK
79,Beyşehir,BAYAT,KANAL
80,Beyşehir,BAYAVŞAR,ÇAY
81,Beyşehir,BAYINDIR,GÖL
82,Beyşehir,BAŞGÖZE,GÖLET
83,Beyşehir,BEKDEMİR,GÖL
84,Beyşehir,DAMLAPINAR,BARAJ
85,Beyşehir,DOĞANBEY,BARAJ
86,Beyşehir,DOĞANCIK,GÖLET
87,Beyşehir,DUMANLI,"ÇAY, AKARSU"
88,Beyşehir,EMEN,ŞAHSİ KUYULAR
89,Beyşehir,ESENCE,ŞAHSİ KUYULAR
90,Beyşehir,EYLİKLER,DERE
91,Beyşehir,EĞİRLER,"ŞAHSİ KUYULAR, YERALTI SULARI"
92,Beyşehir,FASILLAR,ŞAHSİ KUYULAR
93,Beyşehir,GÖKÇEKUYU,GÖLET
94,Beyşehir,GÖKÇİMEN,ŞAHSİ KUYULAR
95,Beyşehir,GÖLKAŞI,GÖL
96,Beyşehir,GÖLYAKA,ŞAHSİ KUYULAR
97,Beyşehir,GÖNEN,GÖLET
98,Beyşehir,GÖÇÜ,"ÇAY, ŞAHSİ KUYULAR"
99,Beyşehir,GÜNDOĞDU,ŞAHSİ KUYULAR
100,Beyşehir,HUĞLU,"BARAJ, GÖLET, YERALTI SULARI"
101,Beyşehir,HÜSEYİNLER,ŞAHSİ KUYULAR
