_id,ilce_adi,mahalle_adi,sulanabilir_alanda_yetistirilen_urunler
1,Ahırlı,ALİÇERÇİ,YOK
2,Ahırlı,BADEMLİ,YOK
3,Ahırlı,BALIKLAVA,"ELMA, KİRAZ, VİŞNE, ÇİLEK, ERİK"
4,Ahırlı,BÜYÜKÖZ,"BUĞDAY, ARPA"
5,Ahırlı,ÇİFTLİK,FASULYE
6,Ahırlı,ERDOĞAN,"ELMA, KİRAZ, ÜZÜM, DOMATES, BİBER, PATLICAN, PATATES"
7,Ahırlı,KARACAKUYU,"BUĞDAY, DOMATES, PATLICAN, PATATES"
8,Ahırlı,KAYACIK,"MISIR, ELMA, FASULYE"
9,Ahırlı,KURUÇAY,"DOMATES, PATATES"
10,Ahırlı,KÜÇÜKÖZ,"ELMA, ERİK"
11,Akören,AVDAN,"DOMATES, BİBER, PATLICAN, PATATES, SOĞAN"
12,Akören,KAYASU,"ELMA, KİRAZ, ÇİLEK, FASULYE, DOMATES, BİBER, PATLICAN, PATATES"
13,Akören,AHMEDİYE,"ŞEKER PANCARI, MISIR, AYÇİÇEĞİ, FASULYE"
14,Akören,ALAN,YOK
15,Akören,BELKUYU,"ELMA, KİRAZ"
16,Akören,ÇATÖREN,"ŞEKER PANCARI, MISIR, FASULYE, PATATES"
17,Akören,DUTLU,YOK
18,Akören,ORHANİYE,"ŞEKER PANCARI, MISIR, FASULYE, PATATES"
19,Akören,SÜLEYMANİYE,"BUĞDAY, ŞEKER PANCARI, MISIR, FASULYE, KAVUN, KARPUZ"
20,Akören,TÜLCE,"DOMATES, PATLICAN, PATATES, SOĞAN"
21,Akören,KARAHÜYÜK,"MISIR, YONCA, PATATES"
22,Akşehir,ÇAKILLAR,"KİRAZ, VİŞNE, ÇİLEK"
23,Akşehir,GEDİL,"BUĞDAY, FASULYE, HAŞHAŞ, DOMATES, SARIMSAK"
24,Akşehir,KARAHÜYÜK,"BUĞDAY, ŞEKER PANCARI, MISIR, DOMATES, SALATALIK"
25,Akşehir,ADSIZ,"ŞEKER PANCARI, VİŞNE, HAŞHAŞ"
26,Akşehir,ALANYURT,"KİRAZ, VİŞNE, ÇİLEK"
27,Akşehir,ALTUNTAŞ,"ŞEKER PANCARI, MISIR, HAŞHAŞ"
28,Akşehir,ATAKENT,"ELMA, KİRAZ, VİŞNE, ÇİLEK"
29,Akşehir,BOZLAĞAN,"HAŞHAŞ, DOMATES, BİBER, PATLICAN, PATATES"
30,Akşehir,CANKURTARAN,ÇİLEK
31,Akşehir,ÇAMLI,"MISIR, VİŞNE, ERİK"
32,Akşehir,ÇİMENDERE,"ŞEKER PANCARI, ÇİLEK, PATATES"
33,Akşehir,DEĞİRMENKÖY,"KİRAZ, VİŞNE"
34,Akşehir,DOĞRUGÖZ,"KİRAZ, VİŞNE, ÇİLEK, ERİK"
35,Akşehir,ENGİLİ,"KİRAZ, VİŞNE, ÜZÜM, DOMATES, BİBER, PATLICAN, PATATES"
36,Akşehir,GÖLÇAYIR,"ELMA, KİRAZ, VİŞNE"
37,Akşehir,GÖZPINARI,"ŞEKER PANCARI, MISIR, HAŞHAŞ"
38,Akşehir,ILICAK,"KİRAZ, VİŞNE, ÇİLEK, DOMATES, BİBER, PATLICAN, PATATES, SOĞAN, SARIMSAK"
39,Akşehir,KARABULUT,"BİBER, PATLICAN, SALATALIK"
40,Akşehir,ORTACA,"DOMATES, PATLICAN, PATATES, SOĞAN"
41,Akşehir,ORTAKÖY,ŞEKER PANCARI
42,Akşehir,REİS,"MISIR, DOMATES, BİBER, PATLICAN, PATATES"
43,Akşehir,SAVAŞ,"KİRAZ, VİŞNE, PATATES, SARIMSAK"
44,Akşehir,SORKUN,"KİRAZ, VİŞNE, ÇİLEK"
45,Akşehir,SÖĞÜTLÜ,"BUĞDAY, ARPA, ŞEKER PANCARI, HAŞHAŞ"
46,Akşehir,TEKKE,YOK
47,Akşehir,TİPİKÖY,"MISIR, YONCA, ASPİR, HAŞHAŞ"
48,Akşehir,ULUPINAR,"KİRAZ, VİŞNE"
49,Akşehir,ÜÇHÜYÜK,"KİRAZ, ÇİLEK"
50,Akşehir,YAŞARLAR,"ŞEKER PANCARI, MISIR, HAŞHAŞ"
51,Akşehir,YAYLABELEN,"MISIR, YONCA, FASULYE"
52,Akşehir,YAZLA,"ŞEKER PANCARI, MISIR, YONCA, HAŞHAŞ"
53,Akşehir,YENİKÖY,"KİRAZ, VİŞNE, ÇİLEK"
54,Akşehir,YEŞİLKÖY,"ŞEKER PANCARI, MISIR, FASULYE, DOMATES, BİBER, PATLICAN, PATATES"
55,Akşehir,SARAY,"KİRAZ, VİŞNE, DOMATES"
56,Altınekin,OĞUZELİ,"ŞEKER PANCARI, MISIR, AYÇİÇEĞİ"
57,Altınekin,AKCAŞAR,"ŞEKER PANCARI, MISIR, AYÇİÇEĞİ, ÇEREZLİK KABAK"
58,Altınekin,AYIŞIĞI,YOK
59,Altınekin,AKKÖY,"BUĞDAY, ŞEKER PANCARI, AYÇİÇEĞİ"
60,Altınekin,BORUKKUYU,"ŞEKER PANCARI, MISIR, AYÇİÇEĞİ, KAVUN, KARPUZ"
61,Altınekin,HACINUMAN,"ŞEKER PANCARI, MISIR, AYÇİÇEĞİ, FASULYE"
62,Altınekin,KARAKAYA,"DOMATES, BİBER, PATLICAN, PATATES"
63,Altınekin,KOÇAŞ,"ŞEKER PANCARI, AYÇİÇEĞİ"
64,Altınekin,KOÇYAKA,"ŞEKER PANCARI, MISIR, AYÇİÇEĞİ"
65,Altınekin,MANTAR,"BUĞDAY, ARPA, ŞEKER PANCARI"
66,Altınekin,YENİÖLMEZ,"BUĞDAY, ARPA, ŞEKER PANCARI, MISIR, AYÇİÇEĞİ"
67,Altınekin,SARNIÇ,"ŞEKER PANCARI, MISIR, AYÇİÇEĞİ, FASULYE"
68,Altınekin,TOPRAKLIK,"ŞEKER PANCARI, AYÇİÇEĞİ"
69,Altınekin,YENİKUYU,"ŞEKER PANCARI, MISIR, AYÇİÇEĞİ, PATATES"
70,Altınekin,YENİYAYLA,"ŞEKER PANCARI, MISIR, AYÇİÇEĞİ, FASULYE"
71,Altınekin,DEDELER,"ŞEKER PANCARI, MISIR, AYÇİÇEĞİ, FASULYE"
72,Altınekin,AKINCILAR,"ŞEKER PANCARI, MISIR, AYÇİÇEĞİ"
73,Beyşehir,ADAKÖY,FASULYE
