ilce_adi,mahalle_adi,sulanabilir_alanda_yetistirilen_urunler1,sulanabilir_alanda_yetistirilen_urunler2,sulanabilir_alanda_yetistirilen_urunler3,sulanabilir_alanda_yetistirilen_urunler4,sulanabilir_alanda_yetistirilen_urunler5,sulanabilir_alanda_yetistirilen_urunler6,sulanabilir_alanda_yetistirilen_urunler7,sulanabilir_alanda_yetistirilen_urunler8,sulanabilir_alanda_yetistirilen_urunler9,sulanabilir_alanda_yetistirilen_urunler10
Ahırlı,ALİÇERÇİ,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Ahırlı,BADEMLİ,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Ahırlı,BALIKLAVA,ELMA, KİRAZ, VİŞNE, ÇİLEK, ERİK,YOK,YOK,YOK,YOK,YOK
Ahırlı,BÜYÜKÖZ,BUĞDAY, ARPA,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Ahırlı,ÇİFTLİK,FASULYE,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Ahırlı,ERDOĞAN,ELMA, KİRAZ, ÜZÜM, DOMATES, BİBER, PATLICAN, PATATES,YOK,YOK,YOK
Ahırlı,KARACAKUYU,BUĞDAY, DOMATES, PATLICAN, PATATES,YOK,YOK,YOK,YOK,YOK,YOK
Ahırlı,KAYACIK,MISIR, ELMA, FASULYE,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Ahırlı,KURUÇAY,DOMATES, PATATES,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Ahırlı,KÜÇÜKÖZ,ELMA, ERİK,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Akören,AVDAN,DOMATES, BİBER, PATLICAN, PATATES, SOĞAN,YOK,YOK,YOK,YOK,YOK
Akören,KAYASU,ELMA, KİRAZ, ÇİLEK, FASULYE, DOMATES, BİBER, PATLICAN, PATATES,YOK,YOK
Akören,AHMEDİYE,ŞEKER PANCARI, MISIR, AYÇİÇEĞİ, FASULYE,YOK,YOK,YOK,YOK,YOK,YOK
Akören,ALAN,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Akören,BELKUYU,ELMA, KİRAZ,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Akören,ÇATÖREN,ŞEKER PANCARI, MISIR, FASULYE, PATATES,YOK,YOK,YOK,YOK,YOK,YOK
Akören,DUTLU,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Akören,ORHANİYE,ŞEKER PANCARI, MISIR, FASULYE, PATATES,YOK,YOK,YOK,YOK,YOK,YOK
Akören,SÜLEYMANİYE,BUĞDAY, ŞEKER PANCARI, MISIR, FASULYE, KAVUN, KARPUZ,YOK,YOK,YOK,YOK
Akören,TÜLCE,DOMATES, PATLICAN, PATATES, SOĞAN,YOK,YOK,YOK,YOK,YOK,YOK
Akören,KARAHÜYÜK,MISIR, YONCA, PATATES,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Akşehir,ÇAKILLAR,KİRAZ, VİŞNE, ÇİLEK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Akşehir,GEDİL,BUĞDAY, FASULYE, HAŞHAŞ, DOMATES, SARIMSAK,YOK,YOK,YOK,YOK,YOK
Akşehir,KARAHÜYÜK,BUĞDAY, ŞEKER PANCARI, MISIR, DOMATES, SALATALIK,YOK,YOK,YOK,YOK,YOK
Akşehir,ADSIZ,ŞEKER PANCARI, VİŞNE, HAŞHAŞ,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Akşehir,ALANYURT,KİRAZ, VİŞNE, ÇİLEK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Akşehir,ALTUNTAŞ,ŞEKER PANCARI, MISIR, HAŞHAŞ,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Akşehir,ATAKENT,ELMA, KİRAZ, VİŞNE, ÇİLEK,YOK,YOK,YOK,YOK,YOK,YOK
Akşehir,BOZLAĞAN,HAŞHAŞ, DOMATES, BİBER, PATLICAN, PATATES,YOK,YOK,YOK,YOK,YOK
Akşehir,CANKURTARAN,ÇİLEK,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Akşehir,ÇAMLI,MISIR, VİŞNE, ERİK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Akşehir,ÇİMENDERE,ŞEKER PANCARI, ÇİLEK, PATATES,YOK,YOK,YOK,YOK,YOK,YOK,YOK
Akşehir,DEĞİRMENKÖY,KİRAZ, VİŞNE,YOK,YOK,YOK,YOK,YOK,YOK,YOK,YOK
