_id,tarih,deger,birim
1,2004-12-31T00:00:00,0,Ton
2,2005-12-31T00:00:00,55.796999999999997044142219237983226776123046875,Ton
3,2006-12-31T00:00:00,101.090000000000003410605131648480892181396484375,Ton
4,2007-12-31T00:00:00,102.6149999999999948840923025272786617279052734375,Ton
5,2008-12-31T00:00:00,103.861999999999994770405464805662631988525390625,Ton
6,2009-12-31T00:00:00,108.5799999999999982946974341757595539093017578125,Ton
7,2010-12-31T00:00:00,106.712999999999993860910763032734394073486328125,Ton
8,2011-12-31T00:00:00,112.66599999999999681676854379475116729736328125,Ton
9,2012-12-31T00:00:00,117.2710000000000007958078640513122081756591796875,Ton
10,2013-01-01T00:00:00,44215,Ton
11,2013-02-01T00:00:00,38795,Ton
12,2013-03-01T00:00:00,36645,Ton
13,2013-04-01T00:00:00,34755,Ton
14,2013-05-01T00:00:00,34450,Ton
15,2013-06-01T00:00:00,33420,Ton
16,2013-07-01T00:00:00,20580,Ton
17,2013-08-01T00:00:00,38760,Ton
18,2013-09-01T00:00:00,37740,Ton
19,2013-10-01T00:00:00,38070,Ton
20,2013-11-01T00:00:00,31925,Ton
21,2013-12-01T00:00:00,34590,Ton
22,2013-01-13T00:00:00,33885,Ton
23,2013-01-14T00:00:00,19045,Ton
24,2013-01-15T00:00:00,37430,Ton
25,2013-01-16T00:00:00,33500,Ton
26,2013-01-17T00:00:00,31290,Ton
27,2013-01-18T00:00:00,31235,Ton
28,2013-01-19T00:00:00,31245,Ton
29,2013-01-20T00:00:00,34045,Ton
30,2013-01-21T00:00:00,22010,Ton
31,2013-01-22T00:00:00,41115,Ton
32,2013-01-23T00:00:00,36850,Ton
33,2013-01-24T00:00:00,38280,Ton
34,2013-01-25T00:00:00,36305,Ton
35,2013-01-26T00:00:00,33135,Ton
36,2013-01-27T00:00:00,31300,Ton
37,2013-01-28T00:00:00,20535,Ton
38,2013-01-29T00:00:00,38200,Ton
39,2013-01-30T00:00:00,27110,Ton
40,2013-01-31T00:00:00,20485,Ton
41,2013-01-02T00:00:00,36140,Ton
42,2013-02-02T00:00:00,30500,Ton
43,2013-03-02T00:00:00,30230,Ton
44,2013-04-02T00:00:00,17140,Ton
45,2013-05-02T00:00:00,37995,Ton
46,2013-06-02T00:00:00,37490,Ton
47,2013-07-02T00:00:00,33245,Ton
48,2013-08-02T00:00:00,29725,Ton
49,2013-09-02T00:00:00,29805,Ton
50,2013-10-02T00:00:00,31905,Ton
51,2013-11-02T00:00:00,16800,Ton
52,2013-12-02T00:00:00,37965,Ton
53,2013-02-13T00:00:00,33965,Ton
54,2013-02-14T00:00:00,36995,Ton
55,2013-02-15T00:00:00,33500,Ton
56,2013-02-16T00:00:00,31540,Ton
57,2013-02-17T00:00:00,29780,Ton
58,2013-02-18T00:00:00,16190,Ton
59,2013-02-19T00:00:00,37880,Ton
60,2013-02-20T00:00:00,39715,Ton
61,2013-02-21T00:00:00,36030,Ton
62,2013-02-22T00:00:00,31455,Ton
63,2013-02-23T00:00:00,31525,Ton
64,2013-02-24T00:00:00,29670,Ton
65,2013-02-25T00:00:00,16760,Ton
66,2013-02-26T00:00:00,38145,Ton
67,2013-02-27T00:00:00,37400,Ton
68,2013-02-28T00:00:00,50840,Ton
69,2013-01-03T00:00:00,34260,Ton
70,2013-02-03T00:00:00,31750,Ton
71,2013-03-03T00:00:00,31540,Ton
72,2013-04-03T00:00:00,21910,Ton
73,2013-05-03T00:00:00,40985,Ton
74,2013-06-03T00:00:00,38515,Ton
75,2013-07-03T00:00:00,38230,Ton
76,2013-08-03T00:00:00,34765,Ton
77,2013-09-03T00:00:00,32660,Ton
78,2013-10-03T00:00:00,34005,Ton
79,2013-11-03T00:00:00,20340,Ton
80,2013-12-03T00:00:00,39275,Ton
81,2013-03-13T00:00:00,36380,Ton
82,2013-03-14T00:00:00,30645,Ton
83,2013-03-15T00:00:00,33435,Ton
84,2013-03-16T00:00:00,31710,Ton
85,2013-03-17T00:00:00,32150,Ton
86,2013-03-18T00:00:00,21535,Ton
87,2013-03-19T00:00:00,39465,Ton
88,2013-03-20T00:00:00,38425,Ton
89,2013-03-21T00:00:00,35055,Ton
90,2013-03-22T00:00:00,36015,Ton
