_id,tarih,deger,birim
1,2004-12-31T00:00:00,0,Ton
2,2005-12-31T00:00:00,4.70300000000000029132252166164107620716094970703125,Ton
3,2006-12-31T00:00:00,8.6730000000000000426325641456060111522674560546875,Ton
4,2007-12-31T00:00:00,12.6489999999999991331378623726777732372283935546875,Ton
5,2008-12-31T00:00:00,8.4260000000000001563194018672220408916473388671875,Ton
6,2009-12-31T00:00:00,11.4689999999999994173549566767178475856781005859375,Ton
7,2010-12-31T00:00:00,9.342999999999999971578290569595992565155029296875,Ton
8,2011-12-31T00:00:00,12.2870000000000008100187187665142118930816650390625,Ton
9,2012-12-31T00:00:00,14.278999999999999914734871708787977695465087890625,Ton
10,2013-01-01T00:00:00,3800,Ton
11,2013-02-01T00:00:00,5945,Ton
12,2013-03-01T00:00:00,4235,Ton
13,2013-04-01T00:00:00,4015,Ton
14,2013-05-01T00:00:00,4595,Ton
15,2013-06-01T00:00:00,3305,Ton
16,2013-07-01T00:00:00,590,Ton
17,2013-08-01T00:00:00,5800,Ton
18,2013-09-01T00:00:00,2775,Ton
19,2013-10-01T00:00:00,5030,Ton
20,2013-11-01T00:00:00,8490,Ton
21,2013-12-01T00:00:00,4475,Ton
22,2013-01-13T00:00:00,3090,Ton
23,2013-01-14T00:00:00,270,Ton
24,2013-01-15T00:00:00,3985,Ton
25,2013-01-16T00:00:00,2450,Ton
26,2013-01-17T00:00:00,1695,Ton
27,2013-01-18T00:00:00,3665,Ton
28,2013-01-19T00:00:00,5255,Ton
29,2013-01-20T00:00:00,3885,Ton
30,2013-01-21T00:00:00,0,Ton
31,2013-01-22T00:00:00,3680,Ton
32,2013-01-23T00:00:00,5150,Ton
33,2013-01-24T00:00:00,4655,Ton
34,2013-01-25T00:00:00,2455,Ton
35,2013-01-26T00:00:00,8845,Ton
36,2013-01-27T00:00:00,3315,Ton
37,2013-01-28T00:00:00,0,Ton
38,2013-01-29T00:00:00,5435,Ton
39,2013-01-30T00:00:00,17700,Ton
40,2013-01-31T00:00:00,18610,Ton
41,2013-01-02T00:00:00,9670,Ton
42,2013-02-02T00:00:00,7595,Ton
43,2013-03-02T00:00:00,3400,Ton
44,2013-04-02T00:00:00,865,Ton
45,2013-05-02T00:00:00,7330,Ton
46,2013-06-02T00:00:00,6350,Ton
47,2013-07-02T00:00:00,10835,Ton
48,2013-08-02T00:00:00,5870,Ton
49,2013-09-02T00:00:00,8035,Ton
50,2013-10-02T00:00:00,5230,Ton
51,2013-11-02T00:00:00,345,Ton
52,2013-12-02T00:00:00,5615,Ton
53,2013-02-13T00:00:00,3935,Ton
54,2013-02-14T00:00:00,7170,Ton
55,2013-02-15T00:00:00,7760,Ton
56,2013-02-16T00:00:00,5350,Ton
57,2013-02-17T00:00:00,4375,Ton
58,2013-02-18T00:00:00,875,Ton
59,2013-02-19T00:00:00,3175,Ton
60,2013-02-20T00:00:00,6300,Ton
61,2013-02-21T00:00:00,6565,Ton
62,2013-02-22T00:00:00,8880,Ton
63,2013-02-23T00:00:00,6555,Ton
64,2013-02-24T00:00:00,1035,Ton
65,2013-02-25T00:00:00,860,Ton
66,2013-02-26T00:00:00,580,Ton
67,2013-02-27T00:00:00,2070,Ton
68,2013-02-28T00:00:00,585,Ton
69,2013-01-03T00:00:00,5595,Ton
70,2013-02-03T00:00:00,6295,Ton
71,2013-03-03T00:00:00,4065,Ton
72,2013-04-03T00:00:00,0,Ton
73,2013-05-03T00:00:00,4025,Ton
74,2013-06-03T00:00:00,4845,Ton
75,2013-07-03T00:00:00,4005,Ton
76,2013-08-03T00:00:00,4715,Ton
77,2013-09-03T00:00:00,8945,Ton
78,2013-10-03T00:00:00,6255,Ton
79,2013-11-03T00:00:00,760,Ton
80,2013-12-03T00:00:00,5555,Ton
81,2013-03-13T00:00:00,8230,Ton
82,2013-03-14T00:00:00,5510,Ton
83,2013-03-15T00:00:00,4670,Ton
84,2013-03-16T00:00:00,3435,Ton
85,2013-03-17T00:00:00,8735,Ton
86,2013-03-18T00:00:00,205,Ton
87,2013-03-19T00:00:00,6450,Ton
88,2013-03-20T00:00:00,3290,Ton
89,2013-03-21T00:00:00,4660,Ton
90,2013-03-22T00:00:00,5975,Ton
91,2013-03-23T00:00:00,5985,Ton
92,2013-03-24T00:00:00,6230,Ton
93,2013-03-25T00:00:00,415,Ton
94,2013-03-26T00:00:00,9370,Ton
95,2013-03-27T00:00:00,4420,Ton
96,2013-03-28T00:00:00,5745,Ton
97,2013-03-29T00:00:00,5430,Ton
98,2013-03-30T00:00:00,5885,Ton
99,2013-03-31T00:00:00,4545,Ton
100,2013-01-04T00:00:00,1585,Ton
101,2013-02-04T00:00:00,5645,Ton
102,2013-03-04T00:00:00,5480,Ton
103,2013-04-04T00:00:00,3790,Ton
104,2013-05-04T00:00:00,6435,Ton
105,2013-06-04T00:00:00,4690,Ton
106,2013-07-04T00:00:00,5905,Ton
107,2013-08-04T00:00:00,285,Ton
108,2013-09-04T00:00:00,5330,Ton
109,2013-10-04T00:00:00,6020,Ton
110,2013-11-04T00:00:00,4575,Ton
111,2013-12-04T00:00:00,3085,Ton
112,2013-04-13T00:00:00,5305,Ton
113,2013-04-14T00:00:00,7975,Ton
114,2013-04-15T00:00:00,210,Ton
115,2013-04-16T00:00:00,7305,Ton
116,2013-04-17T00:00:00,3270,Ton
117,2013-04-18T00:00:00,3820,Ton
118,2013-04-19T00:00:00,4905,Ton
119,2013-04-20T00:00:00,4420,Ton
120,2013-04-21T00:00:00,5200,Ton
121,2013-04-22T00:00:00,385,Ton
122,2013-04-23T00:00:00,5820,Ton
123,2013-04-24T00:00:00,6925,Ton
124,2013-04-25T00:00:00,35095,Ton
125,2013-04-26T00:00:00,18795,Ton
126,2013-04-27T00:00:00,61165,Ton
127,2013-04-28T00:00:00,5805,Ton
128,2013-04-29T00:00:00,26645,Ton
129,2013-04-30T00:00:00,8565,Ton
130,2013-01-05T00:00:00,4920,Ton
131,2013-02-05T00:00:00,7890,Ton
132,2013-03-05T00:00:00,6055,Ton
133,2013-04-05T00:00:00,1795,Ton
134,2013-05-05T00:00:00,10950,Ton
135,2013-06-05T00:00:00,440,Ton
136,2013-07-05T00:00:00,15095,Ton
137,2013-08-05T00:00:00,8010,Ton
138,2013-09-05T00:00:00,3730,Ton
139,2013-10-05T00:00:00,9405,Ton
140,2013-11-05T00:00:00,6055,Ton
141,2013-12-05T00:00:00,7835,Ton
142,2013-05-13T00:00:00,140,Ton
143,2013-05-14T00:00:00,16800,Ton
144,2013-05-15T00:00:00,7960,Ton
145,2013-05-16T00:00:00,8525,Ton
146,2013-05-17T00:00:00,8205,Ton
147,2013-05-18T00:00:00,8530,Ton
148,2013-05-19T00:00:00,3605,Ton
149,2013-05-20T00:00:00,16725,Ton
150,2013-05-21T00:00:00,17865,Ton
151,2013-05-22T00:00:00,3840,Ton
152,2013-05-23T00:00:00,4610,Ton
153,2013-05-24T00:00:00,8380,Ton
154,2013-05-25T00:00:00,15265,Ton
155,2013-05-26T00:00:00,13055,Ton
156,2013-05-27T00:00:00,2345,Ton
157,2013-05-28T00:00:00,13315,Ton
158,2013-05-29T00:00:00,6340,Ton
159,2013-05-30T00:00:00,7225,Ton
160,2013-05-31T00:00:00,5440,Ton
161,2013-01-06T00:00:00,5600,Ton
162,2013-02-06T00:00:00,6290,Ton
163,2013-03-06T00:00:00,8375,Ton
164,2013-04-06T00:00:00,5300,Ton
165,2013-05-06T00:00:00,2970,Ton
166,2013-06-06T00:00:00,9395,Ton
167,2013-07-06T00:00:00,5040,Ton
168,2013-08-06T00:00:00,12185,Ton
169,2013-09-06T00:00:00,11690,Ton
170,2013-10-06T00:00:00,145,Ton
171,2013-11-06T00:00:00,5710,Ton
172,2013-12-06T00:00:00,5535,Ton
173,2013-06-13T00:00:00,6985,Ton
174,2013-06-14T00:00:00,21090,Ton
175,2013-06-15T00:00:00,8200,Ton
176,2013-06-16T00:00:00,20425,Ton
177,2013-06-17T00:00:00,680,Ton
178,2013-06-18T00:00:00,4085,Ton
179,2013-06-19T00:00:00,3300,Ton
180,2013-06-20T00:00:00,9370,Ton
181,2013-06-21T00:00:00,6735,Ton
182,2013-06-22T00:00:00,8225,Ton
183,2013-06-23T00:00:00,8470,Ton
184,2013-06-24T00:00:00,1005,Ton
185,2013-06-25T00:00:00,12320,Ton
186,2013-06-26T00:00:00,6365,Ton
187,2013-06-27T00:00:00,15370,Ton
188,2013-06-28T00:00:00,10540,Ton
189,2013-06-29T00:00:00,16365,Ton
190,2013-06-30T00:00:00,11080,Ton
191,2013-01-07T00:00:00,3570,Ton
192,2013-02-07T00:00:00,5880,Ton
193,2013-03-07T00:00:00,8330,Ton
194,2013-04-07T00:00:00,3895,Ton
195,2013-05-07T00:00:00,5930,Ton
196,2013-06-07T00:00:00,9050,Ton
197,2013-07-07T00:00:00,6725,Ton
198,2013-08-07T00:00:00,4595,Ton
199,2013-09-07T00:00:00,18870,Ton
200,2013-10-07T00:00:00,29745,Ton
201,2013-11-07T00:00:00,31965,Ton
202,2013-12-07T00:00:00,20000,Ton
203,2013-07-13T00:00:00,25205,Ton
204,2013-07-14T00:00:00,15610,Ton
205,2013-07-15T00:00:00,2265,Ton
206,2013-07-16T00:00:00,7630,Ton
207,2013-07-17T00:00:00,8445,Ton
208,2013-07-18T00:00:00,7405,Ton
209,2013-07-19T00:00:00,7620,Ton
210,2013-07-20T00:00:00,6095,Ton
211,2013-07-21T00:00:00,5810,Ton
212,2013-07-22T00:00:00,2250,Ton
213,2013-07-23T00:00:00,11610,Ton
214,2013-07-24T00:00:00,10875,Ton
215,2013-07-25T00:00:00,7095,Ton
216,2013-07-26T00:00:00,10920,Ton
217,2013-07-27T00:00:00,4365,Ton
218,2013-07-28T00:00:00,17185,Ton
219,2013-07-29T00:00:00,13550,Ton
220,2013-07-30T00:00:00,17805,Ton
221,2013-07-31T00:00:00,16690,Ton
222,2013-01-08T00:00:00,5105,Ton
223,2013-02-08T00:00:00,6845,Ton
224,2013-03-08T00:00:00,7315,Ton
225,2013-04-08T00:00:00,195,Ton
226,2013-05-08T00:00:00,6940,Ton
227,2013-06-08T00:00:00,9560,Ton
228,2013-07-08T00:00:00,7515,Ton
229,2013-08-08T00:00:00,705,Ton
230,2013-09-08T00:00:00,2845,Ton
