_id,tarih,deger,birim
1,2004-12-31T00:00:00,0,Ton
2,2005-12-31T00:00:00,78.74299999999999499777914024889469146728515625,Ton
3,2006-12-31T00:00:00,149.02699999999998681232682429254055023193359375,Ton
4,2007-12-31T00:00:00,150.048000000000001818989403545856475830078125,Ton
5,2008-12-31T00:00:00,163.46199999999998908606357872486114501953125,Ton
6,2009-12-31T00:00:00,157.7160000000000081854523159563541412353515625,Ton
7,2010-12-31T00:00:00,170.075999999999993406163412146270275115966796875,Ton
8,2011-12-31T00:00:00,182.292000000000001591615728102624416351318359375,Ton
9,2012-12-31T00:00:00,197.06499999999999772626324556767940521240234375,Ton
10,2013-01-01T00:00:00,55440,Ton
11,2013-02-01T00:00:00,59485,Ton
12,2013-03-01T00:00:00,55720,Ton
13,2013-04-01T00:00:00,49785,Ton
14,2013-05-01T00:00:00,55930,Ton
15,2013-06-01T00:00:00,55135,Ton
16,2013-07-01T00:00:00,53785,Ton
17,2013-08-01T00:00:00,58265,Ton
18,2013-09-01T00:00:00,58000,Ton
19,2013-10-01T00:00:00,54705,Ton
20,2013-11-01T00:00:00,51870,Ton
21,2013-12-01T00:00:00,52255,Ton
22,2013-01-13T00:00:00,53630,Ton
23,2013-01-14T00:00:00,52370,Ton
24,2013-01-15T00:00:00,56650,Ton
25,2013-01-16T00:00:00,51085,Ton
26,2013-01-17T00:00:00,43765,Ton
27,2013-01-18T00:00:00,49175,Ton
28,2013-01-19T00:00:00,51010,Ton
29,2013-01-20T00:00:00,54125,Ton
30,2013-01-21T00:00:00,57895,Ton
31,2013-01-22T00:00:00,60380,Ton
32,2013-01-23T00:00:00,55455,Ton
33,2013-01-24T00:00:00,48255,Ton
34,2013-01-25T00:00:00,57450,Ton
35,2013-01-26T00:00:00,53930,Ton
36,2013-01-27T00:00:00,52095,Ton
37,2013-01-28T00:00:00,56500,Ton
38,2013-01-29T00:00:00,59915,Ton
39,2013-01-30T00:00:00,47270,Ton
40,2013-01-31T00:00:00,41925,Ton
41,2013-01-02T00:00:00,49425,Ton
42,2013-02-02T00:00:00,50875,Ton
43,2013-03-02T00:00:00,52945,Ton
44,2013-04-02T00:00:00,53710,Ton
45,2013-05-02T00:00:00,55470,Ton
46,2013-06-02T00:00:00,55210,Ton
47,2013-07-02T00:00:00,53830,Ton
48,2013-08-02T00:00:00,44900,Ton
49,2013-09-02T00:00:00,45090,Ton
50,2013-10-02T00:00:00,49440,Ton
51,2013-11-02T00:00:00,48685,Ton
52,2013-12-02T00:00:00,57440,Ton
53,2013-02-13T00:00:00,55015,Ton
54,2013-02-14T00:00:00,50125,Ton
55,2013-02-15T00:00:00,51480,Ton
56,2013-02-16T00:00:00,49095,Ton
57,2013-02-17T00:00:00,49760,Ton
58,2013-02-18T00:00:00,53865,Ton
59,2013-02-19T00:00:00,56245,Ton
60,2013-02-20T00:00:00,54545,Ton
61,2013-02-21T00:00:00,51965,Ton
62,2013-02-22T00:00:00,52560,Ton
63,2013-02-23T00:00:00,48860,Ton
64,2013-02-24T00:00:00,49990,Ton
65,2013-02-25T00:00:00,50945,Ton
66,2013-02-26T00:00:00,56030,Ton
67,2013-02-27T00:00:00,52685,Ton
68,2013-02-28T00:00:00,58640,Ton
69,2013-01-03T00:00:00,54635,Ton
70,2013-02-03T00:00:00,51470,Ton
71,2013-03-03T00:00:00,48675,Ton
72,2013-04-03T00:00:00,53835,Ton
73,2013-05-03T00:00:00,55745,Ton
74,2013-06-03T00:00:00,55800,Ton
75,2013-07-03T00:00:00,51855,Ton
76,2013-08-03T00:00:00,51835,Ton
77,2013-09-03T00:00:00,51085,Ton
78,2013-10-03T00:00:00,52020,Ton
79,2013-11-03T00:00:00,55280,Ton
80,2013-12-03T00:00:00,57510,Ton
81,2013-03-13T00:00:00,55070,Ton
82,2013-03-14T00:00:00,51390,Ton
83,2013-03-15T00:00:00,51710,Ton
84,2013-03-16T00:00:00,58220,Ton
85,2013-03-17T00:00:00,58450,Ton
86,2013-03-18T00:00:00,53920,Ton
87,2013-03-19T00:00:00,57030,Ton
88,2013-03-20T00:00:00,57070,Ton
89,2013-03-21T00:00:00,53340,Ton
90,2013-03-22T00:00:00,62050,Ton
91,2013-03-23T00:00:00,50665,Ton
92,2013-03-24T00:00:00,52645,Ton
93,2013-03-25T00:00:00,56330,Ton
94,2013-03-26T00:00:00,56165,Ton
95,2013-03-27T00:00:00,54785,Ton
96,2013-03-28T00:00:00,49565,Ton
97,2013-03-29T00:00:00,45470,Ton
98,2013-03-30T00:00:00,45685,Ton
99,2013-03-31T00:00:00,46985,Ton
100,2013-01-04T00:00:00,53190,Ton
101,2013-02-04T00:00:00,51590,Ton
102,2013-03-04T00:00:00,59000,Ton
103,2013-04-04T00:00:00,51455,Ton
104,2013-05-04T00:00:00,50020,Ton
105,2013-06-04T00:00:00,45640,Ton
106,2013-07-04T00:00:00,52030,Ton
107,2013-08-04T00:00:00,50790,Ton
108,2013-09-04T00:00:00,55505,Ton
109,2013-10-04T00:00:00,55810,Ton
110,2013-11-04T00:00:00,51915,Ton
111,2013-12-04T00:00:00,47685,Ton
112,2013-04-13T00:00:00,52075,Ton
113,2013-04-14T00:00:00,58500,Ton
114,2013-04-15T00:00:00,52470,Ton
115,2013-04-16T00:00:00,55755,Ton
116,2013-04-17T00:00:00,52650,Ton
117,2013-04-18T00:00:00,48610,Ton
118,2013-04-19T00:00:00,50720,Ton
119,2013-04-20T00:00:00,47765,Ton
120,2013-04-21T00:00:00,50055,Ton
121,2013-04-22T00:00:00,54590,Ton
122,2013-04-23T00:00:00,51415,Ton
123,2013-04-24T00:00:00,51145,Ton
124,2013-04-25T00:00:00,47525,Ton
125,2013-04-26T00:00:00,57860,Ton
126,2013-04-27T00:00:00,46135,Ton
127,2013-04-28T00:00:00,56005,Ton
128,2013-04-29T00:00:00,54255,Ton
129,2013-04-30T00:00:00,59455,Ton
130,2013-01-05T00:00:00,52940,Ton
131,2013-02-05T00:00:00,50545,Ton
132,2013-03-05T00:00:00,55390,Ton
133,2013-04-05T00:00:00,53420,Ton
134,2013-05-05T00:00:00,49985,Ton
135,2013-06-05T00:00:00,55280,Ton
136,2013-07-05T00:00:00,56075,Ton
137,2013-08-05T00:00:00,52485,Ton
138,2013-09-05T00:00:00,52485,Ton
139,2013-10-05T00:00:00,53130,Ton
140,2013-11-05T00:00:00,49355,Ton
141,2013-12-05T00:00:00,50250,Ton
142,2013-05-13T00:00:00,51075,Ton
143,2013-05-14T00:00:00,51065,Ton
144,2013-05-15T00:00:00,50445,Ton
145,2013-05-16T00:00:00,48160,Ton
146,2013-05-17T00:00:00,46655,Ton
147,2013-05-18T00:00:00,52240,Ton
148,2013-05-19T00:00:00,52895,Ton
149,2013-05-20T00:00:00,48445,Ton
150,2013-05-21T00:00:00,50520,Ton
151,2013-05-22T00:00:00,56660,Ton
152,2013-05-23T00:00:00,56625,Ton
153,2013-05-24T00:00:00,50175,Ton
154,2013-05-25T00:00:00,49840,Ton
155,2013-05-26T00:00:00,51020,Ton
156,2013-05-27T00:00:00,57520,Ton
157,2013-05-28T00:00:00,54130,Ton
158,2013-05-29T00:00:00,59180,Ton
159,2013-05-30T00:00:00,56465,Ton
160,2013-05-31T00:00:00,60750,Ton
161,2013-01-06T00:00:00,51040,Ton
162,2013-02-06T00:00:00,51390,Ton
163,2013-03-06T00:00:00,53535,Ton
164,2013-04-06T00:00:00,53880,Ton
165,2013-05-06T00:00:00,54825,Ton
166,2013-06-06T00:00:00,54615,Ton
167,2013-07-06T00:00:00,52735,Ton
168,2013-08-06T00:00:00,54100,Ton
169,2013-09-06T00:00:00,51205,Ton
170,2013-10-06T00:00:00,55525,Ton
171,2013-11-06T00:00:00,54005,Ton
172,2013-12-06T00:00:00,57000,Ton
173,2013-06-13T00:00:00,55540,Ton
174,2013-06-14T00:00:00,56740,Ton
175,2013-06-15T00:00:00,52570,Ton
176,2013-06-16T00:00:00,51290,Ton
177,2013-06-17T00:00:00,46860,Ton
178,2013-06-18T00:00:00,53260,Ton
179,2013-06-19T00:00:00,61160,Ton
180,2013-06-20T00:00:00,54895,Ton
181,2013-06-21T00:00:00,51050,Ton
182,2013-06-22T00:00:00,49195,Ton
183,2013-06-23T00:00:00,50555,Ton
184,2013-06-24T00:00:00,48345,Ton
185,2013-06-25T00:00:00,48715,Ton
186,2013-06-26T00:00:00,52420,Ton
187,2013-06-27T00:00:00,55290,Ton
188,2013-06-28T00:00:00,54735,Ton
189,2013-06-29T00:00:00,46815,Ton
190,2013-06-30T00:00:00,51560,Ton
191,2013-01-07T00:00:00,48665,Ton
192,2013-02-07T00:00:00,45980,Ton
193,2013-03-07T00:00:00,53310,Ton
194,2013-04-07T00:00:00,54405,Ton
195,2013-05-07T00:00:00,56205,Ton
196,2013-06-07T00:00:00,60990,Ton
197,2013-07-07T00:00:00,52915,Ton
198,2013-08-07T00:00:00,56425,Ton
199,2013-09-07T00:00:00,53850,Ton
200,2013-10-07T00:00:00,59435,Ton
201,2013-11-07T00:00:00,56380,Ton
202,2013-12-07T00:00:00,57695,Ton
203,2013-07-13T00:00:00,52515,Ton
204,2013-07-14T00:00:00,55175,Ton
205,2013-07-15T00:00:00,55295,Ton
206,2013-07-16T00:00:00,57355,Ton
207,2013-07-17T00:00:00,56540,Ton
208,2013-07-18T00:00:00,55380,Ton
209,2013-07-19T00:00:00,52475,Ton
210,2013-07-20T00:00:00,50875,Ton
211,2013-07-21T00:00:00,49655,Ton
212,2013-07-22T00:00:00,53835,Ton
213,2013-07-23T00:00:00,54090,Ton
214,2013-07-24T00:00:00,50810,Ton
215,2013-07-25T00:00:00,51850,Ton
216,2013-07-26T00:00:00,55100,Ton
217,2013-07-27T00:00:00,55720,Ton
218,2013-07-28T00:00:00,58965,Ton
219,2013-07-29T00:00:00,57170,Ton
220,2013-07-30T00:00:00,57495,Ton
221,2013-07-31T00:00:00,59975,Ton
222,2013-01-08T00:00:00,54600,Ton
223,2013-02-08T00:00:00,59705,Ton
224,2013-03-08T00:00:00,57855,Ton
225,2013-04-08T00:00:00,52140,Ton
226,2013-05-08T00:00:00,61975,Ton
227,2013-06-08T00:00:00,71190,Ton
228,2013-07-08T00:00:00,75655,Ton
229,2013-08-08T00:00:00,41035,Ton
230,2013-09-08T00:00:00,44725,Ton
231,2013-10-08T00:00:00,26760,Ton
232,2013-11-08T00:00:00,36970,Ton
233,2013-12-08T00:00:00,43175,Ton
234,2013-08-13T00:00:00,53140,Ton
235,2013-08-14T00:00:00,51350,Ton
236,2013-08-15T00:00:00,51610,Ton
237,2013-08-16T00:00:00,55695,Ton
238,2013-08-17T00:00:00,54810,Ton
239,2013-08-18T00:00:00,51890,Ton
240,2013-08-19T00:00:00,55185,Ton
241,2013-08-20T00:00:00,55490,Ton
242,2013-08-21T00:00:00,57540,Ton
243,2013-08-22T00:00:00,53800,Ton
244,2013-08-23T00:00:00,52375,Ton
245,2013-08-24T00:00:00,53745,Ton
246,2013-08-25T00:00:00,56490,Ton
247,2013-08-26T00:00:00,53285,Ton
248,2013-08-27T00:00:00,59640,Ton
249,2013-08-28T00:00:00,53695,Ton
250,2013-08-29T00:00:00,65975,Ton
251,2013-08-30T00:00:00,54380,Ton
252,2013-08-31T00:00:00,59960,Ton
253,2013-01-09T00:00:00,58345,Ton
254,2013-02-09T00:00:00,54550,Ton
255,2013-03-09T00:00:00,63330,Ton
256,2013-04-09T00:00:00,60765,Ton
257,2013-05-09T00:00:00,53830,Ton
258,2013-06-09T00:00:00,56260,Ton
259,2013-07-09T00:00:00,55585,Ton
260,2013-08-09T00:00:00,59085,Ton
261,2013-09-09T00:00:00,53125,Ton
262,2013-10-09T00:00:00,59030,Ton
263,2013-11-09T00:00:00,57280,Ton
264,2013-12-09T00:00:00,54990,Ton
265,2013-09-13T00:00:00,52905,Ton
266,2013-09-14T00:00:00,57335,Ton
267,2013-09-15T00:00:00,55965,Ton
268,2013-09-16T00:00:00,61275,Ton
269,2013-09-17T00:00:00,63525,Ton
270,2013-09-18T00:00:00,61525,Ton
271,2013-09-19T00:00:00,56555,Ton
272,2013-09-20T00:00:00,58900,Ton
273,2013-09-21T00:00:00,54450,Ton
274,2013-09-22T00:00:00,57035,Ton
275,2013-09-23T00:00:00,53990,Ton
276,2013-09-24T00:00:00,64755,Ton
277,2013-09-25T00:00:00,59120,Ton
278,2013-09-26T00:00:00,82330,Ton
279,2013-09-27T00:00:00,66150,Ton
280,2013-09-28T00:00:00,56760,Ton
281,2013-09-29T00:00:00,56405,Ton
282,2013-09-30T00:00:00,55565,Ton
283,2013-01-10T00:00:00,57720,Ton
284,2013-02-10T00:00:00,57530,Ton
285,2013-03-10T00:00:00,58720,Ton
286,2013-04-10T00:00:00,59985,Ton
287,2013-05-10T00:00:00,57795,Ton
288,2013-06-10T00:00:00,50725,Ton
289,2013-07-10T00:00:00,62350,Ton
290,2013-08-10T00:00:00,64120,Ton
291,2013-09-10T00:00:00,60890,Ton
292,2013-10-10T00:00:00,64445,Ton
293,2013-11-10T00:00:00,58555,Ton
294,2013-12-10T00:00:00,69650,Ton
295,2013-10-13T00:00:00,63945,Ton
296,2013-10-14T00:00:00,78900,Ton
297,2013-10-15T00:00:00,51500,Ton
298,2013-10-16T00:00:00,79940,Ton
299,2013-10-17T00:00:00,1.0018000000000000238031816479633562266826629638671875,Ton
300,2013-10-18T00:00:00,69690,Ton
301,2013-10-19T00:00:00,48845,Ton
302,2013-10-20T00:00:00,54315,Ton
303,2013-10-21T00:00:00,57760,Ton
304,2013-10-22T00:00:00,60690,Ton
305,2013-10-23T00:00:00,60230,Ton
306,2013-10-24T00:00:00,55295,Ton
307,2013-10-25T00:00:00,49130,Ton
308,2013-10-26T00:00:00,59895,Ton
309,2013-10-27T00:00:00,60115,Ton
310,2013-10-28T00:00:00,60100,Ton
311,2013-10-29T00:00:00,58195,Ton
312,2013-10-30T00:00:00,60570,Ton
313,2013-10-31T00:00:00,51250,Ton
314,2013-01-11T00:00:00,57075,Ton
315,2013-02-11T00:00:00,54875,Ton
316,2013-03-11T00:00:00,54635,Ton
317,2013-04-11T00:00:00,56585,Ton
318,2013-05-11T00:00:00,66740,Ton
319,2013-06-11T00:00:00,54415,Ton
320,2013-07-11T00:00:00,60520,Ton
321,2013-08-11T00:00:00,50745,Ton
322,2013-09-11T00:00:00,55505,Ton
323,2013-10-11T00:00:00,56925,Ton
324,2013-11-11T00:00:00,52715,Ton
325,2013-12-11T00:00:00,57925,Ton
326,2013-11-13T00:00:00,55400,Ton
327,2013-11-14T00:00:00,58245,Ton
328,2013-11-15T00:00:00,53465,Ton
329,2013-11-16T00:00:00,54355,Ton
330,2013-11-17T00:00:00,58230,Ton
331,2013-11-18T00:00:00,57835,Ton
332,2013-11-19T00:00:00,64710,Ton
333,2013-11-20T00:00:00,53525,Ton
334,2013-11-21T00:00:00,60990,Ton
335,2013-11-22T00:00:00,49620,Ton
336,2013-11-23T00:00:00,57185,Ton
337,2013-11-24T00:00:00,62125,Ton
338,2013-11-25T00:00:00,61345,Ton
339,2013-11-26T00:00:00,63335,Ton
