,tarih,değer (ton)
0,2004-12-31,"0,0"
1,2005-12-31,"55,797"
2,2006-12-31,"101,09"
3,2007-12-31,"102,615"
4,2008-12-31,"103,862"
5,2009-12-31,"108,58"
6,2010-12-31,"106,713"
7,2011-12-31,"112,666"
8,2012-12-31,"117,271"
9,2013-01-01,"44215,0"
10,2013-02-01,"38795,0"
11,2013-03-01,"36645,0"
12,2013-04-01,"34755,0"
13,2013-05-01,"34450,0"
14,2013-06-01,"33420,0"
15,2013-07-01,"20580,0"
16,2013-08-01,"38760,0"
17,2013-09-01,"37740,0"
18,2013-10-01,"38070,0"
19,2013-11-01,"31925,0"
20,2013-12-01,"34590,0"
21,2013-01-13,"33885,0"
22,2013-01-14,"19045,0"
23,2013-01-15,"37430,0"
24,2013-01-16,"33500,0"
25,2013-01-17,"31290,0"
26,2013-01-18,"31235,0"
27,2013-01-19,"31245,0"
28,2013-01-20,"34045,0"
29,2013-01-21,"22010,0"
30,2013-01-22,"41115,0"
31,2013-01-23,"36850,0"
32,2013-01-24,"38280,0"
33,2013-01-25,"36305,0"
34,2013-01-26,"33135,0"
35,2013-01-27,"31300,0"
36,2013-01-28,"20535,0"
37,2013-01-29,"38200,0"
38,2013-01-30,"27110,0"
39,2013-01-31,"20485,0"
40,2013-01-02,"36140,0"
41,2013-02-02,"30500,0"
42,2013-03-02,"30230,0"
43,2013-04-02,"17140,0"
44,2013-05-02,"37995,0"
45,2013-06-02,"37490,0"
46,2013-07-02,"33245,0"
47,2013-08-02,"29725,0"
48,2013-09-02,"29805,0"
49,2013-10-02,"31905,0"
50,2013-11-02,"16800,0"
51,2013-12-02,"37965,0"
52,2013-02-13,"33965,0"
53,2013-02-14,"36995,0"
54,2013-02-15,"33500,0"
55,2013-02-16,"31540,0"
56,2013-02-17,"29780,0"
57,2013-02-18,"16190,0"
58,2013-02-19,"37880,0"
59,2013-02-20,"39715,0"
60,2013-02-21,"36030,0"
61,2013-02-22,"31455,0"
62,2013-02-23,"31525,0"
63,2013-02-24,"29670,0"
64,2013-02-25,"16760,0"
65,2013-02-26,"38145,0"
66,2013-02-27,"37400,0"
67,2013-02-28,"50840,0"
68,2013-01-03,"34260,0"
69,2013-02-03,"31750,0"
70,2013-03-03,"31540,0"
71,2013-04-03,"21910,0"
72,2013-05-03,"40985,0"
73,2013-06-03,"38515,0"
74,2013-07-03,"38230,0"
75,2013-08-03,"34765,0"
76,2013-09-03,"32660,0"
77,2013-10-03,"34005,0"
78,2013-11-03,"20340,0"
79,2013-12-03,"39275,0"
80,2013-03-13,"36380,0"
81,2013-03-14,"30645,0"
82,2013-03-15,"33435,0"
83,2013-03-16,"31710,0"
84,2013-03-17,"32150,0"
85,2013-03-18,"21535,0"
86,2013-03-19,"39465,0"
87,2013-03-20,"38425,0"
88,2013-03-21,"35055,0"
89,2013-03-22,"36015,0"
90,2013-03-23,"28400,0"
91,2013-03-24,"32615,0"
92,2013-03-25,"18940,0"
93,2013-03-26,"38915,0"
94,2013-03-27,"37750,0"
95,2013-03-28,"36185,0"
96,2013-03-29,"24375,0"
97,2013-03-30,"19485,0"
98,2013-03-31,"31425,0"
99,2013-01-04,"21080,0"
100,2013-02-04,"38465,0"
101,2013-03-04,"35595,0"
102,2013-04-04,"36165,0"
103,2013-05-04,"34975,0"
104,2013-06-04,"34550,0"
105,2013-07-04,"30385,0"
106,2013-08-04,"19520,0"
107,2013-09-04,"42395,0"
108,2013-10-04,"38635,0"
109,2013-11-04,"34780,0"
110,2013-12-04,"33275,0"
111,2013-04-13,"30800,0"
112,2013-04-14,"35170,0"
113,2013-04-15,"20955,0"
114,2013-04-16,"38280,0"
115,2013-04-17,"38190,0"
116,2013-04-18,"34240,0"
117,2013-04-19,"32195,0"
118,2013-04-20,"31805,0"
119,2013-04-21,"31595,0"
120,2013-04-22,"22245,0"
121,2013-04-23,"39900,0"
122,2013-04-24,"35910,0"
123,2013-04-25,"36990,0"
124,2013-04-26,"34565,0"
125,2013-04-27,"34410,0"
126,2013-04-28,"29420,0"
127,2013-04-29,"22080,0"
128,2013-04-30,"39715,0"
129,2013-01-05,"34540,0"
130,2013-02-05,"40675,0"
131,2013-03-05,"27835,0"
132,2013-04-05,"25860,0"
133,2013-05-05,"23975,0"
134,2013-06-05,"22425,0"
135,2013-07-05,"32130,0"
136,2013-08-05,"28200,0"
137,2013-09-05,"36325,0"
138,2013-10-05,"32850,0"
139,2013-11-05,"30600,0"
140,2013-12-05,"30230,0"
141,2013-05-13,"20590,0"
142,2013-05-14,"37465,0"
143,2013-05-15,"33295,0"
144,2013-05-16,"31405,0"
145,2013-05-17,"31660,0"
146,2013-05-18,"29725,0"
147,2013-05-19,"28765,0"
148,2013-05-20,"16670,0"
149,2013-05-21,"34680,0"
150,2013-05-22,"29760,0"
151,2013-05-23,"29335,0"
152,2013-05-24,"30895,0"
153,2013-05-25,"30030,0"
154,2013-05-26,"30920,0"
155,2013-05-27,"19295,0"
156,2013-05-28,"38675,0"
157,2013-05-29,"35760,0"
158,2013-05-30,"35165,0"
159,2013-05-31,"29600,0"
160,2013-01-06,"29880,0"
161,2013-02-06,"27590,0"
162,2013-03-06,"21310,0"
163,2013-04-06,"34950,0"
164,2013-05-06,"33440,0"
165,2013-06-06,"30290,0"
166,2013-07-06,"28530,0"
167,2013-08-06,"29650,0"
168,2013-09-06,"29205,0"
169,2013-10-06,"19470,0"
170,2013-11-06,"39865,0"
171,2013-12-06,"33065,0"
172,2013-06-13,"29885,0"
173,2013-06-14,"28425,0"
174,2013-06-15,"29765,0"
175,2013-06-16,"29945,0"
176,2013-06-17,"18430,0"
177,2013-06-18,"37615,0"
178,2013-06-19,"35685,0"
179,2013-06-20,"32380,0"
180,2013-06-21,"28395,0"
181,2013-06-22,"28405,0"
182,2013-06-23,"30495,0"
183,2013-06-24,"18195,0"
