_id,Ilce,mahalle,mahalle_turu
1,AHIRLI,AKKISE,MAHALLE
2,AHIRLI,ÇUKURBUCAK,MAHALLE
3,AHIRLI,HAMZALAR,MAHALLE
4,AHIRLI,HENGEME,MAHALLE
5,AHIRLI,MERKEZ,MAHALLE
6,AHIRLI,ALIÇERÇI,KIRSALMAHALLE                   
7,AHIRLI,BADEMLI,KIRSALMAHALLE                   
8,AHIRLI,BALIKLAVA,KIRSALMAHALLE                   
9,AHIRLI,BÜYÜKÖZ,KIRSALMAHALLE                   
10,AHIRLI,ÇIFTLIK,KIRSALMAHALLE                   
11,AHIRLI,ERDOÐAN,KIRSALMAHALLE                   
12,AHIRLI,KARACAKUYU,KIRSALMAHALLE                   
13,AHIRLI,KAYACIK,KIRSALMAHALLE                   
14,AHIRLI,KURUÇAY,KIRSALMAHALLE                   
15,AHIRLI,KÜÇÜKÖZ,KIRSALMAHALLE                   
16,AKÖREN,AÐALAR,MAHALLE
17,AKÖREN,AVDAN,MAHALLE
18,AKÖREN,HACILAR,MAHALLE
19,AKÖREN,KAYASU,MAHALLE
20,AKÖREN,TÜLCE,MAHALLE
21,AKÖREN,YENI,MAHALLE
22,AKÖREN,AHMEDIYE,KIRSALMAHALLE                   
23,AKÖREN,ALANKÖY,KIRSALMAHALLE                   
24,AKÖREN,BELKUYU,KIRSALMAHALLE                   
25,AKÖREN,ÇATÖREN,KIRSALMAHALLE                   
26,AKÖREN,DUTLU,KIRSALMAHALLE                   
27,AKÖREN,KARAHÜYÜK,KIRSALMAHALLE                   
28,AKÖREN,ORHANIYE,KIRSALMAHALLE                   
29,AKÖREN,SÜLEYMANIYE,KIRSALMAHALLE                   
30,AKÞEHIR,ADSIZ,MAHALLE
31,AKÞEHIR,AHICELAL,MAHALLE
32,AKÞEHIR,ALTUNKALEM,MAHALLE
33,AKÞEHIR,ALTUNTAÞ,MAHALLE
34,AKÞEHIR,ANIT,MAHALLE
35,AKÞEHIR,ATAKENT,MAHALLE
36,AKÞEHIR,ÇAKILLAR,MAHALLE
37,AKÞEHIR,ÇAY,MAHALLE
38,AKÞEHIR,ÇIMENLI,MAHALLE
39,AKÞEHIR,DOÐRUGÖZ,MAHALLE
40,AKÞEHIR,ENGILI,MAHALLE
41,AKÞEHIR,ESKIKALE,MAHALLE
42,AKÞEHIR,GAZI,MAHALLE
43,AKÞEHIR,GÖLÇAYIR,MAHALLE
44,AKÞEHIR,ISTASYON,MAHALLE
45,AKÞEHIR,KARAHÜYÜK,MAHALLE
46,AKÞEHIR,KIZILCA,MAHALLE
47,AKÞEHIR,KILECI,MAHALLE
48,AKÞEHIR,KOZAÐAÇ,MAHALLE
49,AKÞEHIR,KURUÇAY,MAHALLE
50,AKÞEHIR,KUÞÇU,MAHALLE
51,AKÞEHIR,MEYDAN,MAHALLE
