ilce,mahalle,mahalle_turu
AHIRLI,AKKISE,MAHALLE
AHIRLI,ÇUKURBUCAK,MAHALLE
AHIRLI,HAMZALAR,MAHALLE
AHIRLI,HENGEME,MAHALLE
AHIRLI,MERKEZ,MAHALLE
AHIRLI,ALIÇERÇI,KIRSAL MAHALLE                   
AHIRLI,BADEMLI,KIRSAL MAHALLE                   
AHIRLI,BALIKLAVA,KIRSAL MAHALLE                   
AHIRLI,BÜYÜKÖZ,KIRSAL MAHALLE                   
AHIRLI,ÇIFTLIK,KIRSAL MAHALLE                   
AHIRLI,ERDOĞAN,KIRSAL MAHALLE                   
AHIRLI,KARACAKUYU,KIRSAL MAHALLE                   
AHIRLI,KAYACIK,KIRSAL MAHALLE                   
AHIRLI,KURUÇAY,KIRSAL MAHALLE                   
AHIRLI,KÜÇÜKÖZ,KIRSAL MAHALLE                   
AKÖREN,AĞALAR,MAHALLE
AKÖREN,AVDAN,MAHALLE
AKÖREN,HACILAR,MAHALLE
AKÖREN,KAYASU,MAHALLE
AKÖREN,TÜLCE,MAHALLE
AKÖREN,YENI,MAHALLE
AKÖREN,AHMEDIYE,KIRSAL MAHALLE                   
AKÖREN,ALANKÖY,KIRSAL MAHALLE                   
AKÖREN,BELKUYU,KIRSAL MAHALLE                   
AKÖREN,ÇATÖREN,KIRSAL MAHALLE                   
AKÖREN,DUTLU,KIRSAL MAHALLE                   
AKÖREN,KARAHÜYÜK,KIRSAL MAHALLE                   
AKÖREN,ORHANIYE,KIRSAL MAHALLE                   
AKÖREN,SÜLEYMANIYE,KIRSAL MAHALLE                   
AKŞEHIR,ADSIZ,MAHALLE
AKŞEHIR,AHICELAL,MAHALLE
AKŞEHIR,ALTUNKALEM,MAHALLE
AKŞEHIR,ALTUNTAŞ,MAHALLE
AKŞEHIR,ANIT,MAHALLE
AKŞEHIR,ATAKENT,MAHALLE
AKŞEHIR,ÇAKILLAR,MAHALLE
AKŞEHIR,ÇAY,MAHALLE
AKŞEHIR,ÇIMENLI,MAHALLE
AKŞEHIR,DOĞRUGÖZ,MAHALLE
AKŞEHIR,ENGILI,MAHALLE
AKŞEHIR,ESKIKALE,MAHALLE
AKŞEHIR,GAZI,MAHALLE
AKŞEHIR,GÖLÇAYIR,MAHALLE
AKŞEHIR,ISTASYON,MAHALLE
AKŞEHIR,KARAHÜYÜK,MAHALLE
AKŞEHIR,KIZILCA,MAHALLE
AKŞEHIR,KILECI,MAHALLE
AKŞEHIR,KOZAĞAÇ,MAHALLE
AKŞEHIR,KURUÇAY,MAHALLE
AKŞEHIR,KUŞÇU,MAHALLE
AKŞEHIR,MEYDAN,MAHALLE
AKŞEHIR,NASREDDIN HOCA,MAHALLE
AKŞEHIR,ORTAKÖY,MAHALLE
AKŞEHIR,REIS,MAHALLE
AKŞEHIR,SELÇUK,MAHALLE
AKŞEHIR,SEYRAN,MAHALLE
AKŞEHIR,TIPI,MAHALLE
AKŞEHIR,YARENLER,MAHALLE
AKŞEHIR,YAZLA,MAHALLE
AKŞEHIR,YENI,MAHALLE
AKŞEHIR,YILDIRIM BAYEZID,MAHALLE
AKŞEHIR,ALANYURT,KIRSAL MAHALLE                   
AKŞEHIR,BOZLAĞAN,KIRSAL MAHALLE                   
AKŞEHIR,CANKURTARAN,KIRSAL MAHALLE                   
AKŞEHIR,ÇAMLI,KIRSAL MAHALLE                   
AKŞEHIR,ÇIMENDERE,KIRSAL MAHALLE                   
AKŞEHIR,DEĞIRMENKÖY,KIRSAL MAHALLE                   
AKŞEHIR,GEDIL,KIRSAL MAHALLE                   
AKŞEHIR,GÖZPINARI,KIRSAL MAHALLE                   
AKŞEHIR,ILICAK,KIRSAL MAHALLE                   
AKŞEHIR,KARABULUT,KIRSAL MAHALLE                   
AKŞEHIR,ORTACA,KIRSAL MAHALLE                   
AKŞEHIR,SARAY,KIRSAL MAHALLE                   
AKŞEHIR,SAVAŞ,KIRSAL MAHALLE                   
AKŞEHIR,SORKUN,KIRSAL MAHALLE                   
AKŞEHIR,SÖĞÜTLÜ,KIRSAL MAHALLE                   
AKŞEHIR,TEKKEKÖY,KIRSAL MAHALLE                   
AKŞEHIR,TIPIKÖY,KIRSAL MAHALLE                   
AKŞEHIR,ULUPINAR,KIRSAL MAHALLE                   
AKŞEHIR,ÜÇHÜYÜK,KIRSAL MAHALLE                   
AKŞEHIR,YAŞARLAR,KIRSAL MAHALLE                   
AKŞEHIR,YAYLABELEN,KIRSAL MAHALLE                   
AKŞEHIR,YENIKÖY,KIRSAL MAHALLE                   
AKŞEHIR,YEŞILKÖY,KIRSAL MAHALLE                   
ALTINEKIN,AKINCILAR,MAHALLE
ALTINEKIN,DEDELER,MAHALLE
ALTINEKIN,KALE,MAHALLE
ALTINEKIN,OĞUZELI,MAHALLE
ALTINEKIN,ÖLMEZ,MAHALLE
ALTINEKIN,YENICE,MAHALLE
ALTINEKIN,AKÇAŞAR,KIRSAL MAHALLE                   
ALTINEKIN,AKKÖY,KIRSAL MAHALLE                   
ALTINEKIN,AYIŞIĞI,KIRSAL MAHALLE                   
ALTINEKIN,BORUKKUYU,KIRSAL MAHALLE                   
ALTINEKIN,HACINUMAN,KIRSAL MAHALLE                   
ALTINEKIN,KARAKAYA,KIRSAL MAHALLE                   
ALTINEKIN,KOÇAŞ,KIRSAL MAHALLE                   
ALTINEKIN,KOÇYAKA,KIRSAL MAHALLE                   
ALTINEKIN,MANTAR,KIRSAL MAHALLE                   
ALTINEKIN,SARNIÇ,KIRSAL MAHALLE                   
ALTINEKIN,TOPRAKLIK,KIRSAL MAHALLE                   
ALTINEKIN,YENI ÖLMEZ,KIRSAL MAHALLE                   
ALTINEKIN,YENIKUYU,KIRSAL MAHALLE                   
ALTINEKIN,YENIYAYLA,KIRSAL MAHALLE                   
BEYŞEHIR,ADAKÖY,MAHALLE
BEYŞEHIR,AKÇABELEN,MAHALLE
BEYŞEHIR,AVŞAR,MAHALLE
BEYŞEHIR,BAHÇELIEVLER,MAHALLE
BEYŞEHIR,BAYAVŞAR,MAHALLE
BEYŞEHIR,BEYTEPE,MAHALLE
BEYŞEHIR,DALYAN,MAHALLE
BEYŞEHIR,DOĞANBEY,MAHALLE
BEYŞEHIR,EMEN,MAHALLE
BEYŞEHIR,ESENCE,MAHALLE
BEYŞEHIR,ESENTEPE,MAHALLE
BEYŞEHIR,EVSAT,MAHALLE
BEYŞEHIR,GÖKÇIMEN,MAHALLE
BEYŞEHIR,GÖLYAKA,MAHALLE
BEYŞEHIR,HACIAKIF,MAHALLE
BEYŞEHIR,HACIARMAĞAN,MAHALLE
BEYŞEHIR,HAMIDIYE,MAHALLE
BEYŞEHIR,HUĞLU,MAHALLE
BEYŞEHIR,IÇERIŞEHIR,MAHALLE
BEYŞEHIR,KARAALI,MAHALLE
BEYŞEHIR,KAYABAŞI,MAHALLE
BEYŞEHIR,KURUCUOVA,MAHALLE
BEYŞEHIR,MÜFTÜ,MAHALLE
BEYŞEHIR,SADIKHACI,MAHALLE
BEYŞEHIR,SEVINDIK,MAHALLE
BEYŞEHIR,ÜSTÜNLER,MAHALLE
BEYŞEHIR,ÜZÜMLÜ,MAHALLE
BEYŞEHIR,YENI,MAHALLE
BEYŞEHIR,YENIDOĞAN,MAHALLE
BEYŞEHIR,YEŞILDAĞ,MAHALLE
BEYŞEHIR,AĞILÖNÜ,KIRSAL MAHALLE                   
BEYŞEHIR,AKBURUN,KIRSAL MAHALLE                   
BEYŞEHIR,AVDANCIK,KIRSAL MAHALLE                   
BEYŞEHIR,BADEMLI,KIRSAL MAHALLE                   
BEYŞEHIR,BAŞGÖZE,KIRSAL MAHALLE                   
BEYŞEHIR,BAYAT,KIRSAL MAHALLE                   
BEYŞEHIR,BAYINDIR,KIRSAL MAHALLE                   
BEYŞEHIR,BEKDEMIR,KIRSAL MAHALLE                   
BEYŞEHIR,ÇIÇEKLER,KIRSAL MAHALLE                   
BEYŞEHIR,ÇIFTLIK,KIRSAL MAHALLE                   
BEYŞEHIR,ÇIVRIL,KIRSAL MAHALLE                   
BEYŞEHIR,ÇUKURAĞIL,KIRSAL MAHALLE                   
BEYŞEHIR,DAMLAPINAR,KIRSAL MAHALLE                   
BEYŞEHIR,DOĞANCIK,KIRSAL MAHALLE                   
BEYŞEHIR,DUMANLI,KIRSAL MAHALLE                   
BEYŞEHIR,EĞIRLER,KIRSAL MAHALLE                   
BEYŞEHIR,EYLIKLER,KIRSAL MAHALLE                   
BEYŞEHIR,FASILLAR,KIRSAL MAHALLE                   
BEYŞEHIR,GÖÇÜ,KIRSAL MAHALLE                   
BEYŞEHIR,GÖKÇEKUYU,KIRSAL MAHALLE                   
BEYŞEHIR,GÖLKAŞI,KIRSAL MAHALLE                   
BEYŞEHIR,GÖNEN,KIRSAL MAHALLE                   
BEYŞEHIR,GÜNDOĞDU,KIRSAL MAHALLE                   
BEYŞEHIR,HÜSEYINLER,KIRSAL MAHALLE                   
BEYŞEHIR,ISAKÖY,KIRSAL MAHALLE                   
BEYŞEHIR,KARABAYAT,KIRSAL MAHALLE                   
BEYŞEHIR,KARADIKEN,KIRSAL MAHALLE                   
BEYŞEHIR,KARAHISAR,KIRSAL MAHALLE                   
BEYŞEHIR,KUŞLUCA,KIRSAL MAHALLE                   
BEYŞEHIR,KÜÇÜKAVŞAR,KIRSAL MAHALLE                   
BEYŞEHIR,MESUTLAR,KIRSAL MAHALLE                   
BEYŞEHIR,SARIKÖY,KIRSAL MAHALLE                   
BEYŞEHIR,ŞAMLAR,KIRSAL MAHALLE                   
BEYŞEHIR,ÜÇPINAR,KIRSAL MAHALLE                   
BEYŞEHIR,YAZYURDU,KIRSAL MAHALLE                   
BEYŞEHIR,YUKARIESENCE,KIRSAL MAHALLE                   
BEYŞEHIR,YUNUSLAR,KIRSAL MAHALLE                   
BOZKIR,CUMHURIYET,MAHALLE
BOZKIR,ÇAĞLAYAN,MAHALLE
BOZKIR,DEMIRASAF,MAHALLE
BOZKIR,DEREIÇI,MAHALLE
BOZKIR,DEREKÖY,MAHALLE
BOZKIR,HAMZALAR,MAHALLE
BOZKIR,HARMANPINAR,MAHALLE
BOZKIR,HISARLIK,MAHALLE
BOZKIR,KUZÖREN,MAHALLE
BOZKIR,SARIOĞLAN,MAHALLE
BOZKIR,SORKUN,MAHALLE
BOZKIR,SÖĞÜT,MAHALLE
BOZKIR,ÜÇPINAR,MAHALLE
BOZKIR,YUKARI,MAHALLE
BOZKIR,AKÇAPINAR,KIRSAL MAHALLE                   
BOZKIR,ARMUTLU,KIRSAL MAHALLE                   
BOZKIR,ARSLANTAŞ,KIRSAL MAHALLE                   
BOZKIR,AYDINKIŞLA,KIRSAL MAHALLE                   
