baslangic_tarihi,bitis_tarihi,kursiyer_sayisi
2004-01-01,2004-12-31,3801
2005-01-01,2005-12-31,5558
2006-01-01,2006-12-31,12837
2007-01-01,2007-12-31,16634
2008-01-01,2008-12-31,18304
2009-01-01,2009-12-31,14703
2010-01-01,2010-12-31,15532
2011-01-01,2011-12-31,25426
2012-01-01,2012-12-31,29195
2013-01-01,2013-12-31,36779
2014-01-01,2014-12-31,56972
2015-01-01,2015-12-31,80099
2016-01-01,2016-12-31,95384
2017-01-01,2017-12-31,100903
2018-01-01,2018-12-31,142424
2019-01-01,2019-12-31,152025
2020-01-01,2020-12-31,93017
2021-01-01,2021-12-31,13994
