,tarih,saat,oyun,doluluk_orani,izleyici_sayisi
24,2019-01-03,20:00,Sürgün,68%,517.0
43,2019-01-04,20:00,Cimri,72%,545.0
143,2019-01-11,13:30,Küçük Kara Balık ,75%,57.5
82,2019-01-11,10:30 ,Küçük Kara Balık ,75%,115.0
2,2019-01-14,19:30,Amak-I Hayal,100%,751.0
3,2019-01-15,19:30,Amak-I Hayal,100%,753.0
4,2019-01-21,19:30,80 Günde Devri Alem,100%,751.0
5,2019-01-22,19:30,80 Günde Devri Alem,100%,751.0
6,2019-01-25,19:30,Tatar Çölü,89%,669.0
116,2019-01-26,13:30,Kelebek Avcısı,100%,751.0
8,2019-01-26,19:30,Tatar Çölü,94%,712.0
7,2019-01-26,10:30 ,Kelebek Avcısı,100%,1502.0
9,2019-01-28,19:30,Amak-I Hayal,99%,746.0
10,2019-01-29,19:30,Amak-I Hayal,100%,751.0
119,2019-02-03,13:30,Neşeli Yuva,100%,751.0
26,2019-02-03,20:00,Sürgün,65%,494.0
25,2019-02-03,10:30 ,Neşeli Yuva,100%,1502.0
44,2019-02-04,20:00,Cimri,57%,433.0
99,2019-02-12,20:00,Suç ve Ceza,100%,751.0
18,2019-02-18,20:00,Cimri,100%,751.0
19,2019-02-19,20:00,Cimri,100%,751.0
20,2019-02-22,20:00,Vecihi Hür Kuş,100%,751.0
21,2019-02-23,20:00,Vecihi Hür Kuş,99%,750.0
22,2019-02-26,20:00,Amak-I Hayal,99%,747.0
118,2019-02-28,13:30,Kuyudaki Aslan,99%,748.0
23,2019-02-28,10:30 ,Kuyudaki Aslan,99%,1496.0
57,2019-03-05,19:00,Vuslat Dinle Neyden,86%,653.0
100,2019-03-12,20:00,Suç ve Ceza,100%,751.0
121,2019-03-14, 13:30,Kuyudaki Aslan,100%,751.0
32,2019-03-14,10:30 ,Kuyudaki Aslan,100%,1502.0
33,2019-03-18,20:00,Asım Bir Varoluş Mücadelesi,100%,751.0
34,2019-03-19,20:00,Asım Bir Varoluş Mücadelesi,100%,751.0
122,2019-03-21, 13:30,Kuyudaki Aslan,99%,747.5
35,2019-03-21,10:30 ,Kuyudaki Aslan,99%,1495.0
36,2019-03-22,20:00,Ziyafet Sofrası,100%,751.0
38,2019-03-23,20:00,Ziyafet Sofrası,100%,751.0
37,2019-03-23,10:30 ,Oburcuk,100%,1502.0
123,2019-03-23,13:30,Oburcuk,100%,751.0
39,2019-03-25,20:00,Amak-I Hayal,52%,392.0
40,2019-03-26,20:00,Amak-I Hayal,55%,415.0
41,2019-03-27,20:00,Amak-I Hayal,70%,533.0
42,2019-03-28,20:00,Cimri,100%,751.0
11,2019-04-02,20:00,Cimri,100%,756.0
27,2019-04-03,20:00,Amak-I Hayal,65%,491.0
124,2019-04-04,13:30,Kuyudaki Aslan,100%,751.0
45,2019-04-04,10:30 ,Kuyudaki Aslan,100%,1502.0
58,2019-04-05,21:00,Vuslat Dinle Neyden,56%,422.0
83,2019-04-11,20:00,Cimri,100%,751.0
49,2019-04-15,20:00,Amak-I Hayal,62%,467.0
50,2019-04-16,20:00,Amak-I Hayal,64%,487.0
51,2019-04-18,10:30 ,Kuyudaki Aslan,99%,1492.0
126,2019-04-18,13:30,Kuyudaki Aslan,99%,746.0
52,2019-04-22,10:30 ,Kuyudaki Aslan,62%,1565.0
127,2019-04-22,13:30,Kuyudaki Aslan,62%,782.5
128,2019-04-23,13:30,Kuyudaki Aslan,78%,1012.0
53,2019-04-23,10:30 ,Kuyudaki Aslan,78%,2024.0
54,2019-04-24,10:30 ,Kuyudaki Aslan,63%,1621.0
129,2019-04-24,13:30,Kuyudaki Aslan,63%,810.5
55,2019-04-29,20:00,Cimri,100%,751.0
56,2019-04-30,20:00,Cimri,100%,751.0
12,2019-05-02,20:00,Cimri,100%,751.0
28,2019-05-03,20:00,Amak-I Hayal,81%,612.0
59,2019-05-05,13:00,Vuslat Dinle Neyden,30%,228.0
84,2019-05-11,20:00,Cimri,100%,751.0
101,2019-05-12,10:30 ,Küçük Kara Balık ,94%,1419.0
152,2019-05-12,13:30,Küçük Kara Balık ,94%,709.5
133,2019-05-15,13:30,Kuyudaki Aslan,67%,512.0
63,2019-05-15,10:30 ,Kuyudaki Aslan,67%,1024.0
134,2019-05-16,13:30,Kuyudaki Aslan,45%,352.5
64,2019-05-16,10:30 ,Kuyudaki Aslan,45%,705.0
135,2019-05-17,13:30,Kuyudaki Aslan,61%,452.0
65,2019-05-17,10:30 ,Kuyudaki Aslan,61%,904.0
66,2019-05-22,10:30 ,Kuyudaki Aslan,67%,1020.0
136,2019-05-22,13:30,Kuyudaki Aslan,67%,510.0
67,2019-05-23,10:30 ,Kuyudaki Aslan,63%,977.0
137,2019-05-23,13:30,Kuyudaki Aslan,63%,488.5
68,2019-05-24,10:30 ,Kuyudaki Aslan,72%,1087.0
138,2019-05-24,13:30,Kuyudaki Aslan,72%,543.5
102,2019-06-12,20:00,Leyla ile Mecnun,100%,751.0
0,2019-07-01,19:30,Abdülhamid Ateş Çemberi,60%,453.0
120,2019-07-03, 13:30,Kuyudaki Aslan,98%,737.0
29,2019-07-03,10:30 ,Kuyudaki Aslan,98%,1474.0
69,2019-07-10,20:00,Suç ve Ceza,99%,748.0
85,2019-07-11,10:30 ,Küçük Kara Balık ,95%,1485.0
144,2019-07-11,13:30,Küçük Kara Balık ,95%,742.5
153,2019-07-12,20:00,Leyla ile Mecnun,100%,751.0
103,2019-07-12,15:00 ,Leyla ile Mecnun,100%,1502.0
1,2019-08-01,19:30,Abdülhamid Ateş Çemberi,61%,462.0
13,2019-08-02,20:00,Hay Taksi,88%,668.0
46,2019-08-04,20:00,Cimri,79%,599.0
130,2019-08-05,13:30,Kuyudaki Aslan,56%,422.5
60,2019-08-05,10:30 ,Kuyudaki Aslan,56%,845.0
70,2019-08-10,20:00,Suç ve Ceza,100%,751.0
86,2019-08-11,10:30 ,Küçük Kara Balık ,82%,1296.0
145,2019-08-11,13:30,Küçük Kara Balık ,82%,648.0
117,2019-09-02,13:00,Babaannemin Çantası,100%,751.0
