tarih;sogan_yesil_(yerli);turp_kirmizi_(yerli);semiz_otu(bag)_yerli;armut_(yerli);biber_carli_(yerli);maydonoz_(yerli)_bag;kiraz_(yerli);biber_kÄ±l_(yerli);havuc;visne_(yerli);biber_sivri_(yerli);salatalik_(yerli);patlican_(yerli);kayisi_(yerli);marul_(yerli)adet;kabak_(yerli);fasulye_(yerli);domates_(yerli);biber_dolma_(yerli);kabak_(beyaz);misir_(taze)adet;patates(ii.);domates_(ceri);marul_(mor)adet;marul_(muhtelif)adet;marul_(aysberk)adet;biber_(koy);brokoli;patates_(taze);domates_(ii);sogan_taze_(yesil);biber_(ii);roka(bag);patates;pirasa;pazi;barbunya;turp_muhtelif;tere;sogan_(goger);salatalik_(silor);salatalik_(muhtelif);sogan_(kÄ±rmÄ±zÄ±);sogan_(kuru);sarimsak_(kuru);sarimsak_(taze);semiz_otu(bag);pancar_(kÄ±rmÄ±zÄ±);salatalik_(kornison);lahana_(buruksel);asma_yapragi;hirtlak;domates_(koy);karpuz_(ithal);fasulye_(muhtelif);feslegen(reyhan)bag;ispanak;karnabahar;kereviz;kabak_(kara);kabak_(bal);kavun_(ithal);enginar(adet);dere_otu_(bag);bakla;bezelye_(araka);biber_(sivri);biber_(dolma);biber_(carli);biber_(cin);biber_salcalÄ±k_(kapya);biber_kÄ±l;lahana_(beyaz);lahana_(mor);biber_(kÄ±l);patlican_(kemer);mandalin_(ii);domates_(salkÄ±m);domates_(muhtelif);dometes_(salcalÄ±k);salatalik_(ii);sogan_(ii);limon_(ii);nane(bag);patlican_(topak);mantar_(kultur);maydonoz_(bag);patates;bamya;eksi_ot_(bag);incir;kestane;hurma
24.06.2021;0.5;9;2;1.5;2.5;1;2.5;1.5;1;1.5;2;6;3;0.5;1.4;1;0.5;1.5;0.7;3;0.8;8;5;1;1.5;2;3;1;2;3;2;1;5;0.5;3;2;1.5;1.5;3;2;0.7;1;5;1;2;1.8;0.7;1.5;7;0.5;0.5;20;3;4;7;11;7;3;4;6;3;9;3.5;3;2;7;0.5;4;3;2;4;8;5;3;1.5;5;;;;;;;;;;;;;;;;;
21.06.2021;0.5;9;2;2;1.5;2.5;1;2.5;1.5;1;1.5;2;6;3;0.5;1.4;1;0.5;1.5;0.7;3;0.8;10;5;1;1.5;2;4;1;2;3;2;1;5;0.5;3;2.5;1.5;1.5;3;2;0.7;1;5;1;2;1.8;0.7;1.5;7;0.5;0.5;20;3;4;7;11;7;3;4;6;3;9;10;3.5;3;2;7;0.5;4;4;2;4;8;5;3;1.5;3;;;;;;;;;;;;;;;
14.06.2021;2;2.5;1;2.5;1.5;1;1.5;2;6;3;0.5;1.4;1;0.5;1.5;0.7;3;0.8;10;5;1;1.5;2;4;1;2;3;2;1;5;0.5;3;2.5;2.5;1.5;3;4;0.7;1;5;1;2;1.8;0.7;1.5;7;0.5;0.5;4.5;20;3;4;7;11;7;5;3;4;6;3;9;10;3.5;3;2;7;0.5;10;8;2;3;5;8;5;3;2;3;;;;;;;;;;;;;;;;
10.06.2021;2;1;2.5;1.5;1;1.5;2;6;3;0.5;1.4;1;0.5;1.5;0.7;3;0.8;25;10;1;1.5;2;4;1;1.5;3;2;1;5;0.5;3;2;2.5;1.5;3;6;0.7;1;5;2;2;1.5;0.7;1.5;7;0.5;0.5;4.5;20;3;4;7;11;7;5;5;4;6;3;7;3.5;3;2;7;0.5;10;10;2;3;5;8;5;5;2;3;;;;;;;;;;;;;;;;;;
7.06.2021;2;1;2.5;1.5;1;1.5;2;6;3;0.5;1.4;1;0.5;1.5;0.7;3;0.8;10;5;1;1.5;2;4;1;1.5;3;2;1;5;0.5;3;2;2.5;1.5;3;6;0.7;1;5;2;2;1.8;0.7;1.5;7;0.5;0.5;4.5;20;3;4;7;11;7;5;5;4;6;3;7;3.5;3;2;7;0.5;10;10;2;3;5;8;5;5;2;3;;;;;;;;;;;;;;;;;;
3.06.2021;2;1;2.5;1.5;1;1.5;2;6;3;0.5;1;1;0.5;1.5;0.7;3;0.8;10;5;1;1.5;2;4;1;1.5;3;2;1;5;0.5;3;2;2.5;1.5;3;6;0.7;1;5;2;2;1.8;0.7;1.5;7;0.5;0.5;4.5;20;3;4;7;11;7;5;5;4;6;3;7;3.5;3;2;7;1;10;10;2;3;5;8;5;5;2;3;;;;;;;;;;;;;;;;;;
31.05.2021;2;1;2.5;1.5;1;1.5;2;6;3;0.5;1;1;0.5;1.5;0.7;3;0.8;10;5;1;1.5;2;4;1;1.5;1.5;2;1;5;0.5;3;2;2.5;1.5;3;6;0.7;4;2;2;1.8;0.7;1.5;7;0.5;0.5;4.5;20;3;3;5;7;11;7;5;5;6;3;7;3.5;3;2;7;1;10;10;2;3;5;8;5;5;2;3;;;;;;;;;;;;;;;;;;;
27.05.2021;2;1;2;1.5;1.5;1.5;2;6;3;0.5;1;1;0.5;1.5;0.7;3;0.8;10;5;1;1.5;2;4;1;1;1.5;2;1;5;0.5;3;2;2.5;1.5;3;6;0.7;1;3;2;2;1.8;0.7;1.5;7;0.5;0.5;4.5;20;3.5;3;5;7;11;7;5;5;4;6;3;7;3.5;3;2;7;1;10;10;2;3;5;8;5;5;2;3;;;;;;;;;;;;;;;;;
24.05.2021;2;1;3;1.5;1.5;1.5;2;6;3;0.5;1.5;1;0.5;1.5;0.7;3;0.8;10;5;1;1.5;2.5;4;1;1.5;1.5;2;1;1;5;0.5;3;2;2.5;1.5;3;6;0.7;1;3;2;2.5;1.8;0.7;1.5;7;0.5;0.5;20;3.5;3;7;11;7;8;5;4;6;3;7;3.5;3;2;7;2;2;3;10;4;3;;;;;;;;;;;;;;;;;;;;;;;
20.05.2021;2;1;3;2.5;2.5;3;2;6;3;0.5;1.8;1;1.5;0.5;1.5;0.7;3;0.8;15;5;1;1.5;2.5;4;1;1.5;1.5;2;1;1;5;0.5;3;2;2.5;2;4;7;0.7;1;3;2;3;2.5;0.7;1.5;7;0.5;0.5;10;4.5;20;3.5;3;7;11;7;8;5;4;6;1.2;3;7;3.5;3;2;7;2;2;3;10;4;3;;;;;;;;;;;;;;;;;;;
