,tarih_saat,oyun_adi,doluluk_orani,izleyici_sayisi
0,2018-10-24 20:00:00,Abdülhamid Ateş Çemberi,100%,751
1,2018-10-23 20:00:00,Abdülhamid Ateş Çemberi,96%,745
2,2018-10-29 20:00:00,Asım Bir Varoluş Mücadelesi,98%,748
3,2018-10-30 20:00:00,Asım Bir Varoluş Mücadelesi,76%,590
4,2018-11-05 20:00:00,Bir Yunus Hikayesi,89%,675
5,2018-11-06 20:00:00,Bir Yunus Hikayesi,61%,469
6,2018-11-12 20:00:00,Abdülhamid Ateş Çemberi,100%,769
7,2018-11-19 20:00:00,Asım Bir Varoluş Mücadelesi,43%,331
8,2018-11-20 20:00:00,Asım Bir Varoluş Mücadelesi,58%,437
9,2018-11-27 19:18:00,Bir Yunus Hikayesi,57%,432
10,2018-11-28 20:00:00,Bir Yunus Hikayesi,51%,389
11,2018-12-03 20:00:00,Abdülhamid Ateş Çemberi,100%,752
12,2018-12-04 20:00:00,Abdülhamid Ateş Çemberi,100%,759
13,2018-12-10 20:00:00,Asım Bir Varoluş Mücadelesi,64%,488
14,2018-12-11 20:00:00,Asım Bir Varoluş Mücadelesi,72%,544
15,2018-12-24 20:00:00,Bir Yunus Hikayesi,58%,438
16,2018-12-25 20:00:00,Bir Yunus Hikayesi,49%,374
17,2018-12-27 19:18:00,Asım Bir Varoluş Mücadelesi,98%,746
