,tarih,saat,oyun,doluluk_orani,izleyici_sayisi
8,2020-01-13,20:00,Amak-ı Hayal,55%,420.0
9,2020-01-14,20:00,Amak-ı Hayal,54%,411.0
66,2020-01-16,13:30,Küçük Kara Balık,62%,547.5
10,2020-01-16,10:30 ,Küçük Kara Balık,62%,1095.0
67,2020-01-17,13:30,Küçük Kara Balık,23%,183.0
11,2020-01-17,10:30 ,Küçük Kara Balık,23%,366.0
12,2020-01-20,20:00,Suç ve Ceza,94%,709.0
13,2020-01-21,20:00,Suç ve Ceza,95%,714.0
68,2020-01-23,13:30,Küçük Kara Balık,73%,539.5
14,2020-01-23,10:30 ,Küçük Kara Balık,73%,1079.0
69,2020-01-24,13:30,Küçük Kara Balık,75%,562.5
15,2020-01-24,10:30 ,Küçük Kara Balık,75%,1125.0
16,2020-01-27,20:00,Suç ve Ceza,96%,726.0
17,2020-01-28,20:00,Suç ve Ceza,98%,739.0
62,2020-02-01, 13:30,Kuyudaki Aslan,54%,410.5
0,2020-02-01,10:30 ,Kuyudaki Aslan,54%,821.0
36,2020-02-03,20:00,Suç ve Ceza,81%,610.0
55,2020-02-11,20:00,Mavi Kuş,25%,191.0
72,2020-02-13,13:30,Kuyudaki Aslan,76%,569.5
24,2020-02-13,10:30 ,Kuyudaki Aslan,76%,1139.0
25,2020-02-14,20:00,Son Çıkış,100%,751.0
73,2020-02-15,13:30,Kuşlar Diyarı,78%,586.5
26,2020-02-15,10:30 ,Kuşlar Diyarı,78%,1173.0
27,2020-02-15,20:00,Son Çıkış,100%,751.0
28,2020-02-17,20:00,Mavi Kuş,100%,751.0
29,2020-02-18,20:00,Mavi Kuş,100%,751.0
30,2020-02-20,10:30 ,Küçük Kara Balık,72%,1108.0
74,2020-02-20,13:30,Küçük Kara Balık,72%,554.0
75,2020-02-21,13:30,Küçük Kara Balık,68%,513.0
31,2020-02-21,10:30 ,Küçük Kara Balık,68%,1026.0
32,2020-02-24,20:00,Suç ve Ceza,100%,751.0
33,2020-02-25,20:00,Suç ve Ceza,100%,759.0
76,2020-02-27,13:30,Küçük Kara Balık,22%,170.5
34,2020-02-27,10:30 ,Küçük Kara Balık,22%,341.0
77,2020-02-28,13:30,Küçük Kara Balık,61%,475.5
35,2020-02-28,10:30 ,Küçük Kara Balık,61%,951.0
1,2020-03-01,20:00,En Büyük Haber,78%,607.0
18,2020-03-02,20:00,Mavi Kuş,85%,640.0
42,2020-03-13,10:30 ,Kuyudaki Aslan,18%,290.0
81,2020-03-13,13:30,Kuyudaki Aslan,18%,145.0
3,2020-04-01,20:00,En Büyük Haber,83%,630.0
63,2020-04-01,13:30,Çarpım Tablosu,63%,476.5
2,2020-04-01,10:30 ,Çarpım Tablosu,63%,953.0
19,2020-04-02,20:00,Mavi Kuş,82%,619.0
56,2020-04-11,20:00,Mavi Kuş,34%,262.0
78,2020-05-03,13:30,Kuyudaki Aslan,32%,240.5
37,2020-05-03,10:30 ,Kuyudaki Aslan,32%,481.0
47,2020-05-10,20:00,Mavi Kuş,17%,128.0
4,2020-06-01,20:00,Cimri,76%,571.0
20,2020-06-02,10:30 ,Küçük Kara Balık,11%,165.0
70,2020-06-02,13:30,Küçük Kara Balık,11%,82.5
79,2020-06-03,13:30,Kuyudaki Aslan,47%,358.5
38,2020-06-03,10:30 ,Kuyudaki Aslan,47%,717.0
5,2020-07-01,20:00,Cimri,84%,636.0
71,2020-07-02,13:30,Küçük Kara Balık,13%,86.5
21,2020-07-02,10:30 ,Küçük Kara Balık,13%,173.0
48,2020-07-10,20:00,Mavi Kuş,21%,158.0
6,2020-09-01,10:30 ,Kuyudaki Aslan,75%,1125.0
64,2020-09-01,13:30,Kuyudaki Aslan,75%,562.5
39,2020-09-03,20:00,Mavi Kuş,89%,675.0
57,2020-09-11,20:00,Cimri,25%,194.0
43,2020-09-21,20:00,Kamyon,17%,134.0
44,2020-09-23,20:00,Kamyon,18%,137.0
45,2020-09-28,20:00,Suç ve Ceza,17%,133.0
46,2020-09-30,20:00,Suç ve Ceza,25%,189.0
7,2020-10-01,10:30 ,Kuyudaki Aslan,64%,977.0
65,2020-10-01,13:30,Kuyudaki Aslan,64%,488.5
22,2020-10-02,20:00,Mavi Kuş,85%,640.0
40,2020-10-03,20:00,Mavi Kuş,82%,616.0
50,2020-10-14,20:00,Mavi Kuş,23%,179.0
51,2020-10-19,20:00,Cimri,32%,241.0
52,2020-10-21,20:00,Cimri,34%,257.0
53,2020-10-26,20:00,Amak-ı Hayal,28%,212.0
54,2020-10-28,20:00,Amak-ı Hayal,28%,214.0
23,2020-11-02,20:00,Mavi Kuş,90%,683.0
58,2020-11-11,20:00,Cimri,19%,146.0
59,2020-11-23,20:00,Bir Adam Yaratmak,39%,298.0
60,2020-11-25,20:00,Bir Adam Yaratmak,23%,176.0
61,2020-11-30,20:00,Bir Adam Yaratmak,15%,118.0
41,2020-12-03,10:30 ,Kuyudaki Aslan,19%,299.0
80,2020-12-03,13:30,Kuyudaki Aslan,19%,149.5
49,2020-12-10,20:00,Mavi Kuş,21%,165.0
