_id,tarih,pm10_(_µg/m3_),so2_(_µg/m3_),co_(_µg/m3_),no2_(_µg/m3_),nox_(_µg/m3_)
1,2021-01-01T00:00:56,"199,45","26,38","1.728,15","99,36","210,09"
2,2021-01-01T01:00:56,"286,38","28,91","2.042,06","80,73","203,42"
3,2021-01-01T02:00:56,"232,53","24,06","1.597,76","73,08","115,81"
4,2021-01-01T03:00:56,"114,10","21,68","1.614,72","57,34","121,66"
5,2021-01-01T04:00:56,"111,00","22,69","2.124,89","85,54","155,35"
6,2021-01-01T05:00:56,"136,33","18,31","1.494,80","70,96","121,81"
7,2021-01-01T06:00:56,"131,16","14,66","477,09","51,54","77,75"
8,2021-01-01T07:00:56,"109,57","16,89","1.297,46","72,08","114,82"
9,2021-01-01T08:00:56,"90,49","20,18","2.036,76","81,65","228,13"
10,2021-01-01T09:00:56,"188,39","21,93","1.349,80","68,25","167,51"
11,2021-01-01T10:00:56,"206,59","22,88","1.243,34","80,84","161,39"
12,2021-01-01T11:00:56,"264,47","24,36","1.017,10","89,69","129,00"
13,2021-01-01T12:00:56,"315,68","26,86","404,12","56,58","71,77"
14,2021-01-01T13:00:56,"179,65","16,05","0,27","37,78","41,33"
15,2021-01-01T14:00:56,"114,63","11,35","0,00","27,07","28,71"
16,2021-01-01T15:00:56,"66,24","8,23","0,00","25,04","26,49"
17,2021-01-01T16:00:56,"60,13","8,68","0,00","26,53","27,80"
18,2021-01-01T17:00:56,"58,05","10,41","86,74","51,86","57,34"
19,2021-01-01T18:00:56,"130,09","15,89","752,94","84,12","136,64"
20,2021-01-01T19:00:56,"182,66","21,26","1.146,12","104,60","154,14"
21,2021-01-01T20:00:56,"213,22","28,22","1.994,31","108,16","202,90"
22,2021-01-01T21:00:56,"252,97","29,51","1.583,71","76,49","176,36"
23,2021-01-01T22:00:56,"216,01","25,30","1.538,48","62,65","118,02"
24,2021-01-01T23:00:56,"151,68","17,90","1.421,70","73,55","96,55"
25,2021-02-01T00:00:56,"122,74","19,56","2.072,67","61,35","105,39"
26,2021-02-01T01:00:56,"138,31","14,51","1.709,91","69,90","113,61"
27,2021-02-01T02:00:56,"154,59","17,50","1.837,48","72,49","110,38"
28,2021-02-01T03:00:56,"117,01","13,41","2.239,45","64,81","109,18"
29,2021-02-01T04:00:56,"120,87","13,25","1.128,28","52,55","64,71"
30,2021-02-01T05:00:56,"66,45","10,21","1.189,53","45,95","57,79"
31,2021-02-01T06:00:56,"45,52","6,51","846,70","43,55","56,17"
32,2021-02-01T07:00:56,"45,00","9,43","1.191,46","57,96","91,21"
33,2021-02-01T08:00:56,"69,35","9,51","1.861,58","89,56","189,25"
34,2021-02-01T09:00:56,"122,60","15,49","1.877,36","103,24","216,13"
35,2021-02-01T10:00:56,"161,99","17,41","1.597,41","81,49","118,41"
36,2021-02-01T11:00:56,"99,68","9,11","507,91","55,57","69,35"
37,2021-02-01T12:00:56,"92,16","5,01","400,34","60,46","72,08"
38,2021-02-01T13:00:56,"136,81","5,58","0,35","41,02","46,89"
39,2021-02-01T14:00:56,"79,55","2,27","0,00","23,56","24,88"
40,2021-02-01T15:00:56,"61,44","0,30","0,00","18,02","19,09"
41,2021-02-01T16:00:56,"41,52","0,73","0,00","17,71","18,56"
42,2021-02-01T17:00:56,"38,08","2,07","104,27","39,07","42,51"
43,2021-02-01T18:00:56,"95,47","5,25","683,86","83,84","130,60"
44,2021-02-01T19:00:56,"193,44","10,04","774,92","64,99","94,07"
45,2021-02-01T20:00:56,"132,68","18,24","1.200,09","61,55","87,55"
46,2021-02-01T21:00:56,"161,20","16,86","1.597,87","62,21","111,99"
47,2021-02-01T22:00:56,"158,10","19,79","1.859,25","71,83","122,63"
48,2021-02-01T23:00:56,"168,72","20,46","2.144,14","63,38","127,36"
49,2021-03-01T00:00:56,"154,39","22,29","1.642,74","59,84","95,73"
50,2021-03-01T01:00:56,"142,49","22,23","2.086,22","52,88","92,85"
51,2021-03-01T02:00:56,"118,62","18,04","1.599,05","50,51","92,84"
52,2021-03-01T03:00:56,"114,10","17,53","1.119,99","55,59","103,12"
53,2021-03-01T04:00:56,"103,28","15,69","1.591,83","55,72","106,12"
54,2021-03-01T05:00:56,"119,56","14,07","1.322,82","59,47","102,83"
55,2021-03-01T06:00:56,"112,21","15,83","1.398,61","61,01","101,19"
56,2021-03-01T07:00:56,"92,52","19,11","1.805,83","65,55","165,06"
57,2021-03-01T08:00:56,"114,41","16,90","1.188,25","71,10","139,68"
58,2021-03-01T09:00:56,"106,23","17,61","983,64","51,70","161,09"
59,2021-03-01T10:00:56,"131,33","16,19","372,40","46,87","89,96"
60,2021-03-01T11:00:56,"157,25","10,53","315,78","51,07","82,15"
61,2021-03-01T12:00:56,"144,40","7,66","195,57","43,03","61,52"
62,2021-03-01T13:00:56,"103,21","7,58","91,03","39,88","47,22"
63,2021-03-01T14:00:56,"106,86","7,90","66,85","40,95","47,79"
64,2021-03-01T15:00:56,"93,40","5,01","30,84","41,61","46,35"
65,2021-03-01T16:00:56,"88,14","6,51","10,13","37,31","39,84"
66,2021-03-01T17:00:56,"102,57","5,32","48,44","48,23","52,46"
67,2021-03-01T18:00:56,"145,74","8,78","612,26","68,36","87,67"
68,2021-03-01T19:00:56,"205,28","9,67","453,12","97,81","130,28"
69,2021-03-01T20:00:56,"262,36","15,99","1.295,91","80,25","162,85"
70,2021-03-01T21:00:56,"289,25","16,30","938,67","90,01","157,42"
71,2021-03-01T22:00:56,"200,64","17,21","1.989,50","84,82","166,52"
72,2021-03-01T23:00:56,"269,87","16,71","2.937,47","76,90","153,97"
73,2021-04-01T00:00:56,"291,43","21,80","3.020,28","58,43","132,31"
74,2021-04-01T01:00:56,"249,94","18,46","2.915,01","61,63","150,82"
75,2021-04-01T02:00:56,"232,46","18,37","1.943,59","51,74","81,29"
76,2021-04-01T03:00:56,"141,67","12,93","2.339,07","51,98","124,36"
77,2021-04-01T04:00:56,"180,76","14,70","2.256,41","55,94","104,71"
78,2021-04-01T05:00:56,"143,15","14,17","1.963,72","58,12","76,73"
79,2021-04-01T06:00:56,"102,18","10,76","2.166,23","79,46","113,74"
80,2021-04-01T07:00:56,"123,34","12,37","2.435,55","88,96","197,06"
81,2021-04-01T08:00:56,"250,26","19,97","2.568,41","68,88","220,77"
82,2021-04-01T09:00:56,"185,04","45,56","5.831,38","96,83","506,50"
83,2021-04-01T10:00:56,"830,83","45,92","3.287,18","132,58","358,64"
84,2021-04-01T11:00:56,"659,63","50,47","4.188,55","132,53","351,61"
85,2021-04-01T12:00:56,"619,03","42,60","2.747,22","107,61","228,11"
86,2021-04-01T13:00:56,"372,27","32,99","839,80","75,13","112,76"
87,2021-04-01T14:00:56,"199,89","19,69","457,59","61,87","79,82"
88,2021-04-01T15:00:56,"181,40","17,99","61,07","51,36","59,53"
89,2021-04-01T16:00:56,"122,72","10,66","6,37","51,40","61,00"
90,2021-04-01T17:00:56,"117,11","13,22","439,15","84,75","128,19"
91,2021-04-01T18:00:56,"216,07","19,14","1.681,20","116,08","265,16"
92,2021-04-01T19:00:56,"307,39","30,62","2.915,85","110,58","369,03"
93,2021-04-01T20:00:56,"347,88","40,72","3.101,10","128,90","353,35"
94,2021-04-01T21:00:56,"295,58","41,10","3.448,44","85,90","324,92"
95,2021-04-01T22:00:56,"298,86","41,37","3.311,54","103,28","318,14"
96,2021-04-01T23:00:56,"316,48","35,16","3.930,05","115,17","310,52"
97,2021-05-01T00:00:56,"300,49","34,28","2.178,49","72,40","142,66"
98,2021-05-01T01:00:56,"210,14","31,07","3.717,21","133,55","350,24"
99,2021-05-01T02:00:56,"317,70","33,90","3.219,64","73,10","370,68"
100,2021-05-01T03:00:56,"412,30","40,73","4.112,65","91,68","353,59"
101,2021-05-01T04:00:56,"410,14","30,16","2.692,96","84,47","175,04"
102,2021-05-01T05:00:56,"189,52","26,11","2.610,17","77,03","162,58"
103,2021-05-01T06:00:56,"162,60","19,51","2.009,58","94,05","143,77"
104,2021-05-01T07:00:56,"138,69","21,78","2.866,01","77,58","226,03"
105,2021-05-01T08:00:56,"234,16","20,63","1.727,22","92,30","216,31"
106,2021-05-01T09:00:56,"161,24","20,22","2.002,14","140,44","264,55"
107,2021-05-01T10:00:56,"198,82","29,61","1.720,82","124,21","235,95"
108,2021-05-01T11:00:56,"284,50","23,06","1.980,70","105,94","172,35"
109,2021-05-01T12:00:56,"189,87","17,27","1.132,58","79,47","106,48"
110,2021-05-01T13:00:56,"151,06","11,18","456,48","62,72","77,07"
111,2021-05-01T14:00:56,"95,61","6,34","239,94","62,09","70,47"
112,2021-05-01T15:00:56,"87,20","4,40","88,27","50,24","55,83"
113,2021-05-01T16:00:56,"77,29","2,98","203,22","69,70","89,48"
114,2021-05-01T17:00:56,"124,59","7,58","885,73","107,52","178,24"
115,2021-05-01T18:00:56,"168,74","13,95","1.958,72","136,37","285,92"
116,2021-05-01T19:00:56,"232,16","16,15","2.137,62","140,34","264,16"
117,2021-05-01T20:00:56,"224,29","16,92","1.374,12","73,68","139,66"
118,2021-05-01T21:00:56,"114,25","12,61","792,41","72,71","91,95"
119,2021-05-01T22:00:56,"98,37","14,32","926,54","72,07","94,80"
120,2021-05-01T23:00:56,"118,40","18,65","1.974,51","88,76","132,56"
121,2021-06-01T00:00:56,"135,51","18,23","1.422,55","75,26","114,89"
122,2021-06-01T01:00:56,"112,10","21,17","1.984,86","72,65","146,50"
123,2021-06-01T02:00:56,"111,97","17,17","1.268,79","54,71","68,71"
124,2021-06-01T03:00:56,"58,58","18,50","1.771,08","86,44","108,74"
125,2021-06-01T04:00:56,"123,05","15,24","1.494,62","66,05","94,47"
126,2021-06-01T05:00:56,"124,03","16,30","1.477,53","65,00","91,72"
127,2021-06-01T06:00:56,"75,44","17,63","1.908,94","66,60","98,81"
128,2021-06-01T07:00:56,"59,43","15,97","2.566,43","80,87","163,63"
129,2021-06-01T08:00:56,"89,11","19,99","2.024,38","79,14","151,40"
130,2021-06-01T09:00:56,"87,09","19,90","2.585,89","101,44","204,92"
131,2021-06-01T10:00:56,"144,30","25,98","3.181,23","127,84","274,76"
132,2021-06-01T11:00:56,"390,76","31,06","1.900,17","91,50","174,84"
133,2021-06-01T12:00:56,"235,80","29,60","1.119,76","90,03","142,84"
134,2021-06-01T13:00:56,"228,09","24,13","654,73","83,19","109,44"
135,2021-06-01T14:00:56,"165,84","21,30","308,52","64,78","78,90"
136,2021-06-01T15:00:56,"121,26","14,84","0,00","48,74","54,56"
137,2021-06-01T16:00:56,"85,03","12,03","0,05","48,07","51,83"
138,2021-06-01T17:00:56,"87,89","10,84","143,13","78,71","107,16"
139,2021-06-01T18:00:56,"159,87","16,39","1.285,59","83,36","214,80"
140,2021-06-01T19:00:56,"224,16","25,53","1.665,43","83,26","200,49"
141,2021-06-01T20:00:56,"224,06","24,48","1.370,42","73,38","164,65"
142,2021-06-01T21:00:56,"161,84","28,05","1.957,43","85,26","191,24"
143,2021-06-01T22:00:56,"185,25","25,64","2.570,38","70,22","276,70"
144,2021-06-01T23:00:56,"236,51","34,87","2.990,72","66,48","189,44"
145,2021-07-01T00:00:56,"207,89","27,10","2.253,43","91,75","150,92"
146,2021-07-01T01:00:56,"184,06","31,62","2.517,23","88,12","242,35"
147,2021-07-01T02:00:56,"236,42","26,07","2.173,81","79,34","171,01"
148,2021-07-01T03:00:56,"181,67","24,88","1.949,83","62,16","122,25"
149,2021-07-01T04:00:56,"139,21","21,75","2.230,48","75,28","114,38"
150,2021-07-01T05:00:56,"113,72","17,18","1.780,72","80,25","110,43"
151,2021-07-01T06:00:56,"83,86","19,90","2.208,69","121,25","194,36"
152,2021-07-01T07:00:56,"229,66","30,29","3.074,49","113,16","301,49"
153,2021-07-01T08:00:56,"274,79","32,69","3.203,84","89,83","410,94"
154,2021-07-01T09:00:56,"387,70","38,71","3.086,63","111,92","433,70"
155,2021-07-01T10:00:56,"691,12","50,99","3.442,33","130,77","413,42"
156,2021-07-01T11:00:56,"590,25","50,83","3.053,97","135,93","355,44"
157,2021-07-01T12:00:56,"744,34","41,63","948,16","83,21","152,73"
158,2021-07-01T13:00:56,"291,53","23,79","145,31","65,54","98,63"
159,2021-07-01T14:00:56,"172,13","18,57","0,00","49,89","60,60"
160,2021-07-01T15:00:56,"89,36","12,99","0,00","51,33","57,45"
161,2021-07-01T16:00:56,"87,97","14,51","0,00","57,09","64,09"
162,2021-07-01T17:00:56,"107,43","12,04","89,78","109,73","144,81"
163,2021-07-01T18:00:56,"155,59","19,86","962,48","128,48","316,05"
164,2021-07-01T19:00:56,"371,65","30,01","2.463,32","117,05","496,36"
165,2021-07-01T20:00:56,"420,74","39,89","2.300,77","164,65","433,85"
166,2021-07-01T21:00:56,"367,61","41,66","3.303,74","153,47","560,40"
167,2021-07-01T22:00:56,"418,45","43,54","3.872,08","128,96","492,37"
168,2021-07-01T23:00:56,"413,20","38,53","3.498,07","110,55","347,78"
169,2021-08-01T00:00:56,"286,74","35,38","4.194,15","168,33","438,05"
170,2021-08-01T01:00:56,"347,05","33,89","3.715,11","182,19","410,78"
171,2021-08-01T02:00:56,"413,13","36,82","4.411,72","134,95","360,65"
172,2021-08-01T03:00:56,"363,52","33,41","2.315,70","80,25","237,14"
173,2021-08-01T04:00:56,"305,67","28,29","1.806,64","81,49","164,53"
174,2021-08-01T05:00:56,"249,61","19,05","1.248,15","64,05","137,47"
175,2021-08-01T06:00:56,"227,60","18,41","1.602,19","71,91","143,05"
176,2021-08-01T07:00:56,"236,71","17,79","2.108,98","85,30","267,17"
177,2021-08-01T08:00:56,"309,84","26,39","3.524,78","99,25","329,32"
178,2021-08-01T09:00:56,"280,92","32,81","5.279,43","149,08","605,31"
179,2021-08-01T10:00:56,"706,39","47,99","3.013,70","109,57","282,71"
180,2021-08-01T11:00:56,"479,10","36,38","1.540,08","87,25","186,18"
181,2021-08-01T12:00:56,"271,92","20,63","648,73","77,99","112,09"
182,2021-08-01T13:00:56,"126,14","8,58","0,00","51,62","61,95"
183,2021-08-01T14:00:56,"75,38","4,67","0,00","39,77","43,81"
184,2021-08-01T15:00:56,"63,32","2,36","0,00","30,98","32,75"
185,2021-08-01T16:00:56,"49,40","1,50","0,00","32,57","34,74"
186,2021-08-01T17:00:56,"49,97","1,25","0,00","38,37","41,52"
187,2021-08-01T18:00:56,"57,77","1,33","0,20","43,16","47,23"
188,2021-08-01T19:00:56,"61,89","1,22","114,92","63,18","75,90"
189,2021-08-01T20:00:56,"71,71","2,93","100,61","59,08","62,74"
190,2021-08-01T21:00:56,"69,09","3,39","292,06","82,65","94,61"
191,2021-08-01T22:00:56,"87,45","11,95","1.128,99","98,57","127,05"
192,2021-08-01T23:00:56,"133,65","22,04","1.727,20","85,97","105,67"
193,2021-09-01T00:00:56,"128,20","18,16","1.646,45","76,09","94,06"
194,2021-09-01T01:00:56,"122,26","19,58","1.645,83","73,28","89,97"
195,2021-09-01T02:00:56,"111,32","18,51","1.658,92","75,21","110,60"
196,2021-09-01T03:00:56,"220,75","21,85","1.554,07","63,26","82,05"
197,2021-09-01T04:00:56,"174,47","14,29","921,61","48,79","59,98"
198,2021-09-01T05:00:56,"143,86","14,93","1.117,71","51,22","62,73"
199,2021-09-01T06:00:56,"134,26","12,52","1.220,88","54,49","86,38"
200,2021-09-01T07:00:56,"115,55","16,15","1.395,40","85,30","146,71"
201,2021-09-01T08:00:56,"154,82","18,06","2.452,75","101,14","221,37"
