_id,tarih,android,apple,windows,linux,unknown,toplam,unnamed:_7,unnamed:_8
1,Oca.21,1528,320,108,2,0,1958,"",""
2,Žub.21,1861,360,88,2,0,2311,"",""
3,Mar.21,2196,463,171,6,1,2837,"",""
4,Nis.21,1882,385,126,2,0,2395,"",""
5,May.21,1813,358,87,4,0,2262,"",""
6,Haz.21,2692,565,176,1,1,3435,"",""
7,Tem.21,3204,744,141,2,0,4091,"",""
8,Ašu.21,2469,685,122,0,1,3277,"",""
9,Eyl.21,3160,600,112,2,0,3874,"",""
10,Eki.21,4149,805,689,1,0,5644,"",""
11,Kas.21,4087,738,854,0,1,5680,"",""
12,Ara.21,3871,691,668,2,0,5232,"",""
13,Oca.22,3568,637,573,1,0,4779,"",""
14,Žub.22,3331,526,805,2,0,4664,"",""
