baslangic_tarihi,bitis_tarihi,android,ios,windows,linux,unknown,toplam
2021-01-01,2021-01-31,1528,320,108,2,0,1958
2021-02-01,2021-02-28,1861,360,88,2,0,2311
2021-03-01,2021-03-31,2196,463,171,6,1,2837
2021-04-01,2021-04-30,1882,385,126,2,0,2395
2021-05-01,2021-05-31,1813,358,87,4,0,2262
2021-06-01,2021-06-30,2692,565,176,1,1,3435
2021-07-01,2021-07-31,3204,744,141,2,0,4091
2021-08-01,2021-08-31,2469,685,122,0,1,3277
2021-09-01,2021-09-30,3160,600,112,2,0,3874
2021-10-01,2021-10-31,4149,805,689,1,0,5644
2021-11-01,2021-11-30,4087,738,854,0,1,5680
2021-12-01,2021-12-31,3871,691,668,2,0,5232
2022-01-01,2022-01-31,3568,637,573,1,0,4779
2022-02-01,2022-02-28,3331,526,805,2,0,4664
