,tarih,abone_sayisi
0,2013-01-31,396114
1,2013-02-28,397156
2,2013-03-31,398681
3,2013-04-30,399987
4,2013-05-31,402231
5,2013-06-30,403941
6,2013-07-31,406056
7,2013-08-31,407523
8,2013-09-30,411026
9,2013-10-31,412804
10,2013-11-30,415221
11,2013-12-31,417555
12,2014-01-31,419224
13,2014-02-28,421378
14,2014-03-31,467407
15,2014-04-30,468985
16,2014-05-31,471254
17,2014-06-30,473324
18,2014-07-31,476799
19,2014-08-31,476836
20,2014-09-30,479548
21,2014-10-31,481149
22,2014-11-30,482917
23,2014-12-31,485596
24,2015-01-31,486732
25,2015-02-28,487521
26,2015-03-31,489092
27,2015-04-30,490887
28,2015-05-31,492175
29,2015-06-30,493124
30,2015-07-31,493169
31,2015-08-31,493282
32,2015-09-30,493293
33,2015-10-31,493366
34,2015-11-30,493367
35,2015-12-31,493367
36,2016-01-31,875227
37,2016-02-29,877221
38,2016-03-31,882105
39,2016-04-30,885362
40,2016-05-31,888849
41,2016-06-30,89108
42,2016-07-31,893084
43,2016-08-31,896555
44,2016-09-30,899072
45,2016-10-31,901222
46,2016-11-30,903622
47,2016-12-31,908025
48,2017-01-31,917288
49,2017-02-28,910761
50,2017-03-31,913927
51,2017-04-30,917302
52,2017-05-31,951122
53,2017-06-30,953312
54,2017-07-31,9558800000000001
55,2017-08-31,958768
56,2017-09-30,961749
57,2017-10-31,964967
58,2017-11-30,968716
59,2017-12-31,972318
60,2018-01-31,975115
61,2018-02-28,97747
62,2018-03-31,979998
63,2018-04-30,982871
