,tarih,abone_sayisi
0,2004-12-31,239.825
1,2005-12-31,254.242
2,2006-12-31,276.793
3,2007-12-31,294.545
4,2008-12-31,312.992
5,2009-12-31,339.52
6,2010-12-31,350.545
7,2011-12-31,369.209
8,2012-12-31,393.472
9,2013-01-31,396.114
10,2013-02-28,397.156
11,2013-03-31,398.681
12,2013-04-30,399.987
13,2013-05-31,402.231
14,2013-06-30,403.941
15,2013-07-31,406.056
16,2013-08-31,407.523
17,2013-09-30,411.026
18,2013-10-31,412.804
19,2013-11-30,415.221
20,2013-12-31,417.555
21,2014-01-31,419.224
22,2014-02-28,421.378
23,2014-03-31,467.407
24,2014-04-30,468.985
25,2014-05-31,471.254
26,2014-06-30,473.324
27,2014-07-31,476.799
28,2014-08-31,476.836
29,2014-09-30,479.548
30,2014-10-31,481.149
31,2014-11-30,482.917
32,2014-12-31,485.596
33,2015-01-31,486.732
34,2015-02-28,487.521
35,2015-03-31,489.092
36,2015-04-30,490.887
37,2015-05-31,492.175
38,2015-06-30,493.124
39,2015-07-31,493.169
40,2015-08-31,493.282
41,2015-09-30,493.293
42,2015-10-31,493.366
43,2015-11-30,493.367
44,2015-12-31,493.367
45,2016-01-31,875.227
46,2016-02-29,877.221
47,2016-03-31,882.105
48,2016-04-30,885.362
49,2016-05-31,888.849
50,2016-06-30,891.08
51,2016-07-31,893.084
52,2016-08-31,896.555
53,2016-09-30,899.072
54,2016-10-31,901.222
55,2016-11-30,903.622
56,2016-12-31,908.025
57,2017-01-31,917.288
58,2017-02-28,910.761
59,2017-03-31,913.927
60,2017-04-30,917.302
61,2017-05-31,951.122
62,2017-06-30,953.312
63,2017-07-31,955.8800000000001
64,2017-08-31,958.768
65,2017-09-30,961.749
66,2017-10-31,964.967
67,2017-11-30,968.716
68,2017-12-31,972.318
69,2018-01-31,975.115
70,2018-02-28,977.47
71,2018-03-31,979.998
72,2018-04-30,982.871
